n ye n ka nsiirin nin da amadu tara la .	ń ye ń ka nsíirin nìn dá ámàdu tara lá .	1;PRO;SG PFV;POS;V 1;PRO;SG ADP N DEF;DET V PROPN PROPN ADP _
a fakè tògò ye nònsi ye .	à fà.kɛ tɔ́gɔ yé nɔ̀nsi yé .	3;PRO;SG N N V PROPN ADP _
a ko hèn !	à kó hɛ̀n !	3;PRO;SG V INTJ _
sigidankelen , e ma dɔn ko ɲin si tɛ kologɛlɛya mulukuli ma wa ?	_ _ _ _ _ _ _ _ _ _ _ _ _ _	PROPN _ PRO V V PART N DET V V N ADP PART _
a nana .	à nana .	3;PRO;SG PFV;POS;V _
cènin ko , a ko baasi tè , ne tè don i ni a cè , i biranmuso don .	cɛ̀.nin kó , à kó báasi tɛ́ , né tɛ́ dòn í ní à cɛ́ , í búran.muso dòn .	N V _ 3;PRO;SG V N NEG;V _ 1;PRO;SG IPFV;NEG;V V PRO CONJ 3;PRO;SG ADP _ PRO N V _
a bè kan ka ba sinamuso ka filen ko .	à bɛ́ kàn kà bá sìna.muso kà fílen kò .	3;PRO;SG POS;V ADP V N N V N V _
ko ni o kòni sòròla ka di a ma ko a bè kisi , ko mè ni o ma sòrò a ka gèlèn a ka balo .	kó ní ò kɔ̀ni sɔrɔla kà dí à mà kó à bɛ́ kísi , kó mè ní ò má sɔ̀rɔ à ká gɛ̀lɛn à ká bálo .	PART CONJ PRO PART PFV;POS;V V V 3;PRO;SG ADP PART 3;PRO;SG IPFV;POS;V V _ PART CONJ CONJ PRO V V 3;PRO;SG POS;V V 3;PRO;SG V V _
mògò si ma i tògò dòn .	mɔ̀gɔ sí ma í tɔ́gɔ dɔ́n .	N DET NEG;PFV;V 2;PRO;SG N V _
jinamuso ko sisan , n den , na n kò ko .	jínɛmuso kó sísan , ń dén , nà ń kɔ́ kò .	N V ADV _ PRO N _ V PRO N V _
dennin tagara ji dò ta ka na , ka a sigi gòòtemuso dafè , ka ji kè a kun na .	dén.nin tagara jí dɔ́ tà kà nà , kà à sìgi gɔ̀tɛmuso dá.fɛ̀ , kà jí kɛ́ à kùn ná .	N PFV;POS;V N DET V V V _ V 3;PRO;SG V N ADP _ V N V 3;PRO;SG N ADP _
