eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
dont a raio lenaig da gêr ma ve prest .	dont a ober lenaig da kêr ma bezañ prest .	NFIN;V PART 3;FIN;FUT;IND;SG;V FEM;PROPN;SG ADP FEM;N;SG CONJ 3;COND;SG;V ADJ _
paul molac , prezidant ksb	paul molac , prezidant ksb	MASC;PROPN;SG PROPN;SG _ MASC;N;SG MASC;N;SG
arruet eo .	arruout bezañ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V _
ha c’hoant hoc'heus da virout kambreier ?	ha c’hoant kaout da mirout kambr ?	CONJ MASC;N;SG 2;FIN;IND;PL;PRS;V ADP NFIN;V FEM;N;PL _
nebeutoc'h a venegoù a vo troet er r reter koulskoude .	nebeutoc’h a meneg a bezañ troiñ e an reter koulskoude .	_ ADP MASC;N;PL PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP DET MASC;N;SG ADV _
diskennit div loaiad vras a zourenn bleuñv - orañjez en un hanter litrad a zour o virviñ .	diskenn daou loaiad bras a dourenn bleuñv - orañjez e un hanter litrad a dourañ o birviñ .	2;PL;V FEM;NUM;PL FEM;N;SG ADJ ADP FEM;N;SG FEM;N;PL _ FEM;N;PL ADP DET MASC;N;SG MASC;N;SG PART 3;FIN;IND;PRS;SG;V PART NFIN;V _
dindan un nebeud bloavezhioù eo deuet sant-nazer da vezañ porzh bras an aber ha keveziñ a ra ouzh naoned .	dindan un nebeud bloavezh bezañ dont sant-nazer da bezañ porzh bras an aber ha keveziñ a ober ouzh naoned .	ADP DET MASC;N;SG MASC;N;PL 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PROPN;SG ADP NFIN;V MASC;N;SG ADJ DET FEM;N;SG CONJ NFIN;V PART 3;FIN;IND;PRS;SG;V ADP PROPN;SG _
c'hwi a yelo , pe e kavo lan hoc'h arc'hant .	prpers a mont , pe e kavout lan ho arc’hant .	2;NOM;PL;PRO PART 3;FIN;FUT;IND;SG;V _ CONJ PART 3;FIN;FUT;IND;SG;V MASC;PROPN;SG DET MASC;N;SG _
ha c’hoant hoc’heus da virout predoù ?	ha c’hoant kaout da mirout pred ?	CONJ MASC;N;SG 2;FIN;IND;PL;PRS;V ADP NFIN;V MASC;N;PL _
ho preudeur ne gavint labour ebet e pariz .	ho breur ne kavout labour ebet e pariz .	DET MASC;N;PL ADV;NEG 3;FIN;FUT;IND;PL;V MASC;N;SG ADV ADP PROPN;SG _
piv zo da bevare ?	piv bezañ da pevare ?	PRO 3;FIN;IND;PRS;SG;V ADP ADJ _
e-doug ar mizioù diwezhañ hopoa pouezet war ar ret m eo ober ur c’hemm armerzhel .	e-doug an miz diwezhañ kaout pouezañ war an ret ma bezañ ober un kemm armerzhel .	ADP DET MASC;N;PL ADJ 2;FIN;IND;PL;PST;V PST;V;V.PTCP ADP DET ADJ CONJ 3;FIN;IND;PRS;SG;V NFIN;V DET MASC;N;SG ADJ _
ur pred krampouezh a vo kinniget war al lec'h .	un pred krampouezh a bezañ kinnig war an lec’h .	DET MASC;N;SG FEM;N;PL PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP DET MASC;N;SG _
ret eo deoc h dont .	ret bezañ da indirect dont .	ADJ 3;FIN;IND;PRS;SG;V ADP 2;ACC;PL;PRO NFIN;V _
e penn-kentañ ar sizhun dremenet ezeus tremenet un destenn evit ma vefe paouezet da dabutal diwar-benn al lezenn .	e penn-kentañ an sizhun tremen bezañ tremen un testenn evit ma bezañ paouez da tabutal diwar-benn an lezenn .	ADP MASC;N;SG DET FEM;N;SG PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET FEM;N;SG _ CONJ 3;COND;SG;V PST;V;V.PTCP ADP NFIN;V ADP DET FEM;N;SG _
tennit diouzh ar forn .	tennañ diouzh an forn .	2;PL;V ADP DET FEM;N;SG _
ni , breizhiz a galon , karomp hon gwir vro !	prpers , breizhad a kalon , karout hon gwir bro !	1;NOM;PL;PRO _ MASC;N;PL ADP FEM;N;SG _ 1;PL;V DET ADJ FEM;N;SG _
evit adkregiñ ganti i , pouezit adarre war an douchenn pause -se .	evit adkregiñ gant indirect , pouezañ adarre war an touchenn pause se .	ADP NFIN;V ADP 3;ACC;FEM;PRO;SG _ 2;PL;V ADV ADP DET FEM;N;SG MASC;N;SG ADV _
dre al lec'hioù .	dre an lec’h .	ADP DET MASC;N;PL _
