това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
според друго предсказание на артър кларк през следващото хилядолетие ни очаква среща с извънземна цивилизация .	според друг предсказание на артър кларк през следвам хилядолетие аз очаквам среща с извънземен цивилизация .	ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ADP ACT;ADJ;DEF;IPFV;NEUT;PRS;SG;V.PTCP INDF;N;NEUT;SG 1;ACC;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG _
какви бяха аргументите на съвета по отбрана да не се приеме срокът от шест месеца за висшистите ?	какъв съм аргумент на съвет по отбрана да не се приема срок от шест месец за висшист ?	DET;PL 3;ACT;FIN;IND;IPFV;PL;PST;V DEF;MASC;N;PL ADP DEF;MASC;N;SG ADP FEM;INDF;N;SG V NEG;PART ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V DEF;MASC;N;SG ADP INDF;NUM;PL MASC;N ADP DEF;MASC;N;PL _
най-важният фактор за определяне на цената на жилищата е съотношението между търсенето и предлагането .	важен фактор за определяне на цена на жилище съм съотношение между търсене и предлагане .	ADJ;DEF;MASC;RL;SG INDF;MASC;N;SG ADP INDF;N;NEUT;SG ADP DEF;FEM;N;SG ADP DEF;N;NEUT;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;N;NEUT;SG ADP DEF;N;NEUT;SG CONJ DEF;N;NEUT;SG _
камионът се завъртял по асфалта и кабината му се врязала в скалите .	камион се завъртя-(се) по асфалт и кабина мой се врежа-(се) в скала .	DEF;MASC;N;SG ACC;PRO;REFL ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP ADP DEF;MASC;N;SG CONJ DEF;FEM;N;SG 3;PRO ACC;PRO;REFL ACT;FEM;INDF;PFV;PST;SG;V;V.PTCP ADP DEF;FEM;N;PL _
същия ден - вмчк меркурий	същ ден - вмчк меркурий	ADJ;DEF;MASC;SG INDF;MASC;N;SG _ INDF;MASC;N;SG INDF;MASC;PROPN;SG
през отиващата си 2000 г. хората бяха принудени да изтърпят и поскъпване на тока , транспорта , таксите за образование , лекарствата , телефонните услуги , учебниците .	през отивам-(си) се 2000 година хора съм принудя-(се) да изтърпя и поскъпване на ток , транспорт , такса за образование , лекарство , телефонен услуга , учебник .	ADP ACT;ADJ;DEF;FEM;IPFV;PRS;SG;V.PTCP DAT;PRO;REFL ADJ;FEM;INDF;SG FEM;INDF;N;SG DEF;N 3;ACT;FIN;IND;IPFV;PL;PST;V INDF;PASS;PFV;PL;V;V.PTCP V 3;ACT;FIN;IND;PFV;PL;PRS;V CONJ INDF;N;NEUT;SG ADP DEF;MASC;N;SG _ DEF;MASC;N;SG _ DEF;FEM;N;PL ADP INDF;N;NEUT;SG _ DEF;N;NEUT;PL _ ADJ;DEF;PL FEM;INDF;N;PL _ DEF;MASC;N;PL _
другият вариант е да се смени жилището , кварталът .	друг вариант съм да се сменя-(се) жилище , квартал .	ADJ;DEF;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V DEF;N;NEUT;SG _ DEF;MASC;N;SG _
ако не беше основателното подозрение , че е някакъв политически хибрид между популизъм и лицемерие .	ако не съм основателен подозрение , че съм някакъв политически хибрид между популизъм и лицемерие .	CONJ NEG;PART 3;ACT;FIN;IND;IPFV;PST;SG;V ADJ;DEF;NEUT;SG INDF;N;NEUT;SG _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP INDF;MASC;N;SG CONJ INDF;N;NEUT;SG _
когато обаче се появи ситуация , намираща се извън вашия контрол , е по-вероятно да разчитате на емоционално фокусираното справяне ( folkman , & lazarus , 1980 ; vitaliano , dewolfe , maiuro , russo , & katon , 1990 ) .	когато обаче се появя-се ситуация , намирам-(се) се извън ваш контрол , съм вероятно да разчитам на емоционално фокусирам справяне ( folkman , и lazarus , 1980 ; vitaliano , dewolfe , maiuro , russo , и katon , 1990 ) .	ADV ADV ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V FEM;INDF;N;SG _ ACT;ADJ;FEM;INDF;IPFV;PRS;SG;V.PTCP ACC;PRO;REFL ADP 2;DEF;DET;MASC;SG INDF;MASC;N;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV;CMPR V 2;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADV ADJ;DEF;IPFV;NEUT;PASS;SG;V.PTCP INDF;N;NEUT;SG _ INDF;MASC;PROPN;SG _ CONJ INDF;MASC;PROPN;SG _ ADJ;FEM;INDF;SG _ INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG _ CONJ INDF;MASC;PROPN;SG _ ADJ;FEM;INDF;SG _ _
след тези отделни срещи той смята да проведе обща среща с шейтанов , добави източникът към 18 часа .	след този отделен среща аз смятам да проведа общ среща с шейтанов , добавя източник към 18 час .	ADP DET;PL ADJ;INDF;PL FEM;INDF;N;PL 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP INDF;MASC;PROPN;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG ADP INDF;NUM;PL DEF;MASC;N;SG _
