хоер үхибүүд хойно хойноһоонь түрөө .	хоёр үхибүүн хойно хойно түрэ .	NUM N;NOM;PL ADV AT+ABL;N;PSS3S V;V.MSDR _
магад , тунгус , эвенкнүүдтэй холисолдоһон арад гү ?	магад , тунгус , эвенк холи арад гү ?	ADV _ N;NOM _ COM;N;PL V N;NOM 3;PART;SG _
дурлаһан намайе ойлгоогүй дуугай хооһон тала байгааш .	дурлаһан би ойлгоогүй дуугай хооһон тала бай .	ADJ 1;GEN;PRO;SG ADJ ADJ ADJ N;NOM 2;FIN;IND;IPFV;PST;SG;V _
3-дахи классай һүүлээр ерээд , хотын һуралсалай программа ондоо байжа , нютагайнгаа һургуулиин 4-дэхи класста орохо аад , нэгэ класс алгадажа , одоо ганса “ 2 ” гэһэн сэгнэлтэнүүдые абажа эхилээб .	3 класс һүүлээр ерэ , хото һуралсал программа ондо бай , нютаг һургуули 4 класс оро аад , нэгэ класс алгада , одоо ганса “ 2 ” гэһэн сэгнэлтэ аба эхил .	NUM GEN;N ADV 3;FIN;IND;IPFV;PL;PST;V _ GEN;N GEN;N N;NOM ADJ V _ GEN;N;REFL GEN;N NUM DAT;N V CONJ _ NUM N;NOM V _ ADV ADV _ NUM _ ADV ACC;N;PL V 1;SG;V _
манай корреспондент усть-ордын буряадай тойрогоор мэдээжэ сурбалжалагшатай уулзажа , ажалайнгаа үедэ дайралдаһан һонирхолтой ушарнуудаар хубаалдахыень гуйһан байна .	бидэ корреспондент усть-орда буряад тойрог мэдээжэ сурбалжалагша уулза , ажал үе дайралда һонирхолтой ушар хубаалда гуй бай .	1;GEN;PL;PRO N;NOM GEN;PROPN GEN;N N ADJ COM;N V _ GEN;N;REFL DAT;N 3;FIN;IND;PST;SG;V ADJ N;PL ACC;PSS3S;V;V.MSDR 3;FIN;IND;PST;SG;V 3;FIN;IND;SG;V _
мэлс ахань – биолог .	мэлс аха – биолог .	NOM;PROPN N;NOM;PSS3S _ N;NOM _
даяар дэлхэйдэ 376 сая һүзэгтэдтэй .	даяар дэлхэй 376 сая һүзэгтэ .	DET DAT;N NUM N;NOM GEN;N;PL _
юуб гэбэл , холын гүүртэнүүдэй хүүгэдые совхозой автобус гэр гэртэнь тарааха ёһотой аад , ехэнхидээ бидэнэй хойноһоо ерэдэггүй һэн .	юун гэ , холын гүүртэ хүүгэн совхоз автобус гэр гэр тара ёһотой аад , ехэнхидээ бидэ хойноһоо ерэ һэн .	NOM;PRO COND;V;V.CVB _ ADV GEN;N;PL ACC;N;PL GEN;N N;NOM N;NOM DAT;N;PSS3S V ADV CONJ _ ADV 1;GEN;PL;PRO ADV 3;FIN;HAB;IND;SG;V PART _
гэртээ ерэмсээрээ , түлхюур таһаг дээрэ орхеоб .	гэр ерэ , түлхюур таһаг дээрэ орхи .	DAT;N;REFL V;V.MSDR _ N;NOM N;NOM ADP V _
зандин тоонтоёо ошоходоо , түгнынгөө талаһаа хүсэ абадагби .	зандин тоонто ошо , түгнын тала хүсэ аба .	NOM;PROPN N;NOM DAT;REFL;V;V.MSDR _ NOM;PROPN;REFL AT+ABL;N N;NOM 1;FIN;HAB;IND;SG;V _
хабарай аялганууд дуулдана тойроод .	хабар аялга дуулда тойроод .	GEN;N N;NOM;PL 3;FIN;IND;SG;V ADV _
буладай абын аха раднаев еши гэжэ абгань 1940 ондо москва хотодо үнгэргэгдэһэн буряад соёлой декадада хабаадажа , бөө удаганай хатар гүйсэдхэһэн байна .	булад аба аха раднаев еши гэ абга 1940 он москва хото үнгэргэ буряад соёл декада хабаада , бөө удаган хатар гүйсэдхэ бай .	GEN;MASC;PROPN GEN;N N;NOM MASC;NOM;PROPN MASC;NOM;PROPN V N;NOM;PSS3S NUM DAT;N NOM;PROPN DAT;N 3;FIN;IND;PST;SG;V ADJ GEN;N DAT;N V _ N;NOM GEN;N N;NOM 3;FIN;IND;PST;SG;V 3;FIN;IND;SG;V _
эхэнэр , хэнэй түмэр морин һандарааб , эндэ ерээд байна .	эхэнэр , хэнэй түмэр морин һандар , эндэ ерэ бай .	N;NOM _ PRO ADJ N;NOM 1;SG;V _ ADV 3;FIN;IND;IPFV;PL;PST;V 3;FIN;IND;SG;V _
эхэ эсэгэнь жиирэй зон , колхозой ажалшад .	эхэ эсэгэ жиирэй зон , колхоз ажал .	N;NOM N;NOM;PSS3S ADJ N;NOM _ GEN;N V _
буряад ороной росси гүрэндэ һайн дураараа хамжан ороһоор 350 жэлэй ойн баярта дашарамдуулан , үзэсхэлэнтэ һайхан видеоролик буулгаһан байна .	буряад орон росси гүрэн һайн дураараа хам оро 350 жэл ой баяр дашарамдуулан , үзэсхэлэн һайхан видеоролик буулга бай .	N;NOM GEN;N NOM;PROPN DAT;N ADJ N;NOM V V NUM GEN;N N;NOM DAT;N FIN;IMP;V _ DAT;N ADV N;NOM 3;FIN;IND;PST;SG;V 3;FIN;IND;SG;V _
эрдэмтэдэй наһаараа шэнжэлдэг , гүнзэгы удха тайлбарилха ажал тэндэ ехэ ааб даа .	эрдэмтэн наһан шэнжэл , гүнзэгы удха тайлбарил ажал тэндэ ехэ ааб даа .	GEN;N;PL N;REFL V _ ADV N;NOM V N;NOM ADV ADV PART PART _
тиигэжэ 50-дахи ойн баярай премьерэ үнгэрөө .	тиигэжэ 50 ой баяр премьер үнгэр .	ADV NUM N;NOM GEN;N ACC;N 3;SG;V _
тэрэ нааданда орохо ори ганса билет багшань асараад , оюутад соо жээрэб татуулаа .	тэрэ наадан оро ори ганса билет багша асар , оюутан соо жээрэб тата .	DET DAT;N V ADV ADV N;NOM N;NOM;PSS3S 3;PL;V _ N;NOM;PL ADP N;NOM 3;CAUS;SG;V _
цыпелма тангатовнагай урда тээ эндэ бии болгогдоһон « ургы » гэһэн бүлгэм « ургыхан » гэжэ нэрлээд , нютагай үхибүүдтэ хатар наада заадаг юм .	цыпелма тангатович урда тээ эндэ бии болго « ургы » гэһэн бүлгэм « ургыхан » гэ нэрлэ , нютаг үхибүүн хатар наада заа юм .	FEM;NOM;PROPN FEM;GEN;PROPN ADP ADP ADV FIN;IMP;V V _ NOM;PROPN _ ADV N;NOM _ NOM;PROPN _ V V;V.MSDR _ GEN;N DAT;N;PL N;NOM N;NOM V FH;V _
игаузу гээшэ томо гүрэн гү , бага гү ?	игаузу гээшэ томо гүрэн гү , бага гү ?	NOM;PROPN FIN;IMP;V ADJ N;NOM 3;PART;SG _ ADJ 3;PART;SG _
юумэ хэлэжэ ядаха , буряадаар хэлэхэеэ эшэхэ , тиимэһээ бэеэ абанги , дуугай ябаха .	юумэн хэлэ яда , буряадаар хэлэ эшэ , тиимэһээ бэе аба , дуугай яба .	N;NOM V V _ ADV V V _ CONJ ACC;N V;V.MSDR _ ADV V _
энээхэниие соошоогоо , хүбүүн мориной нюрган дээрэһээнь унахадань .	энээхэн сошоо , хүбүүн морин нюрган дээрэһээнь уна .	ACC;PRO V;V.MSDR _ N;NOM GEN;N N;NOM ADP DAT;PSS3S;V;V.MSDR _
үнөөхи бархируулһан үхибүүниинь , мүнөө хүрэтэрөө болингүйгөөр үлүү уйлана .	үнөөхи бархируулһан үхибүүн , мүнөө хүрэтэрөө болингүйгөөр үлүү уйла .	NOM;PRO ADJ ACC;N _ ADV ADP ADV ADV 3;FIN;IND;SG;V _
тэрэ хүн ехэ хүндөөр хэнхэй байна .	тэрэ хүн ехэ хүндөөр хэ бай .	DET N;NOM ADV ADV V 3;FIN;IND;SG;V _
концертын нэгэдэхи хубидань театрай артистнар дуу , хатараа бэлэглээ .	концерт нэгэ хуби театр артистнар дуу , хатар бэлэглэ .	GEN;N NOM;NUM DAT;N;PSS3S GEN;N N;NOM N;NOM _ N;NOM;REFL V;V.MSDR _
