část druhá	část druhý	FEM;N;NOM;POS;SG ADJ;FEM;NOM;POS;SG
(4) z účetních jednotek podle §_1_odst._2_písm._d)_až_h) mohou vést účetnictví ve zjednodušeném rozsahu ty , které nemají povinnost mít účetní závěrku ověřenu auditorem , nebo ty , o nichž to stanoví zvláštní zákon .	(4) z účetní jednotka podle §_1_odst._2_písm._d)_až_h) moci vést účetnictví v zjednodušený rozsah ten , který mít povinnost mít účetní závěrka ověřenuý auditor , nebo ten , o jenž ten stanovit zvláštní zákon .	_ ADP;GEN ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS ADP;GEN _ 3;ACT;FIN;IND;PL;POS;PRS;V NFIN;POS;V ACC;N;NEUT;POS;SG ADP;ESS ADJ;ESS;INAN;MASC;POS;SG ESS;INAN;MASC;N;POS;SG ACC;DET;FEM;PL _ DET;FEM;NOM;PL 3;ACT;FIN;IND;NEG;PL;PRS;V ACC;FEM;N;POS;SG NFIN;POS;V ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG ACC;ADJ;FEM;PASS;POS;SG;V.PTCP ANIM;INS;MASC;N;POS;SG _ CONJ ACC;ANIM;DET;MASC;PL _ ADP;ESS ESS;PL;PRO ACC;DET;NEUT;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG _
(8) účetní jednotky jsou povinny dodržovat při vedení účetnictví zejména směrnou účtovou osnovu , uspořádání a označování položek účetní závěrky a konsolidované účetní závěrky , obsahové vymezení těchto závěrek , účetní metody , podmínky předávání a přebírání účetních záznamů a ostatní podmínky vedení účetnictví stanovené prováděcími právními předpisy .	(8) účetní jednotka být povinný dodržovat při vedení účetnictví zejména směrný účtový osnova , uspořádání a označování položka účetní závěrka a konsolidovaný účetní závěrka , obsahový vymezení tento závěrka , účetní metoda , podmínka předávání a přebírání účetní záznam a ostatní podmínka vedení účetnictví stanovený prováděcí právní předpis .	_ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;INAN;PL;POS;{FEM/MASC} NFIN;POS;V ADP;ESS ESS;N;NEUT;POS;SG GEN;N;NEUT;POS;SG ADV ACC;ADJ;FEM;POS;SG ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG _ ACC;N;NEUT;POS;SG CONJ ACC;N;NEUT;POS;SG FEM;GEN;N;PL;POS ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG CONJ ADJ;FEM;GEN;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ ADJ;NEUT;NOM;POS;SG N;NEUT;NOM;POS;SG DET;GEN;PL FEM;GEN;N;PL;POS _ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS _ FEM;N;NOM;PL;POS GEN;N;NEUT;POS;SG CONJ N;NEUT;NOM;POS;SG ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS CONJ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS GEN;N;NEUT;POS;SG GEN;N;NEUT;POS;SG ADJ;FEM;GEN;POS;SG ADJ;INAN;INS;MASC;PL;POS ADJ;INAN;INS;MASC;PL;POS INAN;INS;MASC;N;PL;POS _
(3) pokud zákon o přeměnách obchodních společností a družstev ukládá povinnost ocenění jmění při přeměně společnosti , oceňuje se majetek a závazky reálnou hodnotou v případech stanovených prováděcím právním předpisem ; prováděcí právní předpis stanoví i okamžik účtování o ocenění reálnou hodnotou .	(3) pokud zákon o přeměna obchodní společnost a družstvo ukládat povinnost ocenění jmění při přeměna společnost , oceňovat se majetek a závazek reálný hodnota v případ stanovený prováděcí právní předpis ; prováděcí právní předpis stanovit i okamžik účtování o ocenění reálný hodnota .	_ CONJ INAN;MASC;N;NOM;POS;SG ADP;ESS ESS;FEM;N;PL;POS ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS CONJ GEN;N;NEUT;PL;POS 3;ACT;FIN;IND;POS;PRS;SG;V FEM;N;NOM;POS;SG GEN;N;NEUT;POS;SG GEN;N;NEUT;POS;SG ADP;ESS ESS;FEM;N;POS;SG FEM;GEN;N;POS;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;PRO;REFL INAN;MASC;N;NOM;POS;SG CONJ INAN;MASC;N;NOM;PL;POS ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG ADP;ESS ESS;INAN;MASC;N;PL;POS ADJ;ESS;INAN;MASC;PL;POS ADJ;INAN;INS;MASC;POS;SG ADJ;INAN;INS;MASC;POS;SG INAN;INS;MASC;N;POS;SG _ ADJ;INAN;MASC;NOM;POS;SG ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V CONJ INAN;MASC;N;NOM;POS;SG GEN;N;NEUT;POS;SG ADP;ESS ESS;N;NEUT;POS;SG ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG _
obecná ustanovení	obecný ustanovení	ADJ;NEUT;NOM;PL;POS N;NEUT;NOM;PL;POS
(1) na sestavování účetních výkazů za českou republiku se ustanovení §_22 až 22b , §_23_odst._1_až_4_a_§_23a nevztahují .	(1) na sestavování účetní výkaz za český republika se ustanovení §_22 až 22b , §_23_odst._1_až_4_a_§_23a vztahovat .	_ ACC;ADP ACC;N;NEUT;POS;SG ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS ACC;ADP ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG ACC;PRO;REFL N;NEUT;NOM;PL;POS _ PART _ _ _ 3;ACT;FIN;IND;NEG;PL;PRS;V _
(1) konsolidovanou účetní závěrku tvoří rozvaha , výkaz zisku a ztráty a příloha .	(1) konsolidovaný účetní závěrka tvořit rozvaha , výkaz zisk a ztráta a příloha .	_ ACC;ADJ;FEM;POS;SG ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V FEM;N;NOM;POS;SG _ INAN;MASC;N;NOM;POS;SG GEN;INAN;MASC;N;POS;SG CONJ FEM;GEN;N;POS;SG CONJ FEM;N;NOM;POS;SG _
rozsah vedení účetnictví	rozsah vedení účetnictví	INAN;MASC;N;NOM;POS;SG GEN;N;NEUT;POS;SG GEN;N;NEUT;POS;SG
ostatní účetní jednotky se mohou od standardů odchýlit , pokud tím zajistí věrný a poctivý obraz předmětu účetnictví .	ostatní účetní jednotka se moci od standard odchýlit , pokud ten zajistit věrný a poctivý obraz předmět účetnictví .	ADJ;FEM;NOM;PL;POS ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS ACC;PRO;REFL 3;ACT;FIN;IND;PL;POS;PRS;V ADP;GEN GEN;INAN;MASC;N;PL;POS NFIN;POS;V _ CONJ DET;INS;SG;{MASC/NEUT} 3;ACT;FIN;IND;POS;PRS;SG;V ACC;ADJ;INAN;MASC;POS;SG CONJ ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG _
(8) položka " c.ii.7._jiné_pohledávky " obsahuje u všech účetních jednotek zejména dlouhodobé pohledávky za zaměstnanci , pohledávky z prodeje podniku nebo jeho části , pohledávky z pronájmu podniku nebo jeho části , nakoupené opce , pohledávky z titulu náhrady mank a škod a dlouhodobé pohledávky z vydaných dluhopisů .	(8) položka " "c.ii.7._jiné_pohledávky" " obsahovat u všechen účetní jednotka zejména dlouhodobý pohledávka za zaměstnanec , pohledávka z prodej podnik nebo jeho část , pohledávka z pronájem podnik nebo jeho část , nakoupený opce , pohledávka z titulus náhrada manko a škoda a dlouhodobý pohledávka z vydaný dluhopis .	_ FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V ADP;GEN DET;GEN;PL ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS ADV ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG ADP;INS ANIM;INS;MASC;N;PL;POS _ ACC;FEM;N;PL;POS ADP;GEN GEN;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG CONJ 3;DET;PSSS ACC;FEM;N;PL;POS _ ACC;FEM;N;PL;POS ADP;GEN GEN;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG CONJ 3;DET;PSSS FEM;N;NOM;PL;POS _ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS _ FEM;N;NOM;PL;POS ADP;GEN GEN;INAN;MASC;N;POS;SG FEM;GEN;N;POS;SG GEN;N;NEUT;PL;POS CONJ FEM;GEN;N;PL;POS CONJ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS ADP;GEN ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS _
položka " c._osobní_náklady " obsahuje mzdové náklady , včetně příjmů společníků a členů družstva ze závislé činnosti , odměny členům orgánů společnosti a družstva , náklady na sociální zabezpečení a zdravotní pojištění zákonné i ostatní a sociální náklady zákonné i ostatní , včetně sociálních nákladů fyzické osoby .	položka " "c._osobní_náklady" " obsahovat mzdový náklad , včetně příjem společník a člen družstvo z závislý činnost , odměna člen orgán společnost a družstvo , náklad na sociální zabezpečení a zdravotní pojištění zákonný i ostatní a sociální náklad zákonný i ostatní , včetně sociální náklad fyzický osoba .	FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;ADJ;INAN;MASC;PL;POS ACC;INAN;MASC;N;PL;POS _ ADP;GEN GEN;INAN;MASC;N;PL;POS ANIM;GEN;MASC;N;PL;POS CONJ ANIM;GEN;MASC;N;PL;POS GEN;N;NEUT;POS;SG ADP;GEN ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ FEM;N;NOM;PL;POS ANIM;DAT;MASC;N;PL;POS GEN;INAN;MASC;N;PL;POS FEM;GEN;N;POS;SG CONJ GEN;N;NEUT;POS;SG _ INAN;MASC;N;NOM;PL;POS ACC;ADP ACC;ADJ;NEUT;POS;SG ACC;N;NEUT;POS;SG CONJ ACC;ADJ;NEUT;POS;SG ACC;N;NEUT;POS;SG ADJ;INAN;MASC;NOM;PL;POS CONJ ADJ;INAN;MASC;NOM;PL;POS CONJ ADJ;INAN;MASC;NOM;PL;POS INAN;MASC;N;NOM;PL;POS ADJ;INAN;MASC;NOM;PL;POS CONJ ADJ;INAN;MASC;NOM;PL;POS _ ADP;GEN ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _
