a právě v tuto chvíli je jeho lítost tak veliká , že se mu náhle z její hlubiny vynořuje skutečná , živoucí boží tvář .	a právě v tento chvíle být jeho lítost tak veliký , že se on náhle z jeho hlubina vynořovat skutečný , živoucí boží tvář .	CONJ ADV ACC;ADP ACC;DET;FEM;SG ACC;FEM;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V 3;DET;FEM;NOM;PSSS;SG FEM;N;NOM;POS;SG ADV ADJ;FEM;NOM;POS;SG _ CONJ ACC;PRO;REFL 3;ANIM;DAT;MASC;PRO;SG ADV;POS ADP;GEN 3;DET;FEM;GEN;PSSS;SG FEM;GEN;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;NOM;POS;SG _ ADJ;FEM;NOM;POS;SG ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG _
možná to ani láska není .	možná ten ani láska být .	PART DET;NEUT;NOM;SG PART FEM;N;NOM;POS;SG 3;ACT;FIN;IND;NEG;PRS;SG;V _
primář řekl :	primář říci :	ANIM;MASC;N;NOM;POS;SG ACT;ANIM;MASC;POS;PST;SG;V;V.PTCP _
místní si ale nestěžovali .	místní se ale stěžovat .	ADJ;ANIM;MASC;NOM;PL;POS DAT;PRO;REFL CONJ ACT;ANIM;MASC;NEG;PL;PST;V;V.PTCP _
takhle by měli doma aspoň chvíli pokoj .	takhle být mít doma aspoň chvíle pokoj .	ADV COND;FIN;V ACT;ANIM;MASC;PL;POS;PST;V;V.PTCP ADV PART ACC;FEM;N;POS;SG ACC;INAN;MASC;N;POS;SG _
dokázala je rozehřát snad jedině zoufalá snaha udělat bugr a vykřesat trochu srandy z té věčné otročiny , ale jediným způsobem jejich zábavy byl alkohol a rvačky .	dokázat on rozehřát snad jedině zoufalý snaha udělat bugr a vykřesat trochu sranda z ten věčný otročina , ale jediný způsob jeho zábava být alkohol a rvačka .	ACT;FEM;POS;PST;SG;V;V.PTCP 3;ACC;ANIM;MASC;PL;PRO NFIN;POS;V PART ADV ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG NFIN;POS;V ACC;INAN;MASC;N;POS;SG CONJ NFIN;POS;V ACC;FEM;N;POS;SG FEM;GEN;N;POS;SG ADP;GEN DET;FEM;GEN;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ CONJ ADJ;INAN;INS;MASC;POS;SG INAN;INS;MASC;N;POS;SG 3;DET;FEM;GEN;PSSP;SG FEM;GEN;N;POS;SG ACT;INAN;MASC;POS;PST;SG;V;V.PTCP INAN;MASC;N;NOM;POS;SG CONJ FEM;N;NOM;PL;POS _
vyšla jsem si s vnoučkem do zahrady .	vyjít být se s vnouček do zahrada .	ACT;FEM;POS;PST;SG;V;V.PTCP 1;ACT;FIN;IND;POS;PRS;SG;V DAT;PRO;REFL ADP;INS ANIM;INS;MASC;N;POS;SG ADP;GEN FEM;GEN;N;POS;SG _
" mám obrázek , " volalo ale stále radostně děvčátko , tříleté usměvavé děvčátko .	" mít obrázek , " volat ale stále radostně děvčátko , tříletý usměvavý děvčátko .	_ 1;ACT;FIN;IND;POS;PRS;SG;V ACC;INAN;MASC;N;POS;SG _ _ ACT;NEUT;POS;PST;SG;V;V.PTCP CONJ ADV ADV;POS N;NEUT;NOM;POS;SG _ ADJ;NEUT;NOM;POS;SG ADJ;NEUT;NOM;POS;SG N;NEUT;NOM;POS;SG _
václav havel	václav havel	ANIM;MASC;NOM;POS;PROPN;SG ANIM;MASC;NOM;POS;PROPN;SG
teď tvrdíš , že ani život není řešení , " rozčílil se žák .	teď tvrdit , že ani život být řešení , " rozčílit se žák .	ADV 2;ACT;FIN;IND;POS;PRS;SG;V _ CONJ PART INAN;MASC;N;NOM;POS;SG 3;ACT;FIN;IND;NEG;PRS;SG;V N;NEUT;NOM;POS;SG _ _ ACT;ANIM;MASC;POS;PST;SG;V;V.PTCP ACC;PRO;REFL ANIM;MASC;N;NOM;POS;SG _
listy jsou na špičce zakulacené .	list být na špička zakulacený .	INAN;MASC;N;NOM;PL;POS 3;ACT;FIN;IND;PL;POS;PRS;V ADP;ESS ESS;FEM;N;POS;SG ADJ;INAN;MASC;NOM;PL;POS _
byla příšerně přecitlivělá a cedila slzy pro každou maličkost .	být příšerně přecitlivělý a cedit slza pro každý maličkost .	ACT;FEM;POS;PST;SG;V;V.PTCP ADV;POS ADJ;FEM;NOM;POS;SG CONJ ACT;FEM;POS;PST;SG;V;V.PTCP ACC;FEM;N;PL;POS ACC;ADP ACC;DET;FEM;POS;SG ACC;FEM;N;POS;SG _
že zůstanu úplně sám . "	že zůstat úplně sám . "	CONJ 1;ACT;FIN;IND;POS;PRS;SG;V ADV;POS ANIM;DET;MASC;NOM;SG _ _
náklaďák jel dál , ale jeden z profesorů vzhlédl vzhůru .	náklaďák jet dále , ale jeden z profesor vzhlédnout vzhůru .	INAN;MASC;N;NOM;POS;SG ACT;INAN;MASC;POS;PST;SG;V;V.PTCP ADV _ CONJ ANIM;MASC;NOM;NUM;SG ADP;GEN ANIM;GEN;MASC;N;PL;POS ACT;ANIM;MASC;POS;PST;SG;V;V.PTCP ADV _
za války bylo máchovo jezero podivnou končinou .	za válka být máchův jezero podivný končina .	ADP;GEN FEM;GEN;N;POS;SG ACT;NEUT;POS;PST;SG;V;V.PTCP ADJ;NEUT;NOM;PSS;SG N;NEUT;NOM;POS;SG ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG _
