« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
rené magritte museum in brussel	rené magritte museum in brussel	PROPN PROPN PROPN ADP NEUT;PROPN;SG
giro	giro	MASC+FEM;PROPN;SG
san diego	san diego	PROPN PROPN
op een dag liep hij op de vlucht tijdens een bombardement op de stad een ouwe scoutsvriend tegen het lijf .	op een dag lopen hij op de vlucht tijdens een bombardement op de stad een oud scoutsvriend tegen het lijf .	ADP DET;INDF MASC+FEM;N;SG FIN;PST;SG;V 3;NOM;PRO ADP DEF;DET MASC+FEM;N;SG ADP DET;INDF N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG _
amel ( amblève ) ( met meyerode en heppenbach )	amel ( amblève ) ( met meyerode en heppenbach )	NEUT;PROPN;SG _ MASC+FEM;PROPN;SG _ _ ADP NEUT;PROPN;SG CONJ NEUT;PROPN;SG _
in 1840 werd zijn stoffelijk overschot naar parijs overgebracht , en bijgezet in de dôme des invalides .	in 1840 worden zijn stoffelijk overschot naar parijs overbrengen , en bijzetten in de dôme des invalides .	ADP NUM FIN;PST;SG;V 3;PRO ADJ N;NEUT;SG ADP NEUT;PROPN;SG V;V.PTCP _ CONJ V;V.PTCP ADP DEF;DET _ _ _ _
de vlaamse overheid kent zeven departementen .	de vlaams overheid kennen zeven departement .	DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V NUM N;PL _
nationaal jenevermuseum hasselt	nationaal jenevermuseum hasselt	ADJ N;NEUT;SG NEUT;PROPN;SG
1925 - denis verschueren	1925 - denis verschueren	NUM _ PROPN PROPN
er zijn ook wisselende tentoonstellingen .	er zijn ook wisselen tentoonstelling .	ADV FIN;PL;PRS;V ADV V;V.PTCP N;PL _
staatshervormingen	staatshervorming	N;PL
adolphe zat in de tweede wereldoorlog in het leopoldistisch verzet .	adolphe zitten in de twee wereldoorlog in het leopoldistisch verzet .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET ADJ N;NEUT;SG _
jean-claude van damme , 1960 , acteur , bijgenaamd de " muscles from brussels "	jean-claude van damme , 1960 , acteur , bijgenaamd de " muscles from brussels "	PROPN PROPN PROPN _ NUM _ MASC+FEM;N;SG _ ADJ DEF;DET _ PROPN PROPN PROPN _
woestijnvis is gevestigd op het bedrijventerrein « horizonpark » te zaventem .	woestijnvis zijn vestigen op het bedrijventerrein « horizondpark » te zaventem .	MASC+FEM;PROPN;SG FIN;PRS;SG;V V;V.PTCP ADP DEF;DET N;NEUT;SG _ NEUT;PROPN;SG _ ADP NEUT;PROPN;SG _
hij is fractievoorzitter , en onder zijn leiding groeide het vlaams blok uit van een tweemansfractie tot de op drie na grootste vlaamse fractie met 18 leden .	hij zijn fractievoorzitter , en onder zijn leiding groeien het vlaams blok uit van een tweemansfractie tot de op drie na groot vlaams fractie met 18 lid .	3;NOM;PRO FIN;PRS;SG;V MASC+FEM;N;SG _ CONJ ADP 3;PRO MASC+FEM;N;SG FIN;PST;SG;V DEF;DET PROPN PROPN ADP ADP DET;INDF MASC+FEM;N;SG ADP DEF;DET ADP NUM ADP ADJ;RL ADJ MASC+FEM;N;SG ADP NUM N;PL _
oog & blik	oog & blik	PROPN PROPN PROPN
de nieuwe albumuitgaven uit 2005 ( « de flierende fluiter » , « de formidabele fantast » , « het slapende goud » en « de kaduke klonen » ) zijn alle voorzien van een speciaal 60-jaar-logo .	de nieuw albumuitgave uit 2005 ( « de flieren fluiter » , « de formidabel fantast » , « het slapen goud » en « de kaduuk kloon » ) zijn al voorzien van een speciaal 60-jaar-logo .	DEF;DET ADJ N;PL ADP NUM _ _ DEF;DET V;V.PTCP MASC+FEM;N;SG _ _ _ DEF;DET ADJ MASC+FEM;N;SG _ _ _ DEF;DET V;V.PTCP N;NEUT;SG _ CONJ _ DEF;DET ADJ N;PL _ _ FIN;PL;PRS;V PRO V;V.PTCP ADP DET;INDF ADJ NEUT;PROPN;SG _
hierin staat onder meer de geschiedenis van suske & wiske , interviews met striptekenaars en het korte verhaal « het mopperende masker » .	hierin staan onder veel de geschiedenis van suske & wiske , interview met striptekenaar en het kort verhaal « het mopperen masker » .	ADV FIN;PRS;SG;V ADP PRO DEF;DET MASC+FEM;N;SG ADP PROPN PROPN PROPN _ N;PL ADP N;PL CONJ DEF;DET ADJ N;NEUT;SG _ DEF;DET V;V.PTCP N;NEUT;SG _ _
in november 1998 laat onderzoeksrechter bruno bulthé dit door wetenschappers van de kul onderzoeken .	in november 1998 laten onderzoeksrechter bruno bulthé dit door wetenschapper van de kul onderzoeken .	ADP MASC+FEM;PROPN;SG NUM FIN;PRS;SG;V MASC+FEM;N;SG PROPN PROPN 3;PRO ADP N;PL ADP DEF;DET MASC+FEM;PROPN;SG NFIN;V _
2004 - steven de jongh ( ned )	2004 - steven de jongh ( ned )	NUM _ PROPN PROPN PROPN _ MASC+FEM;PROPN;SG _
het nederlands is de officiële taal in het vlaams gewest en samen met het frans in brussel , terwijl het frans in wallonië de officiële taal is , naast het duits in enkele oostelijke gemeenten .	het nederlands zijn de officieel taal in het vlaams gewest en samen met het frans in brussel , terwijl het frans in wallonië de officieel taal zijn , naast het duits in enkel oostelijk gemeente .	DEF;DET NEUT;PROPN;SG FIN;PRS;SG;V DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET PROPN PROPN CONJ ADV ADP DEF;DET NEUT;PROPN;SG ADP NEUT;PROPN;SG _ CONJ DEF;DET NEUT;PROPN;SG ADP NEUT;PROPN;SG DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V _ ADP DEF;DET NEUT;PROPN;SG ADP DET ADJ N;PL _
bikongo of kongo ; een afrikaanse stam	bikongo of kongo ; een afrikaans stam	MASC+FEM;PROPN;SG CONJ MASC+FEM;PROPN;SG _ DET;INDF ADJ MASC+FEM;N;SG
lokale recherche ,	lokaal recherche ,	ADJ MASC+FEM;N;SG _
