1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
so in a way people often do n't know how to combine the two fields .	so in a way people often do n't know how to combine the two field .	ADV ADP DET;INDF N;SG N;PL ADV FIN;IND;PRS;V NEG;PART NFIN;V CONJ PART NFIN;V DEF;DET NUM N;PL _
everything is white and hospital-like but there ’s no examining couch .	everything be white and hospital-like but there be no examining couch .	N;SG 3;FIN;IND;PRS;SG;V ADJ CONJ ADJ CONJ PRO 3;FIN;IND;PRS;SG;V DET;NEG N;SG N;SG _
so ultimately i decided that ehow 's model would not build the resource i envisioned .	so ultimately i decide that ehow 's model would not build the resource i envision .	ADV ADV 1;NOM;PRO;SG FIN;IND;PST;V CONJ PROPN;SG PART N;SG FIN;V NEG;PART NFIN;V DEF;DET N;SG 1;NOM;PRO;SG FIN;IND;PST;V _
it was n’t as loud as my heels .	it be n't as loud as my heel .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V NEG;PART ADV ADJ ADP 1;PRO;SG N;PL _
your reserve chute should have been packed by a certified rigger and is moderately less likely to fail ;	your reserve chute should have be pack by a certified rigger and be moderately less likely to fail ;	2;PRO N;SG N;SG FIN;V NFIN;V PST;V;V.PTCP PST;V;V.PTCP ADP DET;INDF ADJ N;SG CONJ 3;FIN;IND;PRS;SG;V ADV ADV;CMPR ADJ PART NFIN;V _
this will make grammar much easier to make .	this will make grammar much easy to make .	PRO;SG FIN;V NFIN;V N;SG ADV ADJ;CMPR PART NFIN;V _
the current study will contribute to the development of further qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .	the current study will contribute to the development of further qualitative and quantitative research that will more clearly define the information behavior of the transmedia fan .	DEF;DET ADJ N;SG FIN;V NFIN;V ADP DEF;DET N;SG ADP ADJ;CMPR ADJ CONJ ADJ N;SG PRO FIN;V ADV ADV NFIN;V DEF;DET N;SG N;PL ADP DEF;DET N;SG N;SG _
dance to the elevator music .	dance to the elevator music .	NFIN;V ADP DEF;DET N;SG N;SG _
otto jespersen	otto jespersen	PROPN;SG PROPN;SG
' aviatio ' comes from english .	' aviatio ' come from english .	_ _ _ 3;FIN;IND;PRS;SG;V ADP PROPN;SG _
1/2 cup ( 120 ml ) vegetable oil	@card@ cup ( @card@ ml ) vegetable oil	NUM N;SG _ NUM N;SG _ N;SG N;SG
we hypothesized that the children , who were over the age of six at the time of collection , would have adult-like si interpretations .	we hypothesize that the child , who be over the age of six at the time of collection , would have adult-like si interpretation .	1;NOM;PL;PRO FIN;IND;PST;V CONJ DEF;DET N;PL _ PRO FIN;IND;PST;V ADP DEF;DET N;SG ADP NUM ADP DEF;DET N;SG ADP N;SG _ FIN;V NFIN;V ADJ N;SG N;PL _
do you remember ?	do you remember ?	NFIN;V 2;NOM;PRO NFIN;V _
in 1891 she met her future advisor who would help , she assumed , this poet-turned-fiction-writer and connect her with editors : tosui nakarai .	in @card@ she meet her future advisor who would help , she assume , this poet-turned-fiction-writer and connect her with editor : tosui nakarai .	ADP NUM 3;FEM;NOM;PRO;SG FIN;IND;PST;V 3;FEM;PRO;SG ADJ N;SG PRO FIN;V NFIN;V _ 3;FEM;NOM;PRO;SG FIN;IND;PST;V _ DET;SG N;SG CONJ NFIN;V 3;ACC;FEM;PRO;SG ADP N;PL _ PROPN;SG PROPN;SG _
" barn cats " may not be socialized well with humans , although used to hunting mice for food .	" barn cat " may not be socialize well with human , although use to hunting mouse for food .	_ N;SG N;PL _ FIN;V NEG;PART NFIN;V PST;V;V.PTCP ADV ADP N;PL _ CONJ PST;V;V.PTCP PART V;V.MSDR N;PL ADP N;SG _
they could also use regular-length hockey sticks to hit bludgers ( perhaps wiffle balls ) on the ground .	they could also use regular-length hockey stick to hit bludgers ( perhaps wiffle ball ) on the ground .	3;NOM;PL;PRO FIN;V ADV NFIN;V N;SG N;SG N;PL PART NFIN;V N;PL _ ADV N;SG N;PL _ ADP DEF;DET N;SG _
method 1 of 2 : from seeds	method 1 of 2 : from seeds	N;SG NUM ADP NUM _ ADP N;PL
i 'm like , ‘ are you insane ?	i be like , ' be you insane ?	1;NOM;PRO;SG FIN;IND;PRS;V ADJ _ _ FIN;IND;PRS;V 2;NOM;PRO ADJ _
the independent reported self-medicating ants a first among insects .	the independent report self-medicating ant a first among insect .	DEF;DET PROPN;SG FIN;IND;PST;V V;V.MSDR N;PL DET;INDF ADJ ADP N;PL _
it is a hub for american airlines and southwest airlines .	it be a hub for american airlines and southwest airlines .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP PROPN;SG PL;PROPN CONJ PROPN;SG PL;PROPN _
the history of values is okay because wisdom is ageless ; it does n’t grow old , like material .	the history of value be okay because wisdom be ageless ; it do n't grow old , like material .	DEF;DET N;SG ADP N;PL 3;FIN;IND;PRS;SG;V ADJ CONJ N;SG 3;FIN;IND;PRS;SG;V ADJ _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PART NFIN;V ADJ _ ADP N;SG _
drink responsibly .	drink responsibly .	NFIN;V ADV _
1 tablespoon ( 15 ml ) apple cider vinegar	1 tablespoon ( @card@ ml ) apple cider vinegar	NUM N;SG _ NUM N;PL _ N;SG N;SG N;SG
and having one of those is usually indicative of arrogance .	and have one of those be usually indicative of arrogance .	CONJ V;V.MSDR NUM ADP PL;PRO 3;FIN;IND;PRS;SG;V ADV ADJ ADP N;SG _
jespersen was a proponent of phonosemanticism and wrote :	jespersen be a proponent of phonosemanticism and write :	PROPN;SG 3;FIN;IND;PST;SG;V DET;INDF N;SG ADP N;SG CONJ FIN;IND;PST;V _
but more than anything , there 's a lot of good feeling around here .	but more than anything , there be a lot of good feeling around here .	CONJ ADV ADP N;SG _ PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP ADJ N;SG ADP ADV _
please note that if departing from europe ( this may apply to other countries ) , you will require to have the visa before boarding the plane .	please note that if depart from europe ( this may apply to other country ) , you will require to have the visa before board the plane .	INTJ NFIN;V CONJ CONJ V;V.MSDR ADP PROPN;SG _ PRO;SG FIN;V NFIN;V ADP ADJ N;PL _ _ 2;NOM;PRO FIN;V NFIN;V PART NFIN;V DEF;DET N;SG CONJ V;V.MSDR DEF;DET N;SG _
and ... ( how do i best explain this ? )	and ... ( how do i good explain this ? )	CONJ _ _ CONJ FIN;IND;PRS;V 1;NOM;PRO;SG ADJ;RL NFIN;V PRO;SG _ _
rick santorum himself has acknowledged and discussed the existence and prevalence of the santorum neologism phenomenon ; he was quoted by the canadian press on his assessment of google 's response ;	rick santorum himself have acknowledge and discuss the existence and prevalence of the santorum neologism phenomenon ; he be quote by the canadian press on his assessment of google 's response ;	PROPN;SG PROPN;SG 3;MASC;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP CONJ PST;V;V.PTCP DEF;DET N;SG CONJ N;SG ADP DEF;DET N;SG N;SG N;SG _ 3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET PROPN;SG PROPN;SG ADP 3;MASC;PRO;SG N;SG ADP PROPN;SG PART N;SG _
in the 1960s hadid attended boarding schools in england and switzerland .	in the 1960s hadid attend board school in england and switzerland .	ADP DEF;DET N;PL PROPN;SG FIN;IND;PST;V V;V.MSDR N;PL ADP PROPN;SG CONJ PROPN;SG _
this is called " bolting " and is more likely to happen when there 's extra sunshine .	this be call " bolt " and be more likely to happen when there be extra sunshine .	PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP _ V;V.MSDR _ CONJ 3;FIN;IND;PRS;SG;V ADV ADJ PART NFIN;V CONJ PRO 3;FIN;IND;PRS;SG;V ADJ N;SG _
on nato	on nato	ADP PROPN;SG
i do n't have enough information to answer this question , one way or the other .	i do n't have enough information to answer this question , one way or the other .	1;NOM;PRO;SG FIN;IND;PRS;V NEG;PART NFIN;V ADJ N;SG PART NFIN;V DET;SG N;SG _ NUM N;SG CONJ DEF;DET ADJ _
in the past muggle quidditch has mainly been played at colleges in the us , but over the last few years there has been a dramatic rise in the number of community teams .	in the past muggle quidditch have mainly be play at college in the us , but over the last few year there have be a dramatic rise in the number of community team .	ADP DEF;DET ADJ N;SG N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP PST;V;V.PTCP ADP N;PL ADP DEF;DET PROPN;SG _ CONJ ADP DEF;DET ADJ ADJ N;PL PRO 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;INDF ADJ N;SG ADP DEF;DET N;SG ADP N;SG N;PL _
the sample consisted of 71 students of the application school of basic education , federal university of santa catarina , aged 7 and 9 years old ( m = 7.64 ± 1.12 ) , which were divided into two groups : participant and control .	the sample consist of @card@ student of the application school of basic education , federal university of santa catarina , age 7 and 9 year old ( m = @card@ ± @card@ ) , which be divide into two group : participant and control .	DEF;DET N;SG FIN;IND;PST;V ADP NUM N;PL ADP DEF;DET PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG _ PST;V;V.PTCP NUM CONJ NUM N;PL ADJ _ N;SG _ NUM N;SG NUM _ _ PRO FIN;IND;PST;V PST;V;V.PTCP ADP NUM N;PL _ N;SG CONJ N;SG _
there are some good beaches and plenty of secluded cove beaches and protected bays with good snorkelling .	there be some good beach and plenty of secluded cove beach and protect bay with good snorkelling .	PRO FIN;IND;PRS;V DET ADJ N;PL CONJ N;SG ADP ADJ N;SG N;PL CONJ PST;V;V.PTCP N;PL ADP ADJ V;V.MSDR _
