in fact , south korean women participate in the labor force at roughly the average rate for the oecd while they are in their late twenties .	in fact , south korean women participate in the labor force at roughly the average rate for the oecd while they be in their late twenties .	ADP N;SG _ N ADJ FEM;N;SG FIN;IND;PL;PRS;V ADP DEF;DET N;SG N;SG ADP ADV DEF;DET ADJ N;SG ADP DEF;DET PROPN CONJ 3;PL;PRO FIN;IND;PL;PRS;V ADP DET ADJ N;SG _
such safeguard measures shall not be invoked as a means of arbitrary discrimination or a disguised restriction on trade between member states .	such safeguard measure shall not be invoke as a means of arbitrary discrimination or a disguise restriction on trade between member state .	DET N;SG N;PL 3;FIN;IND;PRS;V NEG;PART NFIN;V PST;V;V.PTCP ADP DET;INDF;SG N;SG ADP ADJ N;SG CONJ DET;INDF;SG PST;V;V.PTCP N;SG ADP N;SG ADP N;SG N;PL _
article 1 .	article 1 .	N;SG NUM _
nevertheless , he did not spend as much time in salons and clubs as did many of his characters .	nevertheless , he do not spend as much time in salon and club as do many of his character .	ADV _ 3;MASC;PRO;SG 3;FIN;IND;PST;V NEG;PART NFIN;V ADV ADJ N;SG ADP N;PL CONJ N;PL CONJ 3;FIN;IND;PST;V ADJ ADP DET N;PL _
the following year he was joined by his sister laure and they spent four years away from home .	the follow year he be join by his sister laure and they spend four year away from home .	DEF;DET PRS;SG;V;V.PTCP N;SG 3;MASC;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET N;SG PROPN CONJ 3;PL;PRO 3;FIN;IND;PST;V NUM N;PL ADV ADP N;SG _
let me also remind him that when his party leader , mr hague , was secretary of state for wales , he broke every rule in the book on additionality which led to a stern letter from commissioner wulf - mathies regarding regulatory requirements .	let i also remind he that when his party leader , mister hague , be secretary of state for wales , he break every rule in the book on additionality which lead to a stern letter from commissioner wulf - mathies regard regulatory requirement .	2;FIN;IMP;PL;PRS;V 1;PRO;SG ADV NFIN;V 3;MASC;PRO;SG CONJ CONJ DET N;SG N;SG _ MASC;N;SG PROPN _ 3;FIN;IND;PST;SG;V N;SG ADP N;SG ADP PROPN _ 3;MASC;PRO;SG 3;FIN;IND;PST;V DET;SG N;SG ADP DEF;DET N;SG ADP FEM;N;SG PRO 3;FIN;IND;PST;V ADP DET;INDF;SG ADJ N;SG ADP N;SG PROPN _ PROPN PRS;SG;V;V.PTCP ADJ N;PL _
that top predator , of course , is us .	that top predator , of course , be us .	DET;SG ADJ N;SG _ ADV ADV _ 3;FIN;IND;PRS;SG;V 1;PL;PRO _
he was still working as an actor in london in 1608 ;	he be still work as a actor in london in 1608 ;	3;MASC;PRO;SG 3;FIN;IND;PST;SG;V ADV V;V.MSDR ADP DET;INDF;SG N;SG ADP PROPN ADP NUM _
think of it this way .	think of it this way .	FIN;IMP;PL;PRS;V ADP 3;PRO;SG DET;SG N;SG _
these inter - generational biological connections are particularly pronounced in the case of female children .	this inter - generational biologic connection be particularly pronounce in the case of female child .	DET;PL ADV _ ADJ ADJ N;PL FIN;IND;PL;PRS;V ADV PST;V;V.PTCP ADP DEF;DET N;SG ADP ADJ MASC;N;PL _
learn about the differences between allowing subscribers and using a page .	learn about the difference between allow subscriber and use a page .	3;FIN;IMP;PRS;V ADP DEF;DET N;PL ADP V;V.MSDR N;PL CONJ V;V.MSDR DET;INDF;SG N;SG _
imf reform is sensible and should be supported .	imf reform be sensible and shall be support .	PROPN N;SG 3;FIN;IND;PRS;SG;V ADJ CONJ 3;FIN;IND;PST;V NFIN;V PST;V;V.PTCP _
in his last phase , he wrote tragicomedies , also known as romances , and collaborated with other playwrights .	in his last phase , he write tragicomedy , also know as romance , and collaborate with other playwright .	ADP DET ADJ N;SG _ 3;MASC;PRO;SG 3;FIN;IND;PST;V N;PL _ ADV PST;V;V.PTCP ADP N;PL _ CONJ 3;FIN;IND;PST;V ADP ADJ N;PL _
after the plagues of 1592 – 3 , shakespeare 's plays were performed by his own company at the theatre and the curtain in shoreditch , north of the thames .	after the plague of 1592 – 3 , shakespeare 's play be perform by his own company at the theatre and the curtain in shoreditch , north of the thames .	ADP DEF;DET N;PL ADP NUM _ NUM _ PROPN PART N;PL FIN;IND;PL;PST;V PST;V;V.PTCP ADP DET ADJ N;SG ADP DEF;DET N;SG CONJ DEF;DET N;SG ADP PROPN _ ADJ ADP DEF;DET PROPN _
it is not known exactly when shakespeare began writing , but contemporary allusions and records of performances show that several of his plays were on the london stage by 1592 .	it be not know exactly when shakespeare begin write , but contemporary allusion and record of performance show that several of his play be on the london stage by 1592 .	3;PRO;SG 3;FIN;IND;PRS;SG;V NEG;PART PST;V;V.PTCP ADV CONJ PROPN 3;FIN;IND;PST;V V;V.MSDR _ CONJ ADJ N;PL CONJ N;PL ADP N;PL FIN;IND;PL;PRS;V CONJ PRO ADP DET N;PL FIN;IND;PL;PST;V ADP DEF;DET PROPN N;SG ADP NUM _
perceptions of resilience have given way to fears of vulnerability .	perception of resilience have give way to fear of vulnerability .	N;PL ADP N;SG FIN;IND;PL;PRS;V PST;V;V.PTCP N;SG ADP N;PL ADP N;SG _
we exhale carbon dioxide , so does mycelium .	we exhale carbon dioxide , so do mycelium .	1;PL;PRO FIN;IND;PL;PRS;V N;SG N;SG _ ADV 3;FIN;IND;PRS;SG;V MASC;N;SG _
i would like to mention one final point .	i will like to mention one final point .	1;PRO;SG 3;FIN;IND;PST;V NFIN;V PART NFIN;V NUM ADJ N;SG _
the yalta temptation .	the yalta temptation .	DEF;DET PROPN N;SG _
