við tíðini settust nógvir norðbúgvar í grønlandi .	við tíð seta nógvur norðbúgvi í grønland .	ADP DAT;DEF;FEM;N;SG IND;PASS;PL;PST;V ADJ;INDF;MASC;NOM;PL INDF;MASC;N;NOM;PL ADP DAT;INDF;NEUT;PROPN;SG _
høvuðsstaðurin er madison og milwaukee er størsti býurin .	høvuðsstaður vera madison og milwaukee vera stórur býur .	DEF;MASC;N;NOM;SG 3;IND;PRS;SG;V NOM;PROPN;SG CONJ NOM;PROPN;SG 3;IND;PRS;SG;V ADJ;DEF;MASC;NOM;RL;SG DEF;MASC;N;NOM;SG _
bløðini vóru av tubbaksplantuni .	blað vera av tubbaksplanta .	DEF;N;NEUT;NOM;PL IND;PL;PST;V ADP DAT;DEF;FEM;N;SG _
herðingin er altíð á næstaftasta stavilsi .	herðing vera altíð á næstaftastur stavilsi .	DEF;FEM;N;NOM;SG 3;IND;PRS;SG;V ADV ADP ADJ;DAT;DEF;NEUT;SG DAT;INDF;N;NEUT;SG _
býurin er handils- og samferðslumiðdepilin landinum og hevur gott buss og ferjusamband .	býur vera handil og samferðslamiðdepil land og hava góður bussur og ferjasamband .	DEF;MASC;N;NOM;SG 3;IND;PRS;SG;V GEN;INDF;MASC;N;SG CONJ DEF;MASC;N;NOM;SG DAT;DEF;N;NEUT;SG CONJ 3;IND;PRS;SG;V ADV ACC;INDF;MASC;N;SG CONJ ACC;INDF;N;NEUT;SG _
brisbane er góður havnarbýur og stórur ídnaðarbýur .	brisbane vera góður havnarbýur og stórur ídnaðurbýur .	NOM;PROPN;SG 3;IND;PRS;SG;V ADJ;INDF;MASC;NOM;SG INDF;MASC;N;NOM;SG CONJ ADJ;INDF;MASC;NOM;SG INDF;MASC;N;NOM;SG _
teir vóru í sydney .	teir vera í sydney .	3;MASC;NOM;PL;PRO IND;PL;PST;V ADP ACC;PROPN;SG _
hon er eisini størsta fiskivinnuhavnin í landinum .	hon vera eisini stórur fiskivinnahavn í land .	3;FEM;NOM;PRO;SG 3;IND;PRS;SG;V ADV ADJ;DEF;FEM;NOM;RL;SG DEF;FEM;N;NOM;SG ADP DAT;DEF;N;NEUT;SG _
men tó eru undantøk .	men tó vera undantak .	CONJ ADV IND;PL;PRS;V INDF;N;NEUT;NOM;PL _
hann er næstformaður í kyndli .	hann vera næstformaður í kyndil .	3;MASC;NOM;PRO;SG 3;IND;PRS;SG;V INDF;MASC;N;NOM;SG ADP DAT;INDF;MASC;N;SG _
í 2012 er hann venjari hjá b71 , sum spælir í 1. deild .	í 2012 vera hann venjari hjá b71 , sum spæla í 1 deild .	ADP DAT;NUM 3;IND;PRS;SG;V 3;MASC;NOM;PRO;SG INDF;MASC;N;NOM;SG ADP DAT;NUM _ PRO 3;IND;PRS;SG;V ADP ADJ DAT;FEM;INDF;N;SG _
