hienoa oli myös se , että alustavan vastauksen hyväksymisestä sai jo viikon kuluttua hakemuksen jättämisestä .	hieno olla myös se , että alustava vastaus hyväksyminen saada jo viikko kulua hakemus jättäminen .	ADJ;PRT;SG 3;ACT;FIN;IND;PST;SG;V ADV NOM;PRO;SG _ CONJ ADJ;GEN;SG GEN;N;SG IN+ABL;N;SG 0;ACT;FIN;IND;PST;SG;V ADV GEN;N;SG PASS;PRT;SG;V;V.PTCP GEN;N;SG IN+ABL;N;SG _
huhut lähtivät liikkeelle nokian ja microsoftin lähettämästä kutsusta .	huhu lähteä liikkeelle nokia ja microsoft lähettää kutsu .	N;NOM;PL 3;ACT;FIN;IND;PL;PST;V ADV GEN;PROPN;SG CONJ GEN;PROPN;SG ACT;IN+ABL;SG;V;V.PTCP IN+ABL;N;SG _
kolme vuotta sitten edesmennyt professori talve olisi epäilemättä tervehtinyt ilolla raadin ennakkoluulottomuutta hänen ensimmäistä nimikkopalkintoaan valittaessa .	kolme vuosi sitten edesmennä professori talve olla epäilemättä tervehtiä ilo raati ennakkoluulottomuus hän ensimmäinen nimikkopalkinto valita .	NOM;NUM;SG N;PRT;SG ADP ACT;NOM;SG;V;V.PTCP N;NOM;SG NOM;PROPN;SG 3;ACT;COND;FIN;SG;V ADV ACT;NOM;SG;V;V.PTCP AT+ESS;N;SG GEN;N;SG N;PRT;SG 3;GEN;PRO;SG ADJ;PRT;SG N;PRT;PSS3;SG IN+ESS;NFIN;PASS;V _
maaseudulle johtavat tiet olivat mustanaan vaiteliaita ihmisiä .	maaseutu johtaa tie olla musta vaitelias ihminen .	AT+ALL;N;SG ACT;NOM;PL;V;V.PTCP N;NOM;PL 3;ACT;FIN;IND;PL;PST;V ADJ;FRML;PSS3;SG ADJ;PL;PRT N;PL;PRT _
pyysin esimerkkiä .	pyytää esimerkki .	1;ACT;FIN;IND;PST;SG;V N;PRT;SG _
yksinkertaisesti selitettynä en voi syöttää näytölle numeroita samaan aikaan , mutta jos sammutan näytön toisen puolen ja laitan näytön toisen puolen päälle ja päinvastoin tarpeeksi nopealla taajuudella , näyttävät ne molemmat olevan päällä ihmissilmällä katsottuna .	yksinkertaisesti selittää ei voida syöttää näyttö numero sama aika , mutta jos sammuttaa näyttö toinen puoli ja laittaa näyttö toinen puoli päälle ja päinvastoin tarpeeksi nopea taajuus , näyttää se molemmat olla päällä ihminensilmä katsoa .	ADV FRML;PASS;SG;V;V.PTCP 1;ACT;FIN;NEG;SG;V FIN;IND;PRS;V ACT;NFIN;SG;V AT+ALL;N;SG N;PL;PRT IN+ALL;PRO;SG IN+ALL;N;SG _ CONJ CONJ 1;ACT;FIN;IND;PRS;SG;V GEN;N;SG GEN;PRO;SG GEN;N;SG CONJ 1;ACT;FIN;IND;PRS;SG;V GEN;N;SG GEN;PRO;SG GEN;N;SG ADV CONJ ADV ADV ADJ;AT+ESS;SG AT+ESS;N;SG _ 3;ACT;FIN;IND;PL;PRS;V NOM;PL;PRO NOM;PL;PRO ACT;GEN;SG;V;V.PTCP ADV AT+ESS;N;SG FRML;PASS;SG;V;V.PTCP _
* 30. kesäkuuta 2009 : eduskunta hyväksyi lääkelaitoksen hajasijoittamisen kuopioon	* 30. kesäkuu 2009 : eduskunta hyväksyä lääkelaitos hajasijoittaminen kuopio	_ ADJ N;PRT;SG NUM _ N;NOM;SG 3;ACT;FIN;IND;PST;SG;V GEN;N;SG GEN;N;SG IN+ALL;PROPN;SG
tässä hieman yleiskuvaa showroomilta ja lisää tuttuja naamoja .	tämä hieman yleiskuva showroom ja lisää tuttu naama .	IN+ESS;PRO;SG ADV N;PRT;SG AT+ABL;N;SG CONJ ADV ADJ;PL;PRT N;PL;PRT _
potentiaalista kohkausaikaa on tästä jäljellä viisikymmentäyksi .	potentiaalinen kohkausaika olla tämä jäljellä viisikymmenenyksi .	ADJ;PRT;SG N;PRT;SG 3;ACT;FIN;IND;PRS;SG;V IN+ABL;PRO;SG ADV NOM;NUM;SG _
lasken pääni takaisin viltille ja suljen silmäni hymyillen .	laskea pää takaisin viltti ja sulkea silmä hymyillä .	1;ACT;FIN;IND;PRS;SG;V GEN;N;PSS1S;SG ADV AT+ALL;N;SG CONJ 1;ACT;FIN;IND;PRS;SG;V N;NOM;PL;PSS1S ACT;INS;NFIN;SG;V _
