jus fraujans garaiht jah ibnassu þewisam atkunnaiþ witandans þatei aihuþ jah jus fraujan in himinam	jūs frauja garaihts jah ibnassus þewisa at-kunnan witan#1 þatei aigan* jah jūs frauja in himins	2;MASC;NOM;PL;PRO MASC;N;PL;VOC ACC;ADJ;NEUT;SG CONJ ACC;MASC;N;SG DAT;N;NEUT;PL 2;ACT;FIN;IMP;PL;PRS;V ACT;MASC;NOM;PL;PRS;V;V.PTCP CONJ 2;ACT;FIN;IND;PL;PRS;V ADV 2;MASC;NOM;PL;PRO ACC;MASC;N;SG ADP DAT;MASC;N;PL
bi frawaurht raihtis þatei ni galaubjand du mis	bi frawaurhts raihtis þatei ni ga-laubjan du ik	ADP ACC;FEM;N;SG ADV CONJ ADV;NEG 3;ACT;FIN;IND;PL;PRS;V ADP 1;DAT;PRO;SG
iþ iesus qaþ du izai	iþ iesus qiþan du is	CONJ MASC;NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V ADP 3;DAT;FEM;PRO;SG
duhþe sa galewjands mik þus maizein frawaurht habaid	duþe sa ga-lewjan ik þu maiza frawaurhts haban	ADV DET;MASC;NOM;SG ACT;MASC;NOM;PRS;SG;V;V.PTCP 1;ACC;MASC;PRO;SG 2;DAT;MASC;PRO;SG ACC;ADJ;CMPR;FEM;SG ACC;FEM;N;SG 3;ACT;FIN;IND;PRS;SG;V
aþþan qimand dagos jah þan afnimada af im sa bruþfads jah þan fastand in jainaim dagam	aþþan qiman dags jah þan af-niman af is sa brūþfaþs jah þan fastan in jains dags	CONJ 3;ACT;FIN;IND;PL;PRS;V MASC;N;NOM;PL CONJ ADV 3;FIN;IND;PASS;PRS;SG;V ADP 3;DAT;MASC;PL;PRO DET;MASC;NOM;SG MASC;N;NOM;SG CONJ ADV 3;ACT;FIN;IND;PL;PRS;V ADP DAT;DET;MASC;PL DAT;MASC;N;PL
jah qaþ du im	jah qiþan du is	CONJ 3;ACT;FIN;IND;PST;SG;V ADP 3;DAT;MASC;PL;PRO
iohannes gatawida taikne ni ainohun iþ allata þatei qaþ iohannes bi þana sunja was	iohannes ga-taujan taikns ni ainshun iþ alls saei qiþan iohannes bi sa sunja wisan#1	MASC;NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V FEM;GEN;N;PL ADV;NEG ACC;ADJ;FEM;SG CONJ ADJ;NEUT;NOM;SG ACC;NEUT;PRO;SG 3;ACT;FIN;IND;PST;SG;V MASC;NOM;PROPN;SG ADP ACC;ADJ;MASC;SG FEM;N;NOM;SG 3;ACT;FIN;IND;PST;SG;V
in witoda ƕa gameliþ ist	in witoþ ƕas ga-meljan wisan#1	ADP DAT;N;NEUT;SG NEUT;NOM;PRO;SG NEUT;NOM;PASS;PFV;PST;SG;V;V.PTCP 3;ACT;FIN;IND;PRS;SG;V
usgagg and wigans jah faþos jah nauþei innatgaggan ei usfulnai gards meins	us-gaggan and wigs jah faþa jah nauþjan inn-atgaggan ei us-fullnan gards meins	2;ACT;FIN;IMP;PRS;SG;V ADP ACC;MASC;N;PL CONJ ACC;FEM;N;PL CONJ 2;ACT;FIN;IMP;PRS;SG;V ACT;NFIN;PRS;V CONJ 3;ACT;FIN;OPT;PRS;SG;V MASC;N;NOM;SG 1;ADJ;MASC;NOM;SG
iþ saei ufbrikiþ mis ufbrikiþ þamma sandjandin mik	iþ saei uf-brikan ik uf-brikan sa sandjan ik	CONJ MASC;NOM;PRO;SG 3;ACT;FIN;IND;PRS;SG;V 1;DAT;PRO;SG;{FEM/MASC} 3;ACT;FIN;IND;PRS;SG;V DAT;DET;MASC;SG ACT;DAT;MASC;PRS;SG;V;V.PTCP 1;ACC;PRO;SG;{FEM/MASC}
