oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
nár labhair seán ?	nár labhair seán .	PART V PROPN _
is i gceann de na páirceanna sin a chéadchonaic mé gabhar a bhí go díreach tar éis a meannán a thabhairt ar an saol .	is i gceann de na páirc sin a feic mé gabhar a bí go díreach tar éis a meannán a tabhairt ar an saol .	PRS;V ADP ADP ADP DEF;DET;PL DEF;FEM;N;PL DET PART IND;PST;V 1;PRO;SG MASC;N;SG PART IND;PST;V PART ADJ ADP ADP 3;DET;FEM;SG MASC;N;SG PART N;NFIN ADP DEF;DET;SG DEF;MASC;N;SG _
níor labhair .	níor labhair .	NEG;PART;PST IND;NEG;PST;V _
ní raibh ach 24 ina gcónaí ann i 1991 ach bíonn clann mc ewen ag déanamh fógraíochta ag iarraidh teaghlaigh a mhealladh chun an oileáin .	ní bí ach 24 i cónaí i i 1991 ach bí clann mac ewen ag déanamh fógraíocht ag iarraidh teaghlach a mealladh chun an oileán .	NEG;PART IND;NEG;PST;V CONJ NUM 3;ADP;PL MASC;N;SG 3;ADP;MASC;SG ADP NUM CONJ V FEM;N;SG PART GEN;MASC;PROPN;SG ADP N;V.MSDR FEM;GEN;N;SG ADP N;V.MSDR MASC;N;PL PART N;NFIN ADP DEF;DET;SG DEF;GEN;MASC;N;SG _
beidh cúldoras ann ' agus de réir mar a bheidh an samhradh á chaitheamh beidh an ríomhaire ag cur foirne ó bhealach sa gcaoi agus nuair a shroichfear mí mheán fómhair nach mbeidh fanta san iomaíocht ach dhá chontae sa bpeil agus dhá chontae eile san iománaíocht .	bí doras i ' agus de réir mar a bí an samhradh do caitheamh bí an ríomhaire ag cur foireann ó bealach i caoi agus nuair a sroich mí meán fómhar nach bí fanta i iomaíocht ach dó contae i peil agus dó contae eile i iománaíocht .	FUT;IND;V MASC;N;SG 3;ADP;MASC;SG _ CONJ ADP ADP CONJ PART FUT;IND;V DEF;DET;SG DEF;MASC;N;SG 3;ADP;MASC;SG N;NFIN FUT;IND;V DEF;DET;SG DEF;MASC;N;SG ADP N;V.MSDR FEM;GEN;N;PL ADP MASC;N;SG ADP;SG FEM;N;SG CONJ CONJ PART FUT;IND;V FEM;N;SG MASC;N;SG GEN;MASC;N;SG NEG;PART FUT;IND;V ADJ;V.PTCP ADP;SG DEF;FEM;N;SG CONJ NUM MASC;N;SG ADP;SG FEM;N;SG CONJ NUM MASC;N;SG DET ADP;SG FEM;N;SG _
' caithfidh mé sin a fhoghlaim !	' caith mé sin a foghlaim !	_ FUT;IND;V 1;PRO;SG PRO PART N;NFIN _
agus ón uair a chuir mé mo chos thar tairseach na cultúrlainne ag a sé a' chlog tráthnóna , caitheadh go hiontach liom agus mhothaigh mé sa bhaile i measc mo chomhghael feirsteach .	agus ó uair a cuir mé mo cos thar tairseach na cultúrlainne ag a sé an clog tráthnóna , caith go iontach le agus mothaigh mé i baile i measc mo gael feirsteach .	CONJ ADP;SG FEM;N;SG PART IND;PST;V 1;PRO;SG 1;DET;SG FEM;N;SG ADP FEM;N;SG DEF;DET;FEM;GEN;SG FEM;PROPN;SG ADP PART NUM DEF;DET;SG MASC;N;SG MASC;N;SG _ IND;PST;V PART ADJ 1;ADP;SG CONJ IND;PST;V 1;PRO;SG ADP;SG MASC;N;SG ADP MASC;N;SG 1;DET;SG MASC;N;SG FEM;N;SG _
ach bhí sé ' teacht ar mhalrait intinne anois .	ach bí sé ' teacht ar mhalrait intinn anois .	CONJ IND;PST;V 3;MASC;PRO;SG _ N;NFIN ADP FEM;N;SG FEM;GEN;N;SG ADV _
bhraitheas cigilt fhaoisimh im chnámha .	braith cigilt faoiseamh i_mo cnámh .	1;IND;PRS;SG FEM;N;SG GEN;MASC;N;SG 1;ADP;SG FEM;N;PL _
ba é a dheartháir ian agus fear eile tom sheldon a bhí i mbun na seirbhíse seo .	is é a deartháir ian agus fear eile tom sheldon a bí i mbun na seirbhís seo .	PST;V 3;MASC;PRO;SG 3;DET;MASC;SG MASC;N;SG MASC;PROPN;SG CONJ MASC;N;SG DET MASC;PROPN;SG MASC;PROPN;SG PART IND;PST;V ADP ADP DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG DET _
' dhera , mo thrua mhór sibh , ' arsa an mórach , ' ná raibh naonúr acu ag mo mháthairse , agus ná fuair sí ainm dos gach aoinne acu !	' dhera , mo trua mór sibh , ' arsa an mórach , ' ná bí naonúr ag ag mo máthair , agus ná faigh sí ainm dos gach inne ag !	_ MASC;PROPN;SG _ 1;DET;SG FEM;N;SG ADJ;FEM;SG 2;PL;PRO _ _ IND;PST;V DEF;DET;SG MASC;PROPN;SG _ _ CONJ IND;PST;V MASC;N;SG 3;ADP;PL ADP 1;DET;SG FEM;N;SG _ CONJ CONJ IND;PST;V 3;FEM;PRO;SG MASC;N;SG ADP DEF;DET MASC;N;SG 3;ADP;PL _
déantar an chompháirt a rothlú tuathal thart ar ais an rothlaithe go dtí go mbíonn an dromchla a ina luí ar an bplána cothrománach .	déan an páirt a rothlú tuathal thart ar ais an rothlaithe go dtí go bí an dromchla a i luí ar an plána cothrománach .	IND;PRS;V DEF;DET;SG DEF;FEM;N;SG PART N;NFIN MASC;N;SG ADV ADV ADV DEF;DET;SG GEN;N;NFIN ADP ADP PART V DEF;DET;SG DEF;MASC;N;SG _ 3;ADP;MASC;SG N;NFIN ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG _
is amhlaidh a dhípholaraíonn na cillscannáin i matáin na n-atriam ar dtús i gcónaí , rud a spreagann na seomraí sin chun craptha .	is amhlaidh a dhípholaraigh na scannán i matán na n-atriam ar tús i cónaí , rud a spreag na seomra sin chun craptha .	PRS;V ADV PART IND;PRS;V DEF;DET;PL DEF;MASC;N;PL ADP MASC;N;PL DEF;DET;FEM;GEN;SG MASC;N;SG ADP MASC;N;SG ADP MASC;N;SG _ MASC;N;SG PART IND;PRS;V DEF;DET;PL DEF;MASC;N;PL DET ADP GEN;N;NFIN _
d' inis mé di gurbh iomaí athair agus máthair a sheas sa spota céanna seo ag breathnú ar na báid seoil ar a mbealach le lucht imirce go meiriceá , ag faire ar na seolta go ndeachadar as amharc ag bun na spéire siar ó thuaidh de oileán an dá bhrannóg .	do inis mé do is iomaí athair agus máthair a seas i spota céanna seo ag breathnú ar na bád seol ar a bealach le lucht imirce go meiriceá , ag faire ar na seol go téigh as amharc ag bun na spéir siar ó thuaidh de oileán an dó bhrannóg .	PART IND;PST;V 1;PRO;SG 3;ADP;FEM;SG PST;V DEF;DET MASC;N;SG CONJ FEM;N;SG PART IND;PST;V ADP;SG DEF;MASC;N;SG ADJ DET ADP N;V.MSDR ADP DEF;DET;PL DEF;MASC;N;PL GEN;MASC;N;SG ADP 3;DET;PL MASC;N;SG ADP MASC;N;SG FEM;GEN;N;SG ADP FEM;PROPN;SG _ ADP N;V.MSDR ADP DEF;DET;PL DEF;MASC;N;PL PART 3;IND;PL;PST;V ADP MASC;N;SG ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADV ADV ADV ADP MASC;N;SG DEF;DET;SG DEF;NUM MASC;PROPN;SG _
