通称 は 鹿之介 。	通称 は 鹿之介 。	N ADP PROPN _
また 発光ダイオード や 有機 el は 現在 最も 注目 さ れ て いる 光 デバイス で 、 今後 の 照明 分野 に 大きな 影響 を 与える と 考え られ て いる 。	また 発光ダイオード や 有機 el は 現在 最も 注目 する れる て いる 光 デバイス で 、 今後 の 照明 分野 に 大きな 影響 を 与える と 考える られる て いる 。	CONJ N ADP N PROPN ADP N ADV V V V CONJ V N N ADP _ N ADP N N ADP ADJ N ADP V ADP V V CONJ V _
強度 、 靭性 に 優れ て いる 。	強度 、 靭性 に 優れる て いる 。	N _ N ADP V CONJ V _
トルシエ 時代 より 出場 機会 は 減っ た が 、 主要 大会 の メンバー に は 毎回 選出 さ れ た 。	トルシエ 時代 より 出場 機会 は 減る た が 、 主要 大会 の メンバー に は 毎回 選出 する れる た 。	PROPN N ADP N N ADP V V CONJ _ ADJ N ADP N ADP ADP N V V V V _
彼ら は 自分 ら が 行う べき 任務 について 知らさ れ た 上 で 自主的 に 志願 し て おり 、 任務 説明 後 に 参加 を 辞退 する こと も 認め られ て い た が 、 辞退 する 隊員 は い なかっ た と いう 。	彼ら は 自分 ら が 行う べし 任務 について 知らす れる た 上 で 自主的 だ 志願 する て おる 、 任務 説明 後 に 参加 を 辞退 する こと も 認める られる て いる た が 、 辞退 する 隊員 は いる ない た と いう 。	PRO ADP N N ADP V V N ADP V V V N ADP ADJ V V V CONJ V _ N N N ADP N ADP V V N ADP V V CONJ V V CONJ _ V V N ADP V V V ADP V _
接続 する ケーブル ごと に 色分け さ れ て いる ので 、 迷う こと なく ケーブル を 取り付け られる ので 便利 です 。	接続 する ケーブル ごと に 色分け する れる て いる ので 、 迷う こと ない ケーブル を 取り付ける られる ので 便利 だ 。	V V N N ADP V V V CONJ V CONJ _ V N ADJ N ADP V V CONJ ADJ V _
来場者 は 熱心 に 見入っ て い た 。	来場者 は 熱心 だ 見入る て いる た 。	N ADP ADJ V V CONJ V V _
関西 の 準 キー局 の 幹部 が 明かす 。	関西 の 準 キー局 の 幹部 が 明かす 。	PROPN ADP N N ADP N ADP V _
同 年 3 月 3 日 に は 土井 成樹 、 鷹 木 信 悟 組 に リヴァプール で 王座 を 奪わ れる ものの 、 約 1 か月 で 王座 を 奪回 。	同 年 3 月 3 日 に は 土井 成樹 、 鷹 木 信 悟 組 に リヴァプール で 王座 を 奪う れる ものの 、 約 1 か月 で 王座 を 奪回 。	ADJ N NUM N NUM N ADP ADP PROPN PROPN _ N N N PROPN N ADP PROPN ADP N ADP V V CONJ _ PART NUM N ADP N ADP V _
エンジン は 変わら ず 900 馬力 の ブラモ 323 a - 1 であっ た ため 、 防御 火器 を 追加 し 重量 が 増加 し た 量産 型 の z - 1 型 では 爆弾 搭載 量 が 500 kg と 減少 し て しまっ た 。	エンジン は 変わる ない 900 馬力 の ブラモ 323 a - 1 だ た ため 、 防御 火器 を 追加 する 重量 が 増加 する た 量産 型 の z - 1 型 だ 爆弾 搭載 量 が 500 kg と 減少 する て しまう た 。	N ADP V V NUM N ADP PROPN NUM PROPN PART NUM V V CONJ _ N N ADP V V N ADP V V V N N ADP PROPN PART NUM N V N N N ADP NUM PROPN ADP V V CONJ V V _
今 の ところ 遺書 も 見つかっ て おら ず 、 警察 で は 「 衝動的 な 自殺 で は ない か 」 と み て 調べ を 進め て い ます 。	今 の ところ 遺書 も 見つかる て おる ない 、 警察 で は 「 衝動的 だ 自殺 だ は ない か 」 と みる て 調べ を 進める て いる ます 。	N ADP N N ADP V CONJ V V _ N ADP ADP _ ADJ V N V ADP V PART _ ADP V CONJ N ADP V CONJ V V _
“ シールド工法 ” が 良く わかり ます 。	“ シールド工法 ” が 良い わかる ます 。	_ N _ ADP ADJ V V _
