この 手引書 に は 問題 が あり 、 第 一 に は 緊急事態 の 状況 において 作成 さ れ て いる ため である 。	この 手引書 に は 問題 が ある 、 第 一 に は 緊急事態 の 状況 において 作成 する れる て いる ため だ 。	DET N ADP ADP N ADP V _ PART NUM ADP ADP N ADP N ADP V V V CONJ V CONJ V _
男性 が 避妊 の 問題 に もっと 責任 を 持つ べき であっ た こと は 明白 で ある 。	男性 が 避妊 の 問題 に もっと 責任 を 持つ べし だ た こと は 明白 だ ある 。	N ADP N ADP N ADP ADV N ADP V V V V N ADP ADJ V V _
その 問題 は バローゾ にとって 終わっ て い ない の かもしれ ない 。	その 問題 は バローゾ にとって 終わる て いる ない の かもしれる ない 。	DET N ADP PROPN ADP V CONJ V V CONJ V V _
2010 年 まで 豊か な 郊外 の 代表 だっ た 自由民主党 の 議員 は 、 自分 たち の 候補 サラ ・ オルニー へ の 票 を 得 たい と 望ん で いる 。	2010 年 まで 豊か だ 郊外 の 代表 だ た 自由民主党 の 議員 は 、 自分 たち の 候補 サラ ・ オルニー へ の 票 を 得る たい と 望む て いる 。	NUM N ADP ADJ V N ADP N V V PROPN ADP N ADP _ N N ADP N PROPN _ PROPN ADP ADP N ADP V V CONJ V CONJ V _
それ に も かかわら ず 、 彼ら は どちら も 、 北方 エジプト の （ 少なく て も ） 一部 を 支配 し て い た ようだ 。	それ に も かかわる ない 、 彼ら は どちら も 、 北方 エジプト の （ 少ない て も ） 一部 を 支配 する て いる た ようだ 。	PRO ADP ADP V V _ PRO ADP PRO ADP _ N PROPN ADP _ ADJ CONJ ADP _ N ADP V V CONJ V V V _
開発 を 進め て い た 1 世紀 の 間 、 この 地域 に対する スペイン の 支配力 は 圧倒的 な もの でし た 。	開発 を 進める て いる た 1 世紀 の 間 、 この 地域 に対する スペイン の 支配力 は 圧倒的 だ もの だ た 。	N ADP V CONJ V V NUM N ADP N _ DET N ADP PROPN ADP N ADP ADJ V N V V _
そして 2007 年 まで に は 、 その 人気度 の 高さ （ と ナイトレイ の 人気 ） で は 、 キエラ という 名前 より も 3 倍 の 多 さ で ケイラ と 名付け られ た 赤ちゃん を 併せ 、 上位 50 の 名前 であっ た 。	そして 2007 年 まで に は 、 その 人気度 の 高さ （ と ナイトレイ の 人気 ） で は 、 キエラ という 名前 より も 3 倍 の 多い さ で ケイラ と 名付ける られる た 赤ちゃん を 併せる 、 上位 50 の 名前 だ た 。	CONJ NUM N ADP ADP ADP _ DET N ADP N _ ADP PROPN ADP N _ ADP ADP _ PROPN ADP N ADP ADP NUM N ADP ADJ PART ADP PROPN ADP V V V N ADP V _ N NUM ADP N V V _
それ は 時に スーパーパワー の ような もの だ 。	それ は 時に スーパーパワー の ようだ もの だ 。	PRO ADP ADV N ADP V N V _
フォン ・ ベルリングハウゼン は 、 ブランズ フィールド が 陸地 を 発見 する 3 日 前 であり 、 1820 年 11月 に 発見 し た パーマー より 10 ヶ月 前 であっ た 、 1820 年 1月 27 日 、 南極 を 発見 し た 。	フォン ・ ベルリングハウゼン は 、 ブランズ フィールド が 陸地 を 発見 する 3 日 前 だ 、 1820 年 11月 に 発見 する た パーマー より 10 ヶ月 前 だ た 、 1820 年 1月 27 日 、 南極 を 発見 する た 。	N _ PROPN ADP _ PROPN PROPN ADP N ADP V V NUM N N V _ NUM N N ADP V V V PROPN ADP NUM N N V V _ NUM N N NUM N _ N ADP V V V _
ビルヌーブ 艦隊 の 封鎖 は 、 大陸 で 新しい 進展 が あっ た こと も あり 、 英国 侵略 計画 を 放棄 さ せる 原因 と なっ た 。	ビルヌーブ 艦隊 の 封鎖 は 、 大陸 で 新しい 進展 が ある た こと も ある 、 英国 侵略 計画 を 放棄 する せる 原因 と なる た 。	PROPN N ADP N ADP _ N ADP ADJ N ADP V V N ADP V _ PROPN N N ADP V V V N ADP V V _
