lê soran ji xwe re dibêjin kurd û zimanê xwe re dibêjin kurdî .	lê soran ji xwe re gotin kurd û ziman xwe re gotin kurdî .	CONJ DEF;MASC;N;NOM;PL ADP PRO;REFL;{FEM/MASC};{PL/SG} ADP 3;FIN;IND;PL;PRS;V DEF;MASC;N;SG CONJ DEF;MASC;N;SG PRO;REFL;{FEM/MASC};{PL/SG} ADP 3;FIN;IND;PL;PRS;V DEF;FEM;N;NOM;SG _
divêt em çirê jî vemirînin da ko di kulekê re ronahiya oda rex xwe bikarin bibînin .	divêtin em çira jî vemirandin dan ku di kul re ronahî ode rex xwe karîn dîtin .	3;FIN;IND;PRS;SG;V 1;NOM;PL;PRO;{FEM/MASC} DEF;FEM;N;SG PART 1;FIN;PL;PRS;SBJV;V 3;FIN;IND;PST;SG;V CONJ ADP FEM;N;SG ADP DEF;FEM;N;SG DEF;FEM;N;SG DEF;MASC;N;SG PRO;REFL;{FEM/MASC};{PL/SG} 3;FIN;PL;PRS;SBJV;V 3;FIN;PL;PRS;SBJV;V _
an jî hûn dikarin pîvazê bikin du ker û bidin ber bêvila xwe .	an jî hûn karîn pîvaz kirin du ker û dan ber bêvil xwe .	CONJ PART 2;NOM;PL;PRO;{FEM/MASC} 2;FIN;IND;PL;PRS;V DEF;FEM;N;SG 2;FIN;PL;PRS;SBJV;V DEF;NOM;NUM;PL DEF;MASC;N;SG CONJ 2;FIN;PL;PRS;SBJV;V ADP DEF;FEM;N;SG PRO;REFL;{FEM/MASC};{PL/SG} _
holmes li ser text rûnişt , ez jî li ser qenefê rûniştim .	holmes li ser text rûniştin , ez jî li ser qenefe rûniştin .	MASC;NOM;PROPN;SG _ ADP DEF;MASC;N;SG 3;FIN;IND;PST;SG;V _ 1;NOM;PRO;SG;{FEM/MASC} PART _ ADP DEF;FEM;N;SG 1;FIN;IND;PST;SG;V _
min şejderba xwe danîbû rex xwe .	ez şejderb xwe danîn rex xwe .	1;PRO;SG;{FEM/MASC} DEF;FEM;N;SG PRO;REFL;{FEM/MASC};{PL/SG} 3;FIN;IND;PST+PRF;SG;V DEF;MASC;N;NOM;SG PRO;REFL;{FEM/MASC};{PL/SG} _
dîsa di salên 1970yî de li ser kurdên ku sirgûnê qazaxistan û turkmenistanê bûne , xebatan dike .	dîsa di sal 1970 de li ser kurd ku sirgûn qazaxistan û turkmenistan bûn , xebat kirin .	ADV ADP DEF;FEM;N;PL NUM;PL ADP _ ADP DEF;MASC;N;PL CONJ DEF;MASC;N;SG DEF;FEM;NOM;PROPN;SG CONJ DEF;FEM;PROPN;SG 3;FIN;IND;NFH;PL;PST;V _ DEF;FEM;N;PL 3;FIN;IND;PRS;SG;V _
di sala 1954'î de bi semsûrê ve hatiye girêdan .	di sal 1954 de bi semsûr ve hatin girêdan .	ADP DEF;FEM;N;SG NUM ADP ADP DEF;FEM;PROPN;SG ADP 3;FIN;IND;NFH;PST;SG;V NFIN;V _
vê paşiyê dostekî me bi navê persî êrmîtag ji min pirsî heke ez dixwazim bibim jina wî .	ev paşî dost em bi nav persî êrmîtag ji ez pirsîn heke ez xwestin bûn jin ew .	DET;FEM;SG FEM;N;SG MASC;N;SG 1;PL;PRO;{FEM/MASC} ADP DEF;MASC;N;SG DEF;MASC;PROPN;SG DEF;MASC;PROPN;SG ADP 1;PRO;SG;{FEM/MASC} 3;FIN;IND;PST;SG;V CONJ 1;NOM;PRO;SG;{FEM/MASC} 1;FIN;IND;PRS;SG;V 1;FIN;PRS;SBJV;SG;V DEF;FEM;N;SG 3;MASC;PRO;SG _
zêdetirîn du sed mîlyon stêrk nava dîskê de cih digire .	zêde du sed mîlyon stêrk nav dîsk de cih girtin .	ADJ;RL DEF;NOM;NUM;PL NUM;PL DEF;FEM;N;NOM;SG DEF;FEM;N;NOM;SG DEF;FEM;N;SG DEF;FEM;N;SG ADP DEF;MASC;N;SG 3;FIN;IND;PRS;SG;V _
werîs di kulekê de bi xelekê ve girêdayî ye .	werîs di kulek de bi xelek ve girêdayî bûn .	DEF;MASC;N;NOM;SG ADP DEF;FEM;N;SG ADP ADP DEF;FEM;N;SG ADP ADJ 3;FIN;IND;PRS;SG;V _
