similem si negas tibi me esse , certe simile est hoc rostro tuo .	similis si nego tu ego sum , certus similis sum hic rostrum tuus .	ACC;ADJ;MASC;SG CONJ 2;ACT;FIN;IND;PRS;SG;V DAT;MASC;PRO;SG ACC;MASC;PRO;SG ACT;NFIN;PRS;V _ ADV ADJ;NEUT;NOM;SG 3;ACT;FIN;IND;PRS;SG;V NEUT;NOM;PRO;SG DAT;N;NEUT;SG DAT;NEUT;PRO;SG _
quod simul inposuit mensis , ego vindice flamma in domino dignos everti tecta penates .	qui simul inpono mensa , ego vindex flamma in dominus dignus everto tectum penates .	ACC;NEUT;PRO;SG ADV 3;ACT;FIN;IND;PFV;PST;SG;V DAT;FEM;N;PL _ MASC;NOM;PRO;SG AT+ABL;FEM;N;SG AT+ABL;FEM;N;SG ADP DAT;MASC;N;SG ACC;ADJ;MASC;PL 1;ACT;FIN;IND;PFV;PST;SG;V ACC;N;NEUT;PL ACC;MASC;N;PL _
illud erat vivere .	ille sum vivo .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PST;SG;V ACT;NFIN;PRS;V _
hanc cum super mensam semel que iterum abiecisset , et catenatio mobilis aliquot figuras exprimeret , trimalchio adiecit :	hic cum super mensa semel que iterum abicio , et catenatio mobilis aliquot figura exprimo , trimalchio adjicio :	ACC;FEM;PRO;SG CONJ ADP ACC;FEM;N;SG ADV CONJ ADV 3;ACT;FIN;PST+PRF;SBJV;SG;V _ CONJ FEM;N;NOM;SG ADJ;FEM;NOM;SG ADJ ACC;FEM;N;PL 3;ACT;FIN;IPFV;PST;SBJV;SG;V _ _ 3;ACT;FIN;IND;PFV;PST;SG;V _
sed ille melius :	sed ille melius :	CONJ MASC;NOM;PRO;SG ADV _
mare pacavi a praedonibus .	mare paco ab praedo .	ACC;N;NEUT;SG 1;ACT;FIN;IND;PFV;PST;SG;V ADP AT+ABL;MASC;N;PL _
quare ergo servivisti ?	quare ergo servio ?	ADV ADV 2;ACT;FIN;IND;PFV;PST;SG;V _
quae homines arant navigant aedificant , virtuti omnia parent .	qui homo aro navigo aedifico , virtus omnis pareo .	ACC;NEUT;PL;PRO MASC;N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V 3;ACT;FIN;IND;PL;PRS;V 3;ACT;FIN;IND;PL;PRS;V _ DAT;FEM;N;SG N;NEUT;NOM;PL 3;ACT;FIN;IND;PL;PRS;V _
sic vita truditur .	sic vita trudo .	ADV FEM;N;NOM;SG 3;FIN;IND;PASS;PRS;SG;V _
in me tardus amor non ullas cogitat artis , nec meminit notas , ut prius , ire vias .	in ego tardus amor non ullus cogito ars , nec memini nosco , ut prior , eo via .	ADP AT+ABL;MASC;PRO;SG ADJ;MASC;NOM;SG MASC;N;NOM;SG ADV ACC;ADJ;FEM;PL 3;ACT;FIN;IND;PRS;SG;V ACC;FEM;N;PL _ CONJ 3;ACT;FIN;IND;PFV;PST;SG;V ACC;FEM;PASS;PFV;PL;PST;V;V.PTCP _ ADV ADV;CMPR _ ACT;NFIN;PRS;V ACC;FEM;N;PL _
postquam bellatum apud actium atque omnem potentiam ad unum conferri pacis interfuit , magna illa ingenia cessere ;	postquam bello apud actium atque omnis potentia ad unus confero pax intersum , magnus ille ingenium cedo ;	CONJ NEUT;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;N;NEUT;SG CONJ ACC;ADJ;FEM;SG ACC;FEM;N;SG ADP ACC;MASC;NUM;SG NFIN;PASS;PRS;V FEM;GEN;N;SG 3;ACT;FIN;IND;PFV;PST;SG;V _ ADJ;NEUT;NOM;PL NEUT;NOM;PL;PRO N;NEUT;NOM;PL 3;ACT;FIN;IND;PFV;PL;PST;V _
