tai buvo tiesiog sudėtingesnė tautinės sąmonės forma , būdinga tokiems žmonėms kaip mykolas riomeris .	tai būti tiesiog sudėtingas tautinis sąmonė forma , būdingas toks žmogus kaip mykolas riomeris .	PRO 3;ACT;FIN;IND;POS;PST;SG;V ADV ADJ;CMPR;FEM;INDF;NOM;SG ADJ;FEM;GEN;INDF;SG FEM;GEN;N;SG FEM;N;NOM;SG _ ADJ;FEM;INDF;NOM;SG DAT;DET;MASC;PL DAT;MASC;N;PL CONJ MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG _
sovietinė sistema buvo atmesta pirmiausia ar net išimtinai , dėl to , kad ji daugumos nuomone , kėlė mirtiną pavojų tautai .	sovietinis sistema būti atmesti pirmiausia ar net išimtinai , dėl tas , kad ji dauguma nuomonė , kelti mirti pavojus tauta .	ADJ;FEM;INDF;NOM;SG FEM;N;NOM;SG 3;ACT;FIN;IND;POS;PST;SG;V FEM;NOM;PASS;POS;PST;SG;V;V.PTCP ADV;RL CONJ PART ADV _ CONJ GEN;MASC;PRO;SG _ CONJ DET FEM;GEN;N;SG FEM;INS;N;SG _ 3;ACT;FIN;IND;POS;PST;SG;V ACC;ADJ;FEM;INDF;SG ACC;FEM;N;SG DAT;FEM;N;SG _
išties , tu-154 katastrofą tiriantys ekspertai dėmesį atkreipė į paskutines dešimt pilotų pokalbių sekundžių – iki tol kilęs lėktuvas nepatyrė jokių gedimų , o apie „ ypatingą situaciją “ lėktuve tyrėjams užuominas suteikė būtent pilotų pokalbiai .	išties , tu-154 katastrofa tirti ekspertas dėmesys atkreipti į paskutinis dešimt pilotas pokalbis sekundė – iki%tol iki%tol kilti lėktuvas patirti joks gedimas , o apie „ ypatingas situacija “ lėktuvas tyrėjas užuomina suteikti būtent pilotas pokalbis .	ADV _ GEN;MASC;PROPN;SG ACC;FEM;N;SG ACT;INDF;MASC;NOM;PL;POS;PRS;V;V.PTCP MASC;N;NOM;PL ACC;MASC;N;SG 3;ACT;FIN;IND;PL;POS;PST;V ADP ACC;ADJ;FEM;INDF;PL NUM GEN;MASC;N;PL GEN;MASC;N;PL FEM;GEN;N;PL _ ADV ADV ACT;INDF;MASC;NOM;POS;SG;V;V.PTCP MASC;N;NOM;SG 3;ACT;FIN;IND;NEG;PST;SG;V GEN;MASC;PL;PRO GEN;MASC;N;PL _ CONJ ADP _ ACC;ADJ;INDF;MASC;SG ACC;FEM;N;SG _ ESS;MASC;N;SG DAT;MASC;N;PL ACC;FEM;N;PL 3;ACT;FIN;IND;PL;POS;PST;V PART GEN;MASC;N;PL MASC;N;NOM;PL _
dažnas jų sutiko ir net norėjo vadintis lietuviu , tik kitonišku , lenkiškai kalbančiu , išlaikančiu ryšį su lenkų kultūra .	dažnas jie sutikti ir net norėti vadintis lietuvis , tik kitonišku , lenkiškai kalbėti , išlaikyti ryšys su lenkas kultūra .	MASC;N;NOM;SG 3;GEN;PL;PRO 3;ACT;FIN;IND;POS;PST;SG;V CONJ PART 3;ACT;FIN;IND;POS;PST;SG;V ACT;NFIN;POS;REFL;V ADJ;INDF;INS;MASC;SG _ ADV ADV _ ADV ACT;INDF;INS;MASC;POS;PRS;SG;V;V.PTCP _ ACT;INDF;INS;MASC;POS;PRS;SG;V;V.PTCP ACC;MASC;N;SG ADP ADJ;GEN;INDF;MASC;PL FEM;N;NOM;SG _
tuo tarpu tautai kaip tokiai , bent po stalino epochos , didelio pavojaus nebuvo – tą neginčijamai įrodo faktas , kad tauta ir kalba išliko neišnykusios , nes nesumažėjusios per penkiasdešimt su viršum metų .	tuo tarpu tauta kaip toks , bent po stalinas epocha , didelis pavojus būti – tas neginčijamai įrodyti faktas , kad tauta ir kalba išlikti išnykti , nes sumažėti per penkiasdešimt su viršum metai .	CONJ CONJ DAT;FEM;N;SG CONJ DAT;DET;FEM;SG _ PART ADP GEN;MASC;PROPN;SG FEM;GEN;N;SG _ ADJ;GEN;INDF;MASC;SG GEN;MASC;N;SG 3;ACT;FIN;IND;NEG;PST;SG;V _ ACC;DET;MASC;SG ADV;NEG 3;ACT;FIN;IND;POS;PST;SG;V MASC;N;NOM;SG _ CONJ FEM;N;NOM;SG CONJ FEM;N;NOM;SG 3;ACT;FIN;IND;PL;POS;PST;V ACT;FEM;GEN;INDF;NEG;PL;PST;V;V.PTCP _ CONJ ACT;FEM;INDF;NEG;NOM;PL;PST;V;V.PTCP ADP NUM ADP ADV GEN;MASC;N;PL _
tos jėgos sąmoningai naikina tautas , o pirmiausia lietuvių tautą , kurios neapkenčia daugiau negu visų kitų .	tas jėga sąmoningai naikinti tauta , o pirmiausia lietuvių tauta , kuris apkęsti daug negu visas kitas .	DET;FEM;NOM;PL FEM;N;NOM;PL ADV 3;ACT;FIN;IND;PL;POS;PRS;V ACC;FEM;N;PL _ CONJ ADV;RL ADJ ACC;FEM;N;SG _ FEM;GEN;PRO;SG 3;ACT;FIN;IND;NEG;PL;PRS;V ADV;CMPR CONJ DET;GEN;MASC;PL ADJ;GEN;INDF;MASC;PL _
pradėjęs dirbti kaip kasetinių magnetofonų derintojas jis vėliau tapo realizacijos skyriaus bei cecho vadovo pavaduotoju .	pradėti dirbti kaip kasetinis magnetofonas derintojas jis vėlai tapti realizacija skyrius bei cechas vadovas pavaduotojas .	ACT;INDF;MASC;NOM;POS;SG;V;V.PTCP ACT;NFIN;POS;V CONJ ADJ;GEN;INDF;MASC;PL GEN;MASC;N;PL MASC;N;NOM;SG 3;MASC;NOM;PRO;SG ADV;CMPR 3;ACT;FIN;IND;POS;PST;SG;V FEM;GEN;N;SG GEN;MASC;N;SG CONJ GEN;MASC;N;SG GEN;MASC;N;SG INS;MASC;N;SG _
buvo ir kitokių priežasčių , bet , manau , nėra jokios abejonės , kad tokią plėtotę nemaža dalimi lėmė mūsų siaurakakčiai patriotai .	būti ir kitoks priežastis , bet , manyti , būti joks abejonė , kad toks plėtotė nemažas dalis lemti mūsų siaurakaktis patriotas .	3;ACT;FIN;IND;PL;POS;PST;V PART DET;FEM;GEN;PL FEM;GEN;N;PL _ CONJ _ 1;ACT;FIN;IND;POS;PRS;SG;V _ 3;ACT;FIN;IND;NEG;PRS;SG;V DET;FEM;GEN;SG FEM;GEN;N;SG _ CONJ ACC;DET;FEM;SG ACC;FEM;N;SG ADJ FEM;INS;N;SG 3;ACT;FIN;IND;PL;POS;PST;V DET ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL _
mano prognozė būtų kitokia : ekonominės bei demografinės priežastys privers ir jau verčia rusiją destalinizuotis , nors tame kelyje pasitaiko ir gali pasitaikyti nesimpatingų vingių .	mano prognozė būti kitoks : ekonominis bei demografinis priežastis priversti ir jau versti rusija destalinizuotis , nors tas kelias pasitaikyti ir galėti pasitaikyti nesimpatingas vingis .	DET FEM;N;NOM;SG 3;ACT;COND;FIN;POS;SG;V ADJ;FEM;INDF;NOM;SG _ ADJ;FEM;INDF;NEG;NOM;PL CONJ ADJ;FEM;INDF;NEG;NOM;PL FEM;N;NOM;PL 3;ACT;FIN;FUT;IND;PL;POS;V CONJ PART 3;ACT;FIN;IND;POS;PRS;SG;V ACC;FEM;PROPN;SG ACT;NFIN;POS;REFL;V _ CONJ DET;ESS;MASC;SG ESS;MASC;N;SG 3;ACT;FIN;IND;PL;POS;PRS;REFL;V CONJ 3;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V ADJ;GEN;INDF;MASC;NEG;PL GEN;MASC;N;PL _
kad ir keista , iš dalies su juo sutinku .	kad ir keistas , iš dalis su jis sutikti .	CONJ CONJ ADJ;FEM;INDF;NOM;SG _ ADP FEM;GEN;N;SG ADP 3;INS;MASC;PRO;SG 1;ACT;FIN;IND;POS;PRS;SG;V _
jei rusijai sekasi , tai baisu , jei nesiseka , tai didelė laimė ; rusijos klestėjimas , ekonominis ir kultūrinis atgimimas būtų baisiausia , kas gali ištikti jos kaimynus ir pasaulį .	jei rusija sektis , tai baisas , jei sektis , tai didelis laimė ; rusija klestėjimas , ekonominis ir kultūrinis atgimimas būti baisus , kas galėti ištikti jos kaimynas ir pasaulis .	CONJ DAT;FEM;PROPN;SG 3;ACT;FIN;IND;POS;PRS;REFL;SG;V _ CONJ INS;MASC;N;SG _ CONJ 3;ACT;IND;NEG;NFIN;PRS;REFL;SG;V _ CONJ ADJ;FEM;INDF;NOM;SG FEM;N;NOM;SG _ FEM;GEN;PROPN;SG MASC;N;NOM;SG _ ADJ;INDF;MASC;NOM;SG CONJ ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG 3;ACT;COND;FIN;POS;SG;V ADJ;FEM;INDF;NOM;RL;SG _ NOM;PRO 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V DET;FEM;GEN;SG ACC;MASC;N;PL CONJ ACC;MASC;N;SG _
