babe < how far ?//	babe < how far ?//	N _ ADV ADV _
di market wey i dey sell now < market no move again //	di market wey i dey sell now < market no move again //	DET N CONJ PRO V V ADV _ N PART V ADV _
im no fit mix //	im no fit mix //	PRO PART V V _
# nobody go ever talk sey rain do bad thing o because na big blessing god take am dash us //	# nobody go ever talk sey rain do bad thing o because na big blessing god take am dash us //	_ N V ADV V CONJ N V ADJ N PART CONJ PART ADJ N PROPN V PRO V PRO _
make i ask una as una dey here //	make i ask una as una dey here //	V PRO V PRO CONJ PRO V ADV _
you suppose dey check your tyre from time to time //+ so dat you go fit know weda di tire dey okay for motoring //	you suppose dey check your tyre from time to time //+ so dat you go fit know weda di tire dey okay for motoring //	PRO V V V PRO N ADP N ADP N _ CONJ CONJ PRO V V V CONJ DET N V ADJ ADP V _
you dey talk of & //	you dey talk of & //	PRO V V ADP _ _
# right now < we dey # ifesinachi # park # for dugbe //+ for ibadan //	# right now < we dey # ifesinachi # park # for dugbe //+ for ibadan //	_ ADJ ADV _ PRO V _ PROPN _ N _ ADP PROPN _ ADP PROPN _
i do not know //	i do not know //	PRO V PART V _
some of una no know //	some of una no know //	DET ADP PRO PART V _
# to me ma < i no ready to do falla follow //	# to me ma < i no ready to do falla follow //	_ ADP PRO PART _ PRO PART ADV PART V V V _
# e good as di rain don quick show all dose our landlord dem # wey no dey like to spend money repair deir house # sey im mean business well well dis year o //	# e good as di rain don quick show all dose our landlord dem # wey no dey like to spend money repair deir house # sey im mean business well well dis year o //	_ PRO ADJ CONJ DET N V ADJ V DET DET PRO N PART _ CONJ PART V V ADP V N V PRO N _ CONJ PRO V N ADV ADV DET N PART _
na so >+ di bleed go continue till di person go die //	na so >+ di bleed go continue till di person go die //	PART ADV _ DET N V V CONJ DET N V V _
make im just get patience of like five second //	make im just get patience of like five second //	V PRO ADV V N ADP ADP NUM N _
in case dem reach anybody house < make dem no dey embarrass dem //	in case dem reach anybody house < make dem no dey embarrass dem //	ADP N PRO V N N _ V PRO PART V V PRO _
we go do am //	we go do am //	PRO V V PRO _
# me < i no know //	# me < i no know //	_ PRO _ PRO PART V _
# a'ah !//	# a'ah !//	_ INTJ _
you go change di tyre //	you go change di tyre //	PRO V V DET N _
even people don dey talk sey [ ah { i too || i too } dey care // ] //	even people don dey talk sey [ ah { i too || i too } dey care // ] //	ADV N V V V CONJ _ INTJ _ PRO ADV _ PRO ADV _ V V _ _ _
so dey get to # know just meet person say [ oya < # guy < come explain something now // ] //	so dey get to # know just meet person say [ oya < # guy < come explain something now // ] //	ADV V V PART _ V ADV V N V _ INTJ _ _ N _ V V N ADV _ _ _
# eh get dis place for trans //	# eh get dis place for trans //	_ INTJ V DET N ADP PROPN _
# na un~ & //	# na un~ & //	_ PART _ _ _
# make i tell you fact //	# make i tell you fact //	_ V PRO V PRO N _
# babe < wetin now //	# babe < wetin now //	_ N _ PRO ADV _
anoder man talk sey [ { if dem start & || if dem do } dat one on di twenty-seventh <+ on di twenty-eighth < sey war go come // ] //	anoder man talk sey [ { if dem start & || if dem do } dat one on di twenty-seventh <+ on di twenty-eighth < sey war go come // ] //	DET N V CONJ _ _ CONJ PRO V _ _ CONJ PRO V _ DET N ADP DET NUM _ ADP DET NUM _ CONJ N V V _ _ _
you sef sabi now !//	you sef sabi now !//	PRO PART V ADV _
# im come talk sey [ eh di babe name # start wit eh s // ] //	# im come talk sey [ eh di babe name # start wit eh s // ] //	_ PRO V V CONJ _ INTJ DET N N _ V ADP INTJ PROPN _ _ _
# make i tell you dat one //	# make i tell you dat one //	_ V PRO V PRO DET N _
di kind life wey dat woman dey live for dere < na { only god || na only god } >+ go save am //	di kind life wey dat woman dey live for dere < na { only god || na only god } >+ go save am //	DET N N CONJ DET N V V ADP ADV _ PART _ ADJ PROPN _ PART ADJ PROPN _ _ V V PRO _
no & //	no & //	INTJ _ _
# ehn { if you talk || # if you talk } sey a'ah //	# ehn { if you talk || # if you talk } sey a'ah //	_ INTJ _ CONJ PRO V _ _ CONJ PRO V _ CONJ INTJ _
# okay < i get pos for ma bag //	# okay < i get pos for ma bag //	_ INTJ _ PRO V N ADP PRO N _
