vielljan sáhttá vuoitit gilvvu .	viellja sáhttit vuoitit gilvu .	N;NOM;PSS1S;SG 3;FIN;IND;PRS;SG;V NFIN;V ACC;N;SG _
dát ledje gáddenuohtit mat ledje 180 gitta 200 sala guhku , ja 15 gitta 20 sala čieŋu .	dát leat gáddenuohtti mii leat 180 gitta 200 salla guhku , ja 15 gitta 20 salla čieŋu .	NOM;PL;PRO 3;FIN;IND;PL;PST;V N;NOM;PL NOM;PL;PRO 3;FIN;IND;PL;PST;V GEN;NUM;SG ADV GEN;NUM;SG GEN;N;SG ADP _ CONJ GEN;NUM;SG ADV GEN;NUM;SG GEN;N;SG ADP _
lea meara láhkai go das oidnojit bárut .	leat mearra láhkai go dat oidnot bárru .	3;FIN;IND;PRS;SG;V GEN;N;SG ADP CONJ ESS;PRO;SG 3;FIN;IND;PL;PRS;V N;NOM;PL _
mun álgen internáhttaoahpaheaddjin 1949:s kárášjohkii ja ledjen man_nu láhkai oktavuođas internáhttaohppiin dán 22 jagi maid ledjen skuvllas , ja belohahkii maiddái maŋŋá .	mun álgit internáhttaoahpaheaddji 1949 kárášjohka ja leat mii_nu láhkai oktavuohta internáhttaoahppi dát 22 jahki mii leat skuvla , ja belohahkii maiddái maŋŋá .	1;NOM;PRO;SG 1;FIN;IND;PST;SG;V FRML;N ESS;NUM;SG IN+ALL;PROPN;SG CONJ 1;FIN;IND;PST;SG;V GEN;PRO;SG ADP ESS;N;SG COM;N;SG ACC;PRO;SG ACC;NUM;SG GEN;N;SG ACC;PL;PRO 1;FIN;IND;PST;SG;V ESS;N;SG _ CONJ ADV ADV ADV _
son bođii jagi áigi .	son boahtit jahki áigi .	3;NOM;PRO;SG 3;FIN;IND;PST;SG;V ACC;N;SG ADV _
ollu jagiid mielde lei dáhpin šaddan ahte stuorra gánddat bohte min geahčái lávvardaga ja sotnabeaivve go radios ledje sáddagat skeittástan- ja čuoigangilvvuin .	ollu jahki mielde leat dáhpi šaddat ahte stuoris gánda boahtit mun geahči lávvardat ja sotnabeaivi go rádio leat sátta skeittát ja čuoigangilvu .	ADJ GEN;N;PL ADP 3;FIN;IND;PST;SG;V FRML;N PFV;V;V.PTCP CONJ ADJ N;NOM;PL 3;FIN;IND;PL;PST;V 1;GEN;PL;PRO IN+ALL;N;SG GEN;N;SG CONJ GEN;N;SG CONJ ESS;N;SG 3;FIN;IND;PL;PST;V N;NOM;PL N CONJ ESS;N;PL _
jus eanebut leat ožžon seamma ollu jienaid , de mearriduvvo boađus vuorbádemiin .	jus eanebut leat oažžut seammá ollu jietna , de mearridit boađus vuorbádit .	CONJ NOM;PL;PRO 3;FIN;IND;PL;PRS;V PFV;V;V.PTCP ADV ADJ ACC;N;PL _ ADV 3;FIN;IND;PASS;PRS;SG;V N;NOM;SG COM;N;SG _
ihttin lea bearjadat .	ihttin leat bearjadat .	ADV 3;FIN;IND;PRS;SG;V N;NOM;SG _
son lea leamaš oahpaheaddji maŋimuš 15-20 jagi , sihke mánáidskuvllas ja joatkkaskuvllas .	son leat leat oahpaheaddji maŋit 15-20 jahki , sihke mánáidskuvla ja joatkkaskuvla .	3;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PFV;V;V.PTCP N;NOM;SG ADJ;RL ACC;NUM;SG GEN;N;SG _ ADV ESS;N;SG CONJ ESS;N;SG _
ii leat stáhtas várra goassige leamaš ruđalaš ávki dán ámmahis .	ii leat stáhta várra goassige leat ruđalaš ávki dát ámmát .	3;FIN;IND;NEG;SG;V FIN;IND;PRS;V ESS;N;SG ADV ADV PFV;V;V.PTCP ADJ N;NOM;SG ESS;PRO;SG ESS;N;SG _
bjørn aarseth lei oahpaheaddji ja rektor kárášjogas 1949-73 .	bjørn aarseth leat oahpaheaddji ja rektor kárášjohka 1949-73 .	PROPN NOM;PROPN;SG 3;FIN;IND;PST;SG;V N;NOM;SG CONJ N;NOM;SG ESS;PROPN;SG GEN;NUM;SG _
gávpoga poarttat eai goassege dahppojuvvo beaivet , ii ge idja šat leat .	gávpot poarta ii goassege dahppat beaivet , ii ge idja šat leat .	GEN;N;SG N;NOM;PL 3;FIN;IND;NEG;PL;V ADV FIN;IND;PASS;PRS;V ADV _ 3;FIN;IND;NEG;SG;V PART N;NOM;SG ADV FIN;IND;PRS;V _
buot lea divrras .	buot leat divrras .	NOM;PRO 3;FIN;IND;PRS;SG;V ADJ;NOM;SG _
dat mat sáhttet háhkkojuvvot , leat ovdalis juo namuhuvvon .	dat mii sáhttit háhkat , leat ovdalis juo namuhit .	NOM;PL;PRO NOM;PL;PRO 3;FIN;IND;PL;PRS;V NFIN;PASS;V _ 3;FIN;IND;PL;PRS;V ADV ADV PASS;PFV;V;V.PTCP _
muhto maidba mun veaján daidda nieiddaide ja mánáide , maid soai leaba riegádahttán ?	muhto mii mun veadjit dat nieida ja mánná , mii son leat riegádahttit ?	CONJ ACC;PRO;SG 1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V IN+ALL;PL;PRO IN+ALL;N;PL CONJ IN+ALL;N;PL _ ACC;PL;PRO 3;DU;NOM;PRO 3;DU;FIN;IND;PRS;V PFV;V;V.PTCP _
ovdamearkan sáhttá namuhit ahte dábálaš mearrádusat ráŋggáštusa ja buhtadusaid hárrái bohtet prinsihpalaččat go dahkkojuvvojit dagut mat eai leat gullevaččat boazodollui .	ovdamearka sáhttit namuhit ahte dábálaš mearrádus ráŋggáštus ja buhtadus hárrái boahtit prinsihpalaš go dahkat dahku mii ii leat gullevaš boazodoallu .	FRML;N 3;FIN;IND;PRS;SG;V NFIN;V CONJ ADJ N;NOM;PL GEN;N;SG CONJ GEN;N;PL ADP 3;FIN;IND;PL;PRS;V ADV CONJ 3;FIN;IND;PASS;PL;PRS;V N;NOM;PL NOM;PL;PRO 3;FIN;IND;NEG;PL;V 3;FIN;IND;PL;PRS;V ADJ;NOM;PL IN+ALL;N;SG _
in leat diehtán maidege .	ii leat diehtit mihkkege .	1;FIN;IND;NEG;SG;V FIN;IND;PRS;V PFV;V;V.PTCP ACC;PRO;SG _
kulihkka lea dábálaččat .	kulihkka leat dábálaš .	N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;CMPR;NOM;SG _
in máhte juoigat inge lávlut .	ii máhttit juoigat ii lávlut .	1;FIN;IND;NEG;SG;V FIN;IND;PRS;V NFIN;V 1;FIN;IND;NEG;SG;V NFIN;V _
dat orru buorre fanas .	dat orrut buorre fanas .	NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ;NOM;SG N;NOM;SG _
mun lean oappáinan ožžon veahki .	mun leat oabbá oažžut veahkki .	1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V ESS;N;PL;PSS1S PFV;V;V.PTCP ACC;N;SG _
mii suhkat dohko ja bivdigoahtit sáiddiid .	mun suhkat dohko ja bivdit sáidi .	1;NOM;PL;PRO 1;FIN;IND;PL;PRS;V ADV CONJ 1;FIN;IND;PL;PRS;V ACC;N;PL _
- doai fertebeahtti orrut dáppe dasságo dálki buorrána .	- don fertet orrut dáppe dasságo dálki buorránit .	_ 2;DU;NOM;PRO 2;DU;FIN;IND;PRS;V NFIN;V ADV CONJ N;NOM;SG 3;FIN;IND;PRS;SG;V _
máret ii leat oaidnán vieljas jahkái .	máret ii leat oaidnit viellja jahki .	NOM;PROPN;SG 3;FIN;IND;NEG;SG;V FIN;IND;PRS;V PFV;V;V.PTCP ACC;N;PSS3S;SG IN+ALL;N;SG _
mun luohtán dutnje .	mun luohttit don .	1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V 2;IN+ALL;PRO;SG _
dat ii leat hábmejuvvon sámi boazodoalu beroštumiid mielde .	dat ii leat hábmet sápmi boazodoallu beroštupmi mielde .	NOM;PRO;SG 3;FIN;IND;NEG;SG;V FIN;IND;PRS;V PASS;PFV;V;V.PTCP GEN;N;SG GEN;N;SG GEN;N;PL ADP _
lávus leat guokte amas olbmo .	lávvu leat guokte amas olmmoš .	ESS;N;SG 3;FIN;IND;PL;PRS;V NOM;NUM;SG ADJ GEN;N;SG _
dat lea goappaš riikkaid eiseválddiid hálddus addit lobi boazoguohtunlávdegotti ja dárkkistangotti miellahttui .	dat leat goappaš riika eiseváldi háldu addit lohpi boazoguohtunlávdegoddi ja dárkkistangoddi miellahttu .	NOM;PRO;SG 3;FIN;IND;PRS;SG;V PRO GEN;N;PL GEN;N;PL ESS;N;SG NFIN;V ACC;N;SG GEN;N;SG CONJ GEN;N;SG IN+ALL;N;SG _
dát ledje horilaš sohkaoaivámuččat , seira bártnit , edoma eatnamis .	dát leat horilaš sohkaoaivámuš , seir bárdni , edom eana .	NOM;PL;PRO 3;FIN;IND;PL;PST;V ADJ N;NOM;PL _ GEN;PROPN;SG N;NOM;PL _ GEN;PROPN;SG ESS;N;SG _
mun dása lasihan ahte mu iežan álgojagiid ja maiddái skuvlajagiid mun orron guovdageainnu internáhttaskuvllas go min bearaš orui hoavdaásodatoasis .	mun dát lasihit ahte mun ieš álgojahki ja maiddái skuvlajahki mun orrut guovdageaidnu internáhttaskuvla go mun bearaš orrut hoavdaásodatoassi .	1;NOM;PRO;SG IN+ALL;PRO;SG 1;FIN;IND;PRS;SG;V CONJ 1;GEN;PRO;SG GEN;PRO;PSS1S;REFL GEN;N;PL CONJ ADV GEN;N;PL 1;NOM;PRO;SG 1;FIN;IND;PST;SG;V GEN;PROPN;SG ESS;N;SG CONJ 1;GEN;PL;PRO N;NOM;SG 3;FIN;IND;PST;SG;V ESS;N;SG _
sii sáddejedje oabbáseaset juovlaskeaŋkka .	son sáddet oabbá juovlaskeaŋka .	3;NOM;PL;PRO 3;FIN;IND;PL;PST;V IN+ALL;N;PSS3P;SG ACC;N;SG _
muhtumat eai muosát jápmima ovdal_go oidnet olbmobártni boahtimin riikkainis .	muhtun ii muosáhit jápmin ovdal_go oaidnit olbmobárdni boahtit riika .	NOM;PL;PRO 3;FIN;IND;NEG;PL;V FIN;IND;PRS;V ACC;N;SG CONJ 3;FIN;IND;PL;PRS;V ACC;N;SG FRML;V;V.MSDR COM;N;PSS3S;SG _
sámi giellaguoddiid geahppáneapmi lea stuorát go lassáneapmi .	sápmi giellaguoddi geahppáneapmi leat stuoris go lassáneapmi .	GEN;N;SG GEN;N;PL N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;CMPR;NOM;SG CONJ N;NOM;SG _
buot stohpogálvvut livčče málejuvvon ruoksadin .	buot stohpogálvu leat málet ruoksat .	PRO N;NOM;PL 3;COND;FIN;PL;PRS;V PASS;PFV;V;V.PTCP ADJ;FRML _
9 studeantta gerget oahpuineasetguin , ja leat oahppan sámegielat buohccidivššárat .	9 studeanta geargat oahppu , ja leat oahppat sámegielat buohccedivššár .	NOM;NUM;SG GEN;N;SG 3;FIN;IND;PL;PRS;V COM;N;PL;PSS3P _ CONJ 3;FIN;IND;PL;PRS;V PFV;V;V.PTCP ADJ N;NOM;PL _
