ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
før vi køyrer ned risbakken .	før vi køyre ned risbakken $.	ADP 1;HUM;NOM;PL;PRO FIN;IND;PRS;V ADP PROPN _
ja ja .	ja ja $.	INTJ INTJ _
var det mange som som hadde slik attåtnæring ?	vere det mange som som ha slik attåtnæring $?	FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;PL PRO PRO FIN;IND;PST;V DET;FEM;SG FEM;INDF;N;SG _
jaha .	jaha $.	INTJ _
m det var oppfor e n1 om du kan seie det .	m det vere oppfor e n1 om du kunne seie det $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADP _ PROPN CONJ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V NFIN;V 3;NEUT;PRO;SG _
mhm .	mhm $.	INTJ _
så det var # meget bra greier .	så det vere # meget bra greie $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V _ ADV ADJ;PL FEM;INDF;N;PL _
og da var det bombing her # ganske snart etter bomba det der radioen .	og da vere det bombing her # ganske snart etter bombe det der radio $.	CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;SG ADV _ ADV ADV ADP DEF;FEM;N;SG 3;NEUT;PRO;SG ADV DEF;MASC;N;SG _
men det var eit forferdeleg uvêr det var det det ja det var # full storm for ikkje å seie orkan i i i # i byene .	men det vere ein forferdeleg uvêr det vere det det ja det vere # full storm for ikkje å seie orkan i i i # i bye $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG 3;NEUT;PRO;SG INTJ 3;NEUT;PRO;SG FIN;IND;PST;V _ ADJ;INDF;SG INDF;MASC;N;SG CONJ NEG;PART PART NFIN;V INDF;MASC;N;SG ADP ADP ADP _ ADP DEF;FEM;N;PL _
men eg var jo heldig for så vidt for det at eg køyrde på diesel .	men eg vere jo heldig for så vid for det at eg køyre på diesel $.	CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;SG ADP ADV ADJ;INDF;NEUT;SG CONJ 3;NEUT;PRO;SG CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP INDF;MASC;N;SG _
