не о вьсѣхъ васъ г҃лѭ	не о вьсь вꙑ глаголати	ADV;NEG ADP DET;ESS;PL 2;ESS;PL;PRO 1;ACT;FIN;IND;PRS;SG;V
а мꙑтарь из далече стоѩ не хотѣаше ни очию възвести на небо	а мꙑтарь издалече далече стоꙗти не хотѣти ни око възвести на небо	CONJ MASC;N;NOM;SG ADV ADV ACT;MASC;NOM;PRS;SG;V;V.PTCP ADV;NEG 3;ACT;FIN;IND;IPFV;PST;SG;V ADV;NEG DU;GEN;N;NEUT ACT;NFIN;PRS;V ADP ACC;N;NEUT;SG
ꙇ рече емоу благꙑ рабе и добрꙑ	и рещи и благъ рабъ и добръ	CONJ 3;ACT;FIN;IND;PFV;PST;SG;V 3;DAT;MASC;PRO;SG ADJ;MASC;SG;VOC MASC;N;SG;VOC CONJ ADJ;MASC;SG;VOC
мѫжа не имамъ	мѫжь не имѣти	GEN;MASC;N;SG ADV;NEG 1;ACT;FIN;IND;PRS;SG;V
бѣ же вь дьне оучѧ въ ц҃ркве а ноштиѭ въдварѣаше сѧ исходѧ въ горѣ нарицаемѣи елеонъ	бꙑти же въ дьнь оучити въ црькꙑ а нощь въдварꙗти себе исходити въ гора нарицати елеонъ	3;ACT;FIN;IND;IPFV;PST;SG;V ADV ADP ESS;MASC;N;SG ACT;MASC;NOM;PRS;SG;V;V.PTCP ADP ESS;FEM;N;SG CONJ FEM;INS;N;SG 2;ACT;FIN;IND;IPFV;PST;SG;V 3;ACC;SG;V ACT;MASC;NOM;PRS;SG;V;V.PTCP ADP ESS;FEM;N;SG ESS;FEM;PASS;PRS;SG;V;V.PTCP PROPN
ѣко же прѣста г҃лѧ рече къ симоноу	ꙗко же прѣстати глаголати рещи къ симонъ	CONJ ADV 3;ACT;FIN;IND;PFV;PST;SG;V ACT;MASC;NOM;PRS;SG;V;V.PTCP 3;ACT;FIN;IND;PFV;PST;SG;V ADP DAT;MASC;PROPN;SG
аште бимъ бꙑли вь дьни отецъ нашихъ не бимь оубо обещьници имъ бꙑли въ кръви пророкъ	аще бꙑти бꙑти въ дьнь отьць нашь не бꙑти оубо обьщьникъ и бꙑти въ кръвь пророкъ	CONJ 1;ACT;FIN;PL;PRS;SBJV;V ACT;MASC;NOM;PL;V;V.PTCP ADP ACC;MASC;N;PL GEN;MASC;N;PL 1;ADJ;GEN;PL ADV;NEG 1;ACT;FIN;PL;PRS;SBJV;V ADV MASC;N;NOM;PL 3;DAT;MASC;PL;PRO ACT;MASC;NOM;PL;V;V.PTCP ADP ESS;FEM;N;SG GEN;MASC;N;PL
видимъ	видѣти	1;ACT;FIN;IND;PL;PRS;V
и тоу оуготоваита	и тоу оуготовати	CONJ ADV 2;ACT;DU;FIN;IMP;PRS;V
азъ же г҃лѭ вамъ ѣко вьсѣкъ поуштаѩи женѫ своѭ развѣ словесе любодѣинааго творитъ ѭ прѣлюбꙑ дѣати ꙇ иже подъпѣгѫ поемлетъ прѣлюбꙑ творитъ	азъ же глаголати вꙑ ꙗко вьсꙗкъ поущати жена свои развѣ слово любодѣꙗньнъ творити и прѣлюбꙑ дѣꙗти и иже потьпѣга поимати прѣлюбꙑ творити	1;NOM;PRO;SG ADV 1;ACT;FIN;IND;PRS;SG;V 2;DAT;PL;PRO CONJ ADJ;MASC;NOM;SG ACT;MASC;NOM;PRS;SG;V;V.PTCP ACC;FEM;N;SG 3;ACC;ADJ;FEM;REFL;SG ADP GEN;N;NEUT;SG ADJ;GEN;SG;{MASC/NEUT} 3;ACT;FIN;IND;PRS;SG;V 3;ACC;FEM;PRO;SG ACC;FEM;N;SG ACT;NFIN;PRS;V CONJ MASC;NOM;PRO;SG ACC;FEM;N;SG 3;ACT;FIN;IND;PRS;SG;V ACC;FEM;N;SG 3;ACT;FIN;IND;PRS;SG;V
нѣстъ сьде	не.бꙑти сьде	3;ACT;FIN;IND;PRS;SG;V ADV
ꙇ г҃ла емоу	и глаголати и	CONJ 3;ACT;FIN;IND;PFV;PST;SG;V 3;DAT;MASC;PRO;SG
придѣте кь мънѣ въси троуждаѭштеи сѧ ꙇ҅ обрѣменении	прити къ азъ вьсь троуждати себе и обрѣменити	2;ACT;FIN;IMP;PL;PRS;V ADP 1;DAT;PRO;SG DET;MASC;NOM;PL ACT;MASC;NOM;PL;PRS;V;V.PTCP 3;ACC;SG;V CONJ MASC;NOM;PASS;PL;PST;V;V.PTCP
