widzę jej oczy .	widzieć on oko .	1;ACT;FIN;IND;IPFV;PRS;SG;V 3;FEM;GEN;PRO;SG ACC;N;NEUT;PL _
– na pewno ci powie .	– na pewno ty powiedzieć .	_ ADV ADV 2;DAT;FEM;PRO;SG 3;ACT;FIN;FUT;IND;PFV;SG;V _
kolację jadamy o siódmej .	kolacja jadać o siódmy .	ACC;FEM;N;SG 1;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADJ;ESS;FEM;SG _
nawet u mnie nie byli , bo formalności wizowe trwały zbyt długo .	nawet u ja nie być , bo formalność wizowy trwać zbyt długo .	PART ADP 1;GEN;MASC;PRO;SG NEG;PART ACT;FIN;IND;IPFV;MASC;PL;PST;V _ CONJ FEM;N;NOM;PL ADJ;FEM;NOM;PL ACT;FEM;FIN;IND;IPFV;PL;PST;V PART ADV _
krew pije ?	krew pić ?	ACC;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
pan zanotuje sobie prywatny numer posła . . .	pan zanotować siebie prywatny numer poseł . . .	MASC;N;NOM;SG 3;ACT;FIN;FUT;IND;PFV;SG;V DAT;PRO;REFL ACC;ADJ;MASC;SG ACC;MASC;N;SG GEN;MASC;N;SG _ _ _
dopiero po 5 minutach zamieszanie zostało opanowane przez policję .	dopiero po 5 minuta zamieszanie zostać opanować przez policja .	PART ADP ESS;FEM;NUM;PL ESS;FEM;N;PL N;NEUT;NOM;SG ACT;FIN;IND;NEUT;PFV;PST;SG;V ADJ;NEUT;NOM;PASS;PFV;POS;SG;V.PTCP ADP ACC;FEM;N;SG _
to jest fakt .	to być fakt .	FIN;IND;PRS;V 3;FIN;IND;IPFV;PRS;SG;V MASC;N;NOM;SG _
skrzypczak układał swoje poczynania .	skrzypczak układać swój poczynanie .	MASC;NOM;PROPN;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V ACC;DET;NEUT;PL;REFL ACC;N;NEUT;PL _
mieszkała m w dobrziszu .	mieszkać być w dobrzisz .	ACT;FEM;FIN;IND;IPFV;PST;SG;V 1;IPFV;SG;V ADP ESS;MASC;PROPN;SG _
posłanka ta jest raczej deprecjonowana . . .	posłanka ten być raczej deprecjonować . . .	FEM;N;NOM;SG DET;FEM;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V PART ADJ;FEM;IPFV;NOM;PASS;POS;SG;V.PTCP _ _ _
nie można nagrać zdjęć ?	nie można nagrać zdjęcie ?	NEG;PART FIN;IND;PRS;V ACT;NFIN;PFV;V GEN;N;NEUT;PL _
on dał nam siebie w eucharystii .	on dać my siebie w eucharystia .	3;MASC;NOM;PRO;SG ACT;FIN;IND;MASC;PFV;PST;SG;V 1;DAT;MASC;PL;PRO ACC;PRO;REFL ADP ESS;FEM;N;SG _
spostrzegł em , że ma ładne piersi i krągłe , dziewczęce ramiona .	spostrzec być , że mieć ładny pierś i krągły , dziewczęcy ramię .	ACT;FIN;IND;MASC;PFV;PST;SG;V 1;IPFV;SG;V _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;FEM;PL ACC;FEM;N;PL CONJ ACC;ADJ;NEUT;PL _ ACC;ADJ;NEUT;PL ACC;N;NEUT;PL _
ciągle milczeli .	ciągle milczeć .	ADV ACT;FIN;IND;IPFV;MASC;PL;PST;V _
jak poszło ?	jak pójść ?	ADV ACT;FIN;IND;NEUT;PFV;PST;SG;V _
przywitajmy ją serdecznie .	przywitać on serdecznie .	1;ACT;FIN;IMP;PFV;PL;V 3;ACC;FEM;PRO;SG ADV _
stracił cały swój początkowy tupet .	stracić cały swój początkowy tupet .	ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;MASC;SG ACC;DET;MASC;REFL;SG ACC;ADJ;MASC;SG ACC;MASC;N;SG _
– ojciec benedykt służył tutaj ?	– ojciec benedykt służyć tutaj ?	_ MASC;N;NOM;SG MASC;NOM;PROPN;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V ADV _
jerzy został sam .	jerzy zostać sam .	MASC;NOM;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ADJ;MASC;NOM;SG _
w początkach następnego tysiąclecia jej ruiny pokrył śmietnik .	w początek następny tysiąclecie on ruina pokryć śmietnik .	ADP ESS;MASC;N;PL ADJ;GEN;NEUT;SG GEN;N;NEUT;SG 3;FEM;GEN;PRO;SG ACC;FEM;N;PL ACT;FIN;IND;MASC;PFV;PST;SG;V MASC;N;NOM;SG _
wymienię te najważniejsze .	wymienić ten ważny .	1;ACT;FIN;FUT;IND;PFV;SG;V ACC;DET;MASC;PL ACC;ADJ;MASC;PL;RL _
- wolfgang przestawił swoje krzesełko w cień .	- wolfgang przestawić swój krzesełko w cień .	_ MASC;NOM;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;DET;NEUT;REFL;SG ACC;N;NEUT;SG ADP ACC;MASC;N;SG _
mogę rzucić pracę i wyjechać do włoch .	móc rzucić praca i wyjechać do włochy .	1;ACT;FIN;IND;IPFV;PRS;SG;V ACT;NFIN;PFV;V ACC;FEM;N;SG CONJ ACT;NFIN;PFV;V ADP GEN;NEUT;PL;PROPN _
nieco częściej czyniły to kobiety .	nieco często czynić to kobieta .	ADV ADV;CMPR ACT;FEM;FIN;IND;IPFV;PL;PST;V ACC;NEUT;PRO;SG FEM;N;NOM;PL _
na jakiej podstawie to wiemy ?	na jaki podstawa to wiedzieć ?	ADP DET;ESS;FEM;SG ESS;FEM;N;SG ACC;NEUT;PRO;SG 1;ACT;FIN;IND;IPFV;PL;PRS;V _
