o vice-presidente andriessen participa em a reunião de coordenação de a ajuda internacional a a cei , em o centro cultural de belém .	o vice-presidente andriessen participar em o reunião de coordenação de o ajuda internacional a o cei , em o centro cultural de belém .	DEF;DET;MASC;SG MASC;N;SG MASC;PROPN;SG 3;FIN;IND;PRS;SG;V ADP DEF;DET FEM;N;SG ADP N ADP DEF;DET;FEM;SG N ADJ ADP DEF;DET;FEM;SG N _ ADP DEF;DET;MASC;SG MASC;PROPN;SG PROPN;SG ADP PROPN;SG _
freiras devem ter maior poder	freira dever ter grande poder	FEM;N;PL 3;FIN;IND;PL;PRS;V NFIN;V ADJ;MASC;SG MASC;N;SG
para ele , a alta de preços em a fase de a nova moeda deverá ser impulsionada por os setores competitivos como o agrícola e o de serviços .	para ele , o alta de preço em o fase de o novo moeda dever ser impulsionar por o setor competitivo como o agrícola e o de serviço .	ADP 3;MASC;PRO;SG _ DEF;DET;FEM;SG FEM;N;SG ADP MASC;N;PL ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;SG ADJ;FEM;SG FEM;N;SG 3;FIN;FUT;IND;SG;V NFIN;V FEM;PASS;SG;V;V.PTCP ADP DEF;DET;MASC;PL MASC;N;PL ADJ;MASC;PL ADP DEF;DET;MASC;SG ADJ;MASC;SG CONJ DET;MASC;SG ADP MASC;N;PL _
nenhum município brasileiro , nem mesmo são paulo , « dispõe de um sistema adequado de esgotos » .	nenhum município brasileiro , nem mesmo são paulo , « dispor de um sistema adequado de esgoto » .	DET;MASC;SG MASC;N;SG ADJ;MASC;SG _ CONJ CONJ;MASC;SG MASC;PROPN;SG PROPN;SG _ _ 3;FIN;IND;PRS;SG;V ADP DET;INDF;MASC;SG MASC;N;SG ADJ;MASC;SG ADP MASC;N;PL _ _
em o pavilhão branco de o museu de a cidade , em lisboa , a exposição de adriana varejão inaugura uma nova área de intervenção de o iac .	em o pavilhão branco de o museu de o cidade , em lisboa , o exposição de adriana varejão inaugurar um novo área de intervenção de o iac .	ADP DEF;DET;MASC;SG MASC;PROPN;SG PROPN;SG ADP DEF;DET;MASC;SG PROPN;SG ADP DEF;DET;FEM;SG PROPN;SG _ ADP FEM;PROPN;SG _ DEF;DET;FEM;SG FEM;N;SG ADP FEM;PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DET;FEM;INDF;SG ADJ;FEM;SG FEM;N;SG ADP FEM;N;SG ADP DEF;DET;MASC;SG MASC;PROPN;SG _
paraíba 1	paraíba 1	FEM;PROPN;SG NUM
assista a o filme de novo : você não vai me ver completamente nua a não ser em uma cena , em o final de o strip tease .	assistir a o filme de novo : você não ir eu ver completamente nu a não ser em um cena , em o final de o strip tease .	3;FIN;PRS;SBJV;SG;V ADP DEF;DET;MASC;SG MASC;N;SG ADP ADV;MASC;SG _ 3;NOM;PRO;SG ADV;NEG 3;FIN;IND;PRS;SG;V 1;ACC;FEM;PRO;SG NFIN;V ADV ADJ;FEM;SG ADP ADV;NEG NFIN;V ADP DET;FEM;INDF;SG FEM;N;SG _ ADP DEF;DET;MASC;SG MASC;N;SG ADP DEF;DET;MASC;SG _ _ _
cuidados especiais	cuidado especial	MASC;N;PL ADJ;MASC;PL
significa « planetas bacanas » .	significar « planeta bacana » .	3;FIN;IND;PRS;SG;V _ MASC;N;PL ADJ;MASC;PL _ _
a rentabilidade líquida , para saque em 1o de setembro , vai depender de a variação de a ufir .	o rentabilidade líquido , para saque em 1º de setembro , ir depender de o variação de o ufir .	DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG _ ADP MASC;N;SG ADP ADJ;MASC;SG ADP MASC;N;SG _ 3;FIN;IND;PRS;SG;V NFIN;V ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;PROPN;SG _
segundo a empresa , o aparelho permite que o aparelho grave e transcreva a voz humana .	segundo o empresa , o aparelho permitir que o aparelho gravar e transcrever o voz humano .	ADP DEF;DET;FEM;SG FEM;N;SG _ DEF;DET;MASC;SG MASC;N;SG 3;FIN;IND;PRS;SG;V CONJ DEF;DET;MASC;SG MASC;N;SG 3;FIN;PRS;SBJV;SG;V CONJ 3;FIN;PRS;SBJV;SG;V DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG _
mais metafórico foi o secretário de estado de o desenvolvimento regional , adriano pimpão , que comparou o acordo a « uma embraiagem » .	mais metafórico ir o secretário de estado de o desenvolvimento regional , adriano pimpão , que comparar o acordo a « um embraiagem » .	ADV ADJ;MASC;SG 3;FIN;IND;PST;SG;V DEF;DET;MASC;SG MASC;N;SG ADP N ADP DEF;DET;MASC;SG N ADJ _ MASC;PROPN;SG PROPN;SG _ MASC;PRO;SG 3;FIN;IND;PST;SG;V DEF;DET;MASC;SG MASC;N;SG ADP _ DET;FEM;INDF;SG FEM;N;SG _ _
algumas de as chamadas « portas de entrada » vendidas eram de a lusa , de o laboratório nacional de engenharia civil ( lnec ) e de a empresa aeroportos e navegação aérea ( ana ) .	algum de o chamar « porta de entrada » vender ser de o lusa , de o laboratório nacional de engenharia civil ( lnec ) e de o empresa aeroportos e navegação aérea ( ana ) .	FEM;PL;PRO ADP DEF;DET;FEM;PL FEM;PL;V;V.PTCP _ FEM;N;PL ADP FEM;N;SG _ FEM;PL;V;V.PTCP 3;FIN;IND;IPFV;PL;V ADP DEF;DET;FEM;SG FEM;PROPN;SG _ ADP DEF;DET;MASC;SG MASC;PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG _ MASC;PROPN;SG _ CONJ ADP DEF;DET;FEM;SG FEM;N;SG FEM;PROPN;SG CONJ;SG PROPN;SG PROPN;SG _ FEM;PROPN;SG _ _
o secretário de o tesouro , lloyd bentsen , disse que a questão ética vai ser examinada agora .	o secretário de o tesouro , lloyd bentsen , dizer que o questão ético ir ser examinar agora .	DEF;DET;MASC;SG MASC;N;SG ADP DEF;DET;MASC;SG MASC;N;SG _ MASC;PROPN;SG PROPN;SG _ 3;FIN;IND;PST;SG;V CONJ DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG 3;FIN;IND;PRS;SG;V NFIN;V FEM;PASS;SG;V;V.PTCP ADV _
os partidos pró-governamentais voltam atrás quanto a a prometida revisão constitucional .	o partido pró-governamental voltar atrás quanto a o prometer revisão constitucional .	DEF;DET;MASC;PL MASC;N;PL ADJ;MASC;PL 3;FIN;IND;PL;PRS;V ADV ADV ADP DEF;DET;FEM;SG FEM;SG;V;V.PTCP FEM;N;SG ADJ;FEM;SG _
diria lhe que reunir aqui esta magnífica colecção de verdadeiros fósseis , alguns gigantescos , de os terrenos mesozóicos de a velha china foi mérito exclusivo de este museu , que não contou com quaisquer apoios diplomáticos , em uma realização que vai fazer mais por o estreitamento de as relações entre os dois países de o que quaisquer outras já realizadas .	dizer ele que reunir aqui este magnífico colecção de verdadeiro fóssil , algum gigantesco , de o terreno mesozóico de o velho china ser mérito exclusivo de este museu , que não contar com qualquer apoio diplomático , em um realização que ir fazer mais por o estreitamento de o relação entre o dois país de o que qualquer outro já realizar .	1;COND;FIN;SG;V 3;DAT;MASC;PRO;SG CONJ NFIN;V ADV DET;FEM;SG ADJ;FEM;SG FEM;N;SG ADP ADJ;MASC;PL MASC;N;PL _ DET;MASC;PL ADJ;MASC;PL _ ADP DEF;DET;MASC;PL MASC;N;PL ADJ;MASC;PL ADP DEF;DET;FEM;SG ADJ;FEM;SG FEM;PROPN;SG 3;FIN;IND;PST;SG;V MASC;N;SG ADJ;MASC;SG ADP DET;MASC;SG MASC;PROPN;SG _ MASC;PRO;SG ADV;NEG 3;FIN;IND;PST;SG;V ADP DET;MASC;PL MASC;N;PL ADJ;MASC;PL _ ADP DET;FEM;INDF;SG FEM;N;SG FEM;PRO;SG 3;FIN;IND;PRS;SG;V NFIN;V ADV ADP DEF;DET;MASC;SG MASC;N;SG ADP DEF;DET;FEM;PL FEM;N;PL ADP DEF;DET;MASC;PL NUM MASC;N;PL ADP MASC;PRO;SG MASC;PRO;SG DET;FEM;PL DET;FEM;PL ADV FEM;PL;V;V.PTCP _
os independentistas tchetchenos prosseguiram o cerco a diversas posições militares russas , que responderam a o ataque abrindo fogo sobre « concentrações de combatentes » tchetchenos , segundo o termo utilizado por o centro de imprensa instalado em mosdok ( ossétia de o norte ) , quartel-general de as forças de intervenção russas .	o independentista tchetcheno prosseguir o cerco a diversos posição militar russa , que responder a o ataque abrir fogo sobre « concentração de combatente » tchetcheno , segundo o termo utilizar por o centro de imprensa instalar em mosdok ( ossétia de o norte ) , quartel-general de o força de intervenção russo .	DEF;DET;MASC;PL MASC;N;PL ADJ;MASC;PL 3;FIN;IND;PL;PST;V DEF;DET;MASC;SG MASC;N;SG ADP DET;FEM;PL FEM;N;PL ADJ;FEM;PL FEM;N;PL _ FEM;PL;PRO 3;FIN;IND;PL;PST;V ADP DEF;DET;MASC;SG MASC;N;SG V;V.MSDR MASC;N;SG ADP _ FEM;N;PL ADP MASC;N;PL _ ADJ;MASC;PL _ ADP DEF;DET;MASC;SG MASC;N;SG MASC;PASS;SG;V;V.PTCP ADP DEF;DET;MASC;SG MASC;N;SG ADP FEM;N;SG MASC;SG;V;V.PTCP ADP MASC;PROPN;SG _ FEM;PROPN;SG ADP DEF;DET;MASC;SG MASC;N;SG _ _ MASC;N;SG ADP DEF;DET;FEM;PL FEM;N;PL ADP FEM;N;SG ADJ;FEM;PL _
estes dois projectos tinham sido objecto de um acordo político durante a última reunião de os quinze , a 29 de março em bruxelas , mas faltava lhes a adopção formal .	este dois projecto ter ser objecto de um acordo político durante o último reunião de o quinze , a 29 de março em bruxelas , mas faltar eles o adopção formal .	DET;MASC;PL NUM MASC;N;PL 3;FIN;IND;IPFV;PL;V V;V.PTCP MASC;N;SG ADP DET;INDF;MASC;SG MASC;N;SG ADJ;MASC;SG ADP DEF;DET;FEM;SG ADJ;FEM;SG FEM;N;SG ADP DEF;DET;MASC;PL NUM _ ADP NUM ADP MASC;N;SG ADP FEM;PROPN;SG _ CONJ 3;FIN;IND;IPFV;SG;V 3;DAT;MASC;PL;PRO DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG _
« era um pneu que só testámos durante três voltas e corremos o risco de o usar , pensando que era o mais indicado .	« ser um pneu que só testar durante três volta e correr o risco de ele usar , pensar que ser o mais indicado .	_ 3;FIN;IND;IPFV;SG;V DET;INDF;MASC;SG MASC;N;SG MASC;PRO;SG ADV 1;FIN;IND;PL;PST;V ADP NUM FEM;N;PL CONJ 1;FIN;IND;PL;PST;V DEF;DET;MASC;SG MASC;N;SG ADP 3;ACC;MASC;PRO;SG NFIN;V _ V;V.MSDR CONJ 3;FIN;IND;IPFV;SG;V DEF;DET;MASC;SG ADV ADJ;MASC;SG _
trata se de a aprovação de um período de 15 anos para a abertura de as barreiras alfandegárias a o sector têxtil .	tratar se de o aprovação de um período de 15 ano para o abertura de o barreira alfandegário a o sector têxtil .	3;FIN;IND;PRS;SG;V 3;ACC;FEM;PRO;SG ADP DEF;DET;FEM;SG FEM;N;SG ADP DET;INDF;MASC;SG MASC;N;SG ADP NUM MASC;N;PL ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;PL FEM;N;PL ADJ;FEM;PL ADP DEF;DET;MASC;SG MASC;N;SG ADJ;MASC;SG _
mas há a pesca comercial de atum controlada por norte-americanos de origem portuguesa , chineses de taiwan e sul-coreanos em embarcações de 1,2 tonelada que valem até us$ 13 milhões .	mas haver o pesca comercial de atum controlar por norte-americano de origem português , chinês de taiwan e sul-coreano em embarcação de 1,2 tonelada que valer até us$ 13 milhão .	CONJ 3;FIN;IND;PRS;SG;V DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG ADP MASC;N;SG FEM;PASS;SG;V;V.PTCP ADP MASC;N;PL ADP FEM;N;SG ADJ;FEM;SG _ MASC;N;PL ADP MASC;PROPN;SG CONJ MASC;N;PL ADP FEM;N;PL ADP NUM FEM;N;SG FEM;PRO 3;FIN;IND;PL;PRS;V ADV MASC;PL NUM MASC;N;PL _
esta é aliás a primeira grande surpresa de 1994 , que a primeira volta deixara entrever :	este ser aliás o primeiro grande surpresa de 1994 , que o primeiro volta deixar entrever :	FEM;PRO;SG 3;FIN;IND;PRS;SG;V ADV DEF;DET;FEM;SG ADJ;FEM;SG ADJ;FEM;SG FEM;N;SG ADP NUM _ FEM;PRO;SG DEF;DET;FEM;SG ADJ;FEM;SG FEM;N;SG 3;FIN;IND;PST+PRF;SG;V NFIN;V _
em termos de distribuição , os filmes norte-americanos detêm praticamente 95 por cento de a quota de as bilheteiras portuguesas , « a mais elevada de a união europeia » .	em termos de distribuição , o filme norte-americano deter praticamente 95 por cento de o quota de o bilheteira português , « o mais elevado de o união europeia » .	ADP N ADP FEM;N;SG _ DEF;DET;MASC;PL MASC;N;PL ADJ;MASC;PL 3;FIN;IND;PL;PRS;V ADV NUM ADP;MASC;SG MASC;NUM;SG ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;PL FEM;N;PL ADJ;FEM;PL _ _ DEF;DET;FEM;SG ADV ADJ;FEM;SG ADP DEF;DET;FEM;SG FEM;PROPN;SG PROPN;SG _ _
quando ele terminou , a as 22h10 , metade de as pessoas havia abandonado o local .	quando ele terminar , a o 22h10 , metade de o pessoa haver abandonar o local .	ADV 3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V _ ADP DEF;DET;FEM;PL FEM;N;PL _ FEM;N;SG ADP DEF;DET;FEM;PL FEM;N;PL 3;FIN;IND;IPFV;SG;V MASC;SG;V;V.PTCP DEF;DET;MASC;SG MASC;N;SG _
o decreto foi publicado em o « diário oficial » de o dia 29 de julho .	o decreto ser publicar em o « diário oficial » de o dia 29 de julho .	DEF;DET;MASC;SG MASC;N;SG 3;FIN;IND;PST;SG;V MASC;PASS;SG;V;V.PTCP ADP DEF;DET;MASC;SG _ MASC;PROPN;SG PROPN;SG _ ADP DEF;DET;MASC;SG MASC;N;SG NUM ADP MASC;N;SG _
a mulher de honecker , margot , abandonou ontem a embaixada chilena em moscovo , tendo seguido directamente para santiago de o chile , onde vive a sua filha sonya , e não para berlim como chegou a ser anunciado .	o mulher de honecker , margot , abandonar ontem o embaixada chileno em moscovo , ter seguir directamente para santiago de o chile , onde viver o seu filha sonya , e não para berlim como chegar a ser anunciar .	DEF;DET;FEM;SG FEM;N;SG ADP MASC;PROPN;SG _ FEM;PROPN;SG _ 3;FIN;IND;PST;SG;V ADV DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG ADP MASC;PROPN;SG _ V;V.MSDR V;V.PTCP ADV ADP MASC;PROPN;SG ADP DEF;DET;MASC;SG PROPN;SG _ ADV 3;FIN;IND;PRS;SG;V DEF;DET;FEM;SG DET;FEM;SG FEM;N;SG FEM;PROPN;SG _ CONJ ADV;NEG ADP MASC;PROPN;SG ADV 3;FIN;IND;PST;SG;V ADP NFIN;V MASC;PASS;SG;V;V.PTCP _
