в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
муж ржёт и просит завтра сделать отбивные из укропа . "	муж ржать и просить завтра сделать отбивная из укроп . "	ANIM;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ACT;NFIN;PFV;V ACC;INAN;MASC;N;PL ADP GEN;INAN;MASC;N;SG _ _
rt @xxxxxx :	rt @xxxxxx :	N _ _
в 20.20 остановка во владимире @xxxxxx @xxxxxx	в 20.20 остановка во владимир @xxxxxx @xxxxxx	ADP _ FEM;INAN;N;NOM;SG ADP ESS;INAN;MASC;PROPN;SG _ _
ваши гаджеты постоянно следят за вами .	ваш гаджет постоянно следить за вы .	DET;NOM;PL INAN;MASC;N;NOM;PL ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP 2;INS;PL;PRO _
и друг предаст , и сердце — выдаст , он — не предаст !	и друг предать , и сердце — выдать , он — не предать !	CONJ ANIM;MASC;N;NOM;SG 3;ACT;FIN;FUT;IND;PFV;SG;V _ CONJ INAN;N;NEUT;NOM;SG _ 3;ACT;FIN;FUT;IND;PFV;SG;V _ 3;MASC;NOM;PRO;SG _ NEG;PART 3;ACT;FIN;FUT;IND;PFV;SG;V _
изловим главного покемона - спасём своё отечество ( подсказка - он в кремле ) отдай свой голос за парнас , иначе эти	изловить главный покемон - спасти свой отечество ( подсказка - он в кремль ) отдать свой голос за парнас , иначе этот	1;ACT;FIN;FUT;IND;PFV;PL;V ACC;ADJ;ANIM;MASC;SG ACC;ANIM;MASC;N;SG _ 2;ACT;FIN;FUT;IND;PFV;SG;V ACC;DET;NEUT;SG ACC;INAN;N;NEUT;SG _ FEM;INAN;N;NOM;SG _ 3;MASC;NOM;PRO;SG ADP ESS;INAN;MASC;PROPN;SG _ 2;ACT;FIN;IMP;PFV;SG;V ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG ADP ACC;INAN;MASC;PROPN;SG _ CONJ DET;NOM;PL
а ваш сысоев уже поет об умышленном нападении на лдпр !	а ваш сысоев уже петь об умышленный нападение на лдпр !	CONJ DET;MASC;NOM;SG ANIM;MASC;NOM;PROPN;SG ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;ESS;NEUT;SG ESS;INAN;N;NEUT;SG ADP ESS;FEM;INAN;PROPN;SG _
с градообразующим предприятием - фермой на 600 коров и рентабельностью 30 % , что может массово заинтересовать частных инвесторов и реально решить не только проблему с молочным животноводством , но и решить все проблемы инфраструктуры села , дать гарантированный обьемный портфель заказов нашей промышленности , новые рабочие места , сделать россию мировым лидером апк .	с градообразующий предприятие - ферма на 600 корова и рентабельность 30 % , что мочь массово заинтересовать частный инвестор и реально решить не только проблема с молочной животноводство , но и решить весь проблема инфраструктура село , дать гарантированный обьемный портфель заказ наш промышленность , новый рабочий место , сделать россия мировой лидер апк .	ADP ADJ;INS;NEUT;SG INAN;INS;N;NEUT;SG _ FEM;INAN;INS;N;SG ADP NUM ANIM;FEM;GEN;N;PL CONJ FEM;INAN;INS;N;SG NUM GEN;INAN;MASC;PL _ INAN;NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ACT;NFIN;PFV;V ACC;ADJ;ANIM;PL ACC;ANIM;MASC;N;PL CONJ ADV ACT;NFIN;PFV;V NEG;PART PART ACC;FEM;INAN;N;SG ADP ADJ;INS;NEUT;SG INAN;INS;N;NEUT;SG _ CONJ PART ACT;NFIN;PFV;V ACC;DET;INAN;PL ACC;FEM;INAN;N;PL FEM;GEN;INAN;N;SG GEN;INAN;N;NEUT;SG _ ACT;NFIN;PFV;V ACC;ADJ;INAN;MASC;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;PL DET;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ACC;ADJ;INAN;PL ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL _ ACT;NFIN;PFV;V ACC;FEM;INAN;PROPN;SG ADJ;INS;MASC;SG ANIM;INS;MASC;N;SG GEN;INAN;MASC;N;SG _
безумно вкусно	безумно вкусный	ADV ADJ;NEUT;SG
но потом , женя , отбросив эти недостойные мысли , которые , несомненно , от дьявола , я решила - что ради блага детей россии , можно нарушить божьи заветы .	но потом , женя , отбросить этот недостойный мысль , который , несомненно , от дьявол , я решить - что ради благо ребенок россия , можно нарушиить божий завет .	CONJ ADV _ ANIM;MASC;NOM;PROPN;SG _ ACT;PFV;PST;V;V.CVB ACC;DET;PL ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ NOM;PRO _ ADV _ ADP GEN;INAN;MASC;N;SG _ 1;NOM;PRO;SG ACT;FEM;FIN;IND;PFV;PST;SG;V _ CONJ ADP GEN;INAN;N;NEUT;SG ANIM;GEN;MASC;N;PL FEM;GEN;INAN;PROPN;SG _ V ACT;NFIN;PFV;V ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL _
