biroi će takođe pružati ažurirane podatke o broju albanskih emigranata i omogućavati registraciju birača .	biro hteti takođe pružati ažuriran podatak o broj albanski emigrant i omogućavati registracija birač .	MASC;N;NOM;PL 3;PL;PRS;V ADV NFIN;V ACC;ADJ;DEF;MASC;PL ACC;MASC;N;PL ADP;ESS ESS;MASC;N;SG ADJ;DEF;GEN;MASC;PL GEN;MASC;N;PL CONJ NFIN;V ACC;FEM;N;SG GEN;MASC;N;PL _
ne volim da me nazivaju manjinom i ne želim da to prihvatim " , rekla je kosovska srpkinja milica marković za setimes .	ne voleti da ja nazivati manjina i ne želeti da taj prihvatiti " , reći biti kosovski srpkinja milica marković za setimes .	PART 1;PRS;SG;V CONJ 1;ACC;PRO;SG 3;PL;PRS;V FEM;INS;N;SG CONJ PART 1;PRS;SG;V CONJ NEUT;NOM;PRO;SG 1;PRS;SG;V _ _ FEM;SG;V;V.PTCP 3;PRS;SG;V ADJ;DEF;FEM;NOM;SG FEM;NOM;PROPN;SG FEM;NOM;PROPN;SG FEM;NOM;PROPN;SG ACC;ADP ADP _
početkom jula evro se vratio na svoj pređašnji nivo od oko 81,5 dinara .	početkom jul evro sebe vratiti na svoj pređašnji nivo od oko 81,5 dinar .	ADP;GEN GEN;MASC;N;SG MASC;N;NOM;SG ACC;PRO;REFL;SG MASC;SG;V;V.PTCP ACC;ADP ACC;INAN;MASC;PRO;REFL;SG ACC;ADJ;DEF;INAN;MASC;SG ACC;INAN;MASC;N;SG ADP;GEN ADV NUM GEN;MASC;N;PL _
to ministarstvo zaduženo je u srbiji za rad agencije za privredne registre koja je odbila da registruje povećanje deoničarskog kapitala divčeve kompanije u beogradskom dnevniku večernje novosti .	taj ministarstvo zadužiti biti u srbija za rad agencija za privredni registar koji biti odbiti da registrovati povećanje deoničarski kapital divčev kompanija u beogradski dnevnik večernji novost .	NEUT;NOM;PRO;SG N;NEUT;NOM;SG ADJ;DEF;NEUT;NOM;SG;V.PTCP 3;PRS;SG;V ADP;ESS ESS;FEM;PROPN;SG ACC;ADP ACC;INAN;MASC;N;SG FEM;GEN;N;SG ACC;ADP ACC;ADJ;DEF;MASC;PL ACC;MASC;N;PL FEM;NOM;PRO;SG 3;PRS;SG;V FEM;SG;V;V.PTCP CONJ 3;PRS;SG;V ACC;N;NEUT;SG ADJ;DEF;GEN;MASC;SG GEN;MASC;N;SG ADJ;DEF;FEM;GEN;SG FEM;GEN;N;SG ADP;ESS ADJ;DEF;ESS;MASC;SG ESS;MASC;N;SG ADJ;DEF;FEM;NOM;PL FEM;N;NOM;PL _
" najvažnija su dva standarda : sloboda kretanja i održivi povratak .	" važan biti dva standard : sloboda kretanje i održiv povratak .	_ ADJ;DEF;NEUT;NOM;PL;RL 3;PL;PRS;V NUM GEN;MASC;N;SG _ FEM;N;NOM;SG GEN;N;NEUT;SG CONJ ADJ;DEF;MASC;NOM;SG MASC;N;NOM;SG _
mladić je optužen za ubistvo više hiljada muslimana u srebrenici 1995. godine , u bosni i hercegovini .	mladić biti optužiti za ubistvo mnogo hiljada musliman u srebrenica 1995. godina , u bosna i hercegovina .	MASC;NOM;PROPN;SG 3;PRS;SG;V ADJ;INDF;MASC;NOM;SG;V.PTCP ACC;ADP ACC;N;NEUT;SG ADV;CMPR FEM;GEN;N;PL GEN;MASC;N;PL ADP;ESS ESS;FEM;PROPN;SG NUM FEM;GEN;N;SG _ ADP;ESS ESS;FEM;PROPN;SG CONJ ESS;FEM;PROPN;SG _
kosovo je u sredu ( 9. decembra ) dobilo podršku francuske , jordana i norveške , dan nakon što su to uradile i sjedinjene države .	kosovo biti u sreda ( 9. decembar ) dobiti podrška francuska , jordan i norveška , dan nakon što biti taj uraditi i sjedinjen država .	NEUT;NOM;PROPN;SG 3;PRS;SG;V ACC;ADP ACC;FEM;N;SG _ NUM GEN;MASC;N;SG _ NEUT;SG;V;V.PTCP ACC;FEM;N;SG FEM;GEN;PROPN;SG _ GEN;MASC;PROPN;SG CONJ FEM;GEN;PROPN;SG _ MASC;N;NOM;SG CONJ CONJ 3;PL;PRS;V ACC;NEUT;PRO;SG FEM;PL;V;V.PTCP CONJ ADJ;DEF;FEM;NOM;PL FEM;N;NOM;PL _
grčka je zabeležila porast nivoa siromaštva kao rezultat globalne finansijske krize i budžetskog sloma zemlje .	grčka biti zabeležiti porast nivo siromaštvo kao rezultat globalan finansijski kriza i budžetski slom zemlja .	FEM;NOM;PROPN;SG 3;PRS;SG;V FEM;SG;V;V.PTCP ACC;INAN;MASC;N;SG GEN;MASC;N;SG GEN;N;NEUT;SG CONJ MASC;N;NOM;SG ADJ;DEF;FEM;GEN;SG ADJ;DEF;FEM;GEN;SG FEM;GEN;N;SG CONJ ADJ;DEF;GEN;MASC;SG GEN;MASC;N;SG FEM;GEN;N;SG _
grčka otvorila novi muzej akropolja	grčka otvoriti nov muzej akropolj	FEM;NOM;PROPN;SG FEM;SG;V;V.PTCP ACC;ADJ;DEF;INAN;MASC;SG ACC;INAN;MASC;N;SG GEN;NEUT;PROPN;SG
balkanske nevladine organizacije najavile zajedničku regionalnu inicijativu letnje škole	balkanski nevladin organizacija najaviti zajednički regionalan inicijativa letnji škola	ADJ;DEF;FEM;NOM;PL ADJ;DEF;FEM;NOM;PL FEM;N;NOM;PL FEM;PL;V;V.PTCP ACC;ADJ;DEF;FEM;SG ACC;ADJ;DEF;FEM;SG ACC;FEM;N;SG ADJ;DEF;FEM;GEN;SG FEM;GEN;N;SG
vlasti su u ponedeljak počele da pružaju pomoć porodicima koje su ostale bez svojih domova , kako bi im pomogle da pokriju bar deo gubitaka .	vlast biti u ponedeljak početi da pružati pomoć porodica koji biti ostati bez svoj dom , kako biti oni pomoći da pokriti bar deo gubitak .	FEM;N;NOM;PL 3;PL;PRS;V ACC;ADP ACC;INAN;MASC;N;SG FEM;PL;V;V.PTCP CONJ 3;PL;PRS;V ACC;FEM;N;SG DAT;FEM;N;PL FEM;NOM;PL;PRO 3;PL;PRS;V FEM;PL;V;V.PTCP ADP;GEN GEN;MASC;PL;PRO;REFL GEN;MASC;N;PL _ CONJ 3;PL;PST;V 3;DAT;PL;PRO FEM;PL;V;V.PTCP CONJ 3;PL;PRS;V ADV ACC;INAN;MASC;N;SG GEN;MASC;N;PL _
