trkotali , sŕkali med a zapíjali ho pálenkou !	trkotať , sŕkať med a zapíjať on pálenka !	ANIM;IPFV;MASC;PL;POS;PST;V;V.PTCP _ ANIM;IPFV;MASC;PL;POS;PST;V;V.PTCP ACC;INAN;MASC;N;SG CONJ ANIM;IPFV;MASC;PL;POS;PST;V;V.PTCP 3;ACC;INAN;MASC;PRO;SG FEM;INS;N;SG _
ale dlho ho potrebovať nebudeš , “ vraví pavúk karkoško .	ale dlho on potrebovať byť , “ vravieť pavúk karkoško .	PART ADV 3;ACC;INAN;MASC;PRO;SG IPFV;NFIN;POS;V 2;FIN;FUT;IND;IPFV;NEG;SG;V _ _ 3;FIN;IND;IPFV;POS;PRS;SG;V ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG _
skladal sa z dvoch odlišných častí .	skladať sa z dva odlišný časť .	INAN;IPFV;MASC;POS;PST;SG;V;V.PTCP PRO;REFL ADP;GEN FEM;GEN;NUM;PL ADJ;FEM;GEN;PL FEM;GEN;N;PL _
príklady eletrolýzy	príklad eletrolýzy	INAN;MASC;N;NOM;PL FEM;GEN;N;SG
telo má zdravé a silné .	telo mať zdravý a silný .	ACC;N;NEUT;SG 3;FIN;IND;IPFV;POS;PRS;SG;V ACC;ADJ;NEUT;SG CONJ ACC;ADJ;NEUT;SG _
nereagovala .	reagovať .	FEM;NEG;PST;SG;V;V.PTCP;{IPFV/PFV} _
nechýbali vrúcne kontakty , dlhé lúčenie a pozvanie na ďalšie stretnutie .	chýbať vrúcny kontakt , dlhý lúčenie a pozvanie na ďalší stretnutie .	INAN;IPFV;MASC;NEG;PL;PST;V;V.PTCP ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL _ ADJ;NEUT;NOM;SG N;NEUT;NOM;SG CONJ N;NEUT;NOM;SG ACC;ADP ACC;ADJ;NEUT;SG ACC;N;NEUT;SG _
“ ty , “ odvetil .	“ ty , “ odvetiť .	_ 2;NOM;PRO;SG _ _ ANIM;MASC;PFV;POS;PST;SG;V;V.PTCP _
“ z nás sa nikdy nestanú piráti , “ hrdo vyhlásila wendy .	“ z my sa nikdy stať pirát , “ hrdo vyhlásiť wendy .	_ ADP;GEN 1;GEN;PL;PRO PRO;REFL ADV 3;FIN;IND;NEG;PFV;PL;PRS;V ANIM;MASC;N;NOM;PL _ _ ADV FEM;PFV;POS;PST;SG;V;V.PTCP FEM;NOM;PROPN;SG _
spee a hon na čarodejnice	spee a hon na čarodejnica	ANIM;MASC;NOM;PROPN;SG CONJ INAN;MASC;N;NOM;SG ACC;ADP ACC;FEM;N;PL
v škole ich privítala pani učiteľka .	v škola ono privítať pani učiteľka .	ADP;ESS ESS;FEM;N;SG 3;ACC;NEUT;PL;PRO FEM;PFV;POS;PST;SG;V;V.PTCP FEM;N;NOM;SG FEM;N;NOM;SG _
škorpión 24 . 10 . - 22 . 11 .	škorpión 24 . 10 . - 22 . 11 .	ANIM;MASC;N;NOM;SG NUM _ NUM _ _ NUM _ NUM _
zebríčaťu sa nesmierne páčilo , keď mu prečesávala hrivu .	zebríča sa nesmierne páčiť , keď ono prečesávať hriva .	DAT;N;NEUT;SG PRO;REFL ADV IPFV;NEUT;POS;PST;SG;V;V.PTCP _ CONJ 3;DAT;NEUT;PRO;SG FEM;IPFV;POS;PST;SG;V;V.PTCP ACC;FEM;N;SG _
