saj veste , da imajo tablete le prehoden učinek , sami pa potrebujete nekaj , kar vas bo poživilo za dalj časa .	saj vedeti , da imeti tableta le prehoden učinek , sam pa potrebovati nekaj , kar ti biti poživiti za dolgo čas .	CONJ 2;FIN;IND;IPFV;PL;PRS;V _ CONJ 3;FIN;IND;IPFV;PL;POS;PRS;V FEM;N;NOM;PL PART ACC;ADJ;INDF;MASC;SG ACC;INAN;MASC;N;SG _ ADJ;MASC;NOM;PL CONJ 2;FIN;IND;IPFV;PL;PRS;V ACC;NEUT;PRO;SG _ ACC;NEUT;PRO;SG 2;ACC;PL;PRO 3;FIN;FUT;IND;POS;SG;V NEUT;PFV;SG;V;V.PTCP ADP;GEN ADV;CMPR GEN;MASC;N;SG _
po drugi strani pa ne morem reči , da ni bilo nič narejeno ali pa da je bilo vse slabo .	po drug stran pa ne moči reči , da biti biti nič narejen ali pa da biti biti ves slab .	ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;N;SG CONJ NEG;PART 1;FIN;IND;IPFV;PRS;SG;V NFIN;PFV;V _ CONJ 3;FIN;IND;NEG;PRS;SG;V NEUT;SG;V;V.PTCP NEUT;NOM;PRO;SG ADJ;NEUT;NOM;SG;V.PTCP CONJ CONJ CONJ 3;FIN;IND;POS;PRS;SG;V NEUT;SG;V;V.PTCP DET;NEUT;NOM;SG ADJ;NEUT;NOM;SG _
sedaj bi morali poznati razliko med strežniškimi in odjemalskimi zemljevidi in vedeti , kateri so na voljo v katerih brskalnikih .	sedaj biti morati poznati razlika med strežniški in odjemalski zemljevid in vedeti , kateri biti na volja v kateri brskalnik .	ADV COND;FIN;V IPFV;MASC;PL;V;V.PTCP IPFV;NFIN;V ACC;FEM;N;SG ADP;INS ADJ;INS;MASC;PL CONJ ADJ;INS;MASC;PL INS;MASC;N;PL CONJ IPFV;NFIN;V _ DET;MASC;NOM;PL 3;FIN;IND;PL;POS;PRS;V ACC;ADP ACC;FEM;N;SG ADP;ESS DET;ESS;MASC;PL ESS;MASC;N;PL _
trajalo je sicer nekaj ur , da sem dojel , kaj se mi je primerilo - ampak potem se je znenada pojavilo ogorčenje .	trajati biti sicer nekaj ura , da biti dojeti , kaj se jaz biti primeriti - ampak potem se biti znenada pojaviti ogorčenje .	IPFV;NEUT;SG;V;V.PTCP 3;FIN;IND;POS;PRS;SG;V PART DET FEM;GEN;N;PL _ CONJ 1;FIN;IND;POS;PRS;SG;V MASC;PFV;SG;V;V.PTCP _ ACC;NEUT;PRO;SG PRO;REFL 1;DAT;PRO;SG 3;FIN;IND;POS;PRS;SG;V NEUT;PFV;SG;V;V.PTCP _ CONJ ADV PRO;REFL 3;FIN;IND;POS;PRS;SG;V ADV NEUT;PFV;SG;V;V.PTCP N;NEUT;NOM;SG _
mislim , da se vsi strinjamo , da če to država odstopi , poveča .	misliti , da se ves strinjati , da če ta država odstopiti , povečati .	1;FIN;IND;IPFV;PRS;SG;V _ CONJ PRO;REFL DET;MASC;NOM;PL 1;FIN;IND;IPFV;PL;PRS;V _ CONJ CONJ ACC;DET;NEUT;SG FEM;N;NOM;SG 3;FIN;IND;PFV;PRS;SG;V _ 3;FIN;IND;PFV;PRS;SG;V _
vsaj mami je menila tako .	vsaj mami biti meniti tako .	PART FEM;N;NOM;SG 3;FIN;IND;POS;PRS;SG;V FEM;IPFV;SG;V;V.PTCP ADV _
rezultat referendumov so po besedah vodje poslancev desus ivana kebriča v stranki pričakovali .	rezultat referendum biti po beseda vodja poslanec desus ivan kebrič v stranka pričakovati .	ACC;INAN;MASC;N;SG GEN;MASC;N;PL 3;FIN;IND;PL;POS;PRS;V ADP;ESS ESS;FEM;N;PL GEN;MASC;N;SG GEN;MASC;N;PL MASC;NOM;PROPN;SG GEN;MASC;PROPN;SG GEN;MASC;PROPN;SG ADP;ESS ESS;FEM;N;SG IPFV;MASC;PL;V;V.PTCP _
» resnica je kot sončni žarek .	» resnica biti kot sončen žarek .	_ FEM;N;NOM;SG 3;FIN;IND;POS;PRS;SG;V CONJ ADJ;DEF;MASC;NOM;SG MASC;N;NOM;SG _
najbolj lahko tehnični dediščini pomaga ozaveščena javnost .	najbolj lahko tehničen dediščina pomagati ozaveščen javnost .	ADV;RL ADV ADJ;DAT;FEM;SG DAT;FEM;N;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG;V.PTCP FEM;N;NOM;SG _
pa vendar je arhitekt izračunal razdaljo med kolonami glede na velikost človeških ramen .	pa vendar biti arhitekt izračunati razdalja med kolona glede na velikost človeški rame .	CONJ CONJ 3;FIN;IND;POS;PRS;SG;V MASC;N;NOM;SG MASC;PFV;SG;V;V.PTCP ACC;FEM;N;SG ADP;INS FEM;INS;N;PL ADV ACC;ADP ACC;FEM;N;SG ADJ;GEN;NEUT;PL GEN;N;NEUT;PL _
pa če kdo spi sto ur na dan !	pa če kdo spati sto ura na dan !	CONJ CONJ MASC;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;NUM;PL FEM;GEN;N;PL ACC;ADP ACC;INAN;MASC;N;SG _
in tudi ob hranjenju nedvomno nekaj vode konča v ribjem želodcu .	in tudi ob hranjenje nedvomno nekaj voda končati v ribji želodec .	CONJ PART ADP;ESS ESS;N;NEUT;SG ADV DET FEM;GEN;N;SG 3;FIN;IND;PFV;PRS;SG;V ADP;ESS ADJ;ESS;MASC;SG ESS;MASC;N;SG _
zaradi racionalnosti se nam zdi upravičeno , da bi lahko prišlo do zamenjave državnih gozdov z gozdovi v zasebni lastnini , kadar državni gozdovi ležijo kot osredki med gozdovi privatne sfere , z namenom , da bi tako racionalneje organizirali gospodarjenje z njimi .	zaradi racionalnost se jaz zdeti upravičen , da biti lahko priti do zamenjava državen gozd z gozd v zaseben lastnina , kadar državen gozd ležati kot osredek med gozd privaten sfera , z namen , da biti tako racionalno organizirati gospodarjenje z on .	ADP;GEN FEM;GEN;N;SG PRO;REFL 1;DAT;PL;PRO 3;FIN;IND;IPFV;PRS;SG;V ADJ;NEUT;NOM;SG;V.PTCP _ CONJ COND;FIN;V ADV NEUT;PFV;SG;V;V.PTCP ADP;GEN FEM;GEN;N;SG ADJ;GEN;MASC;PL GEN;MASC;N;PL ADP;INS INS;MASC;N;PL ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;N;SG _ CONJ ADJ;MASC;NOM;PL MASC;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V CONJ MASC;N;NOM;PL ADP;INS INS;MASC;N;PL ADJ;FEM;GEN;SG FEM;GEN;N;SG _ ADP;INS INS;MASC;N;SG _ CONJ COND;FIN;V ADV ADV;CMPR MASC;PL;V;V.PTCP ACC;N;NEUT;SG ADP;INS 3;INS;MASC;PL;PRO _
trampolin in vlakec pa naj uporabljajo vsi mali obiskovalci ali pa vse skupaj preprosto umaknite .	trampolin in vlakec pa naj uporabljati ves mali obiskovalec ali pa ves skupaj preprosto umakniti .	ACC;INAN;MASC;N;SG CONJ ACC;INAN;MASC;N;SG CONJ PART 3;FIN;IND;IPFV;PL;PRS;V DET;MASC;NOM;PL ADJ;MASC;NOM;PL MASC;N;NOM;PL CONJ CONJ ACC;DET;NEUT;SG ADV ADV 2;FIN;IMP;PFV;PL;V _
širil se je in se v orjaških obročih vrtinčil pod nebo .	širiti se biti in se v orjaški obroč vrtinčiti pod nebo .	IPFV;MASC;SG;V;V.PTCP PRO;REFL 3;FIN;IND;POS;PRS;SG;V CONJ PRO;REFL ADP;ESS ADJ;ESS;MASC;PL ESS;MASC;N;PL IPFV;MASC;SG;V;V.PTCP ACC;ADP ACC;N;NEUT;SG _
v evropi se rodi z razcepljeno ustnico in razcepljenim nebom vsak 500. otrok .	v evropa se roditi z razcepljen ustnica in razcepljen nebo vsak 500. otrok .	ADP;ESS ESS;FEM;PROPN;SG PRO;REFL 3;FIN;IND;PRS;SG;V ADP;INS ADJ;FEM;INS;SG;V.PTCP FEM;INS;N;SG CONJ ADJ;INS;NEUT;SG;V.PTCP INS;N;NEUT;SG DET;MASC;NOM;SG NUM MASC;N;NOM;SG _
če je bog lahko trdil , da je " tisti , ki je " , bi se lahko človek nasprotno definiral kot " tisti , ki ni " .	če biti bog lahko trditi , da biti " tisti , ki biti " , biti se lahko človek nasprotno definirati kot " tisti , ki biti " .	CONJ 3;FIN;IND;POS;PRS;SG;V MASC;N;NOM;SG ADV IPFV;MASC;SG;V;V.PTCP _ CONJ 3;FIN;IND;POS;PRS;SG;V _ DET;MASC;NOM;SG _ CONJ 3;FIN;IND;POS;PRS;SG;V _ _ COND;FIN;V PRO;REFL ADV MASC;N;NOM;SG ADV MASC;SG;V;V.PTCP CONJ _ DET;MASC;NOM;SG _ CONJ 3;FIN;IND;NEG;PRS;SG;V _ _
levine si je oddahnil in pogledal dol , proti diegu , ki je bil kakih šest metrov pod njim v steni .	levine se biti oddahniti in pogledati dol , proti diego , ki biti biti kak šest meter pod on v stena .	MASC;NOM;PROPN;SG DAT;PRO;REFL 3;FIN;IND;POS;PRS;SG;V MASC;PFV;SG;V;V.PTCP CONJ MASC;PFV;SG;V;V.PTCP ADV _ ADP;DAT DAT;MASC;PROPN;SG _ CONJ 3;FIN;IND;POS;PRS;SG;V MASC;SG;V;V.PTCP DET;GEN;MASC;PL ACC;NUM;PL GEN;MASC;N;PL ADP;INS 3;INS;MASC;PRO;SG ADP;ESS ESS;FEM;N;SG _
janez : ste kdaj pomislili , kako bi bilo , če bi v njem živeli ?	janez : biti kdaj pomisliti , kako biti biti , če biti v on živeti ?	MASC;NOM;PROPN;SG _ 2;FIN;IND;PL;POS;PRS;V ADV MASC;PFV;PL;V;V.PTCP _ ADV COND;FIN;V NEUT;SG;V;V.PTCP _ CONJ COND;FIN;V ADP;ESS 3;ESS;MASC;PRO;SG IPFV;MASC;PL;V;V.PTCP _
to je popoln poraz nekega koncepta , popoln poraz vseh nas .	ta biti popoln poraz nek koncept , popoln poraz ves jaz .	DET;NEUT;NOM;SG 3;FIN;IND;POS;PRS;SG;V ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG DET;GEN;MASC;SG GEN;MASC;N;SG _ ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG DET;GEN;MASC;PL 1;GEN;PL;PRO _
tretje mesto je zanesljivo ostalo capirossiju , ostali pa so precej zaostali .	tretji mesto biti zanesljivo ostati capirossi , ostal pa biti precej zaostati .	ADJ;NEUT;NOM;SG N;NEUT;NOM;SG 3;FIN;IND;POS;PRS;SG;V ADV NEUT;PFV;SG;V;V.PTCP DAT;MASC;PROPN;SG _ ADJ;MASC;NOM;PL;V.PTCP CONJ 3;FIN;IND;PL;POS;PRS;V ADV MASC;PFV;PL;V;V.PTCP _
