si ti lahko misliš veš ker to otrok ne premišlja ker te teža naprej potegne ne	se ti lahko misliti vedeti ker ta otrok ne premišljati ker ti teža naprej potegniti ne	DAT;PRO 2;NOM;PRO;SG ADV 2;FIN;IND;IPFV;PRS;SG;V 2;FIN;IND;IPFV;PRS;SG;V CONJ DET;NEUT;NOM;SG MASC;N;NOM;SG NEG;PART 3;FIN;IND;IPFV;PRS;SG;V CONJ 2;ACC;PRO;SG FEM;N;NOM;SG ADV 3;FIN;IND;PFV;PRS;SG;V PART
ja	ja	PART
midva z dimom se pravi z dimitrijem ruplom sva bila pa najbolj izpostavljena v tistem času ko je izšla sedeminpetdeseta številka nove revije in to je vzbudilo v celi jugoslaviji cel cirkus	jaz z dim se praviti z dimitrij rupel biti biti pa najbolj izpostavljen v tisti čas ko biti iziti sedeminpetdeseti številka nov revija in ta biti vzbuditi v cel jugoslavija cel cirkus	1;DU;MASC;NOM;PRO ADP;INS INS;MASC;PROPN;SG PRO 3;FIN;IND;PRS;SG;V ADP;INS INS;MASC;PROPN;SG INS;MASC;PROPN;SG 1;DU;FIN;IND;POS;PRS;V DU;MASC;V;V.PTCP CONJ ADV;RL ADJ;FEM;NOM;SG;V.PTCP ADP;ESS DET;ESS;MASC;SG ESS;MASC;N;SG CONJ 3;FIN;IND;POS;PRS;SG;V FEM;PFV;SG;V;V.PTCP ADJ;FEM;NOM;SG FEM;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG CONJ DET;NEUT;NOM;SG 3;FIN;IND;POS;PRS;SG;V NEUT;PFV;SG;V;V.PTCP ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;PROPN;SG ACC;ADJ;INDF;MASC;SG ACC;INAN;MASC;N;SG
ja dober jabolčnik je iz	ja dober jabolčnik biti iz	PART ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG 3;FIN;IND;POS;PRS;SG;V ADP;GEN
ha ... ja ja ja ja ja ... pekel in pripravljal tam sproti [gap] mhm ja	ha … ja ja ja ja ja … peči in pripravljati tam sproti [gap] mhm ja	INTJ _ PART PART PART PART PART _ IPFV;MASC;SG;V;V.PTCP CONJ IPFV;MASC;SG;V;V.PTCP ADV ADV _ INTJ PART
ja zdaj n [gap] pravijo da bo še nekaj menda država dala ali kaj ne	ja zdaj _ [gap] praviti da biti še nekaj menda država dati ali kaj ne	PART ADV _ _ 3;FIN;IND;PL;PRS;V CONJ 3;FIN;FUT;IND;POS;SG;V PART ACC;DET;NEUT;SG PART FEM;N;NOM;SG FEM;PFV;SG;V;V.PTCP CONJ NEUT;NOM;PRO;SG PART
v nadaljevanju stroški državne uprave so se povečali ne zmanjšali kar je bila osnovna obljuba izpred štirih let in tako imenovana zmagovalna obljuba gospoda [name:personal] [name:surname]	v nadaljevanje strošek državen uprava biti se povečati ne zmanjšati kar biti biti osnoven obljuba izpred štirje leto in tako imenovan zmagovalen obljuba gospod [name:personal] [name:surname]	ADP;ESS ESS;N;NEUT;SG MASC;N;NOM;PL ADJ;FEM;GEN;SG FEM;GEN;N;SG 3;FIN;IND;PL;POS;PRS;V PRO MASC;PFV;PL;V;V.PTCP PART MASC;PFV;PL;V;V.PTCP NEUT;NOM;PRO;SG 3;FIN;IND;POS;PRS;SG;V FEM;SG;V;V.PTCP ADJ;FEM;NOM;SG FEM;N;NOM;SG ADP;GEN GEN;NEUT;NUM;PL GEN;N;NEUT;PL CONJ ADV ADJ;FEM;NOM;SG;V.PTCP ADJ;FEM;NOM;SG FEM;N;NOM;SG GEN;MASC;N;SG PROPN PROPN
pa te smo mi to ne znali kaj to ginazium ka v gimnazium hodi pa te smo to dolgo ne znali te oča so gučali ka naša [name:personal] v nazium hodi gimnazium tako ka sem jih poznal	pa te biti jaz ta ne znati kaj ta ginazium ka v gimnazium hoditi pa te biti ta dolgo ne znati te oča biti gučati ka naš [name:personal] v nazium hoditi gimnazium tako ka biti on poznati	CONJ ADV 1;FIN;IND;PL;POS;PRS;V 1;MASC;NOM;PL;PRO ACC;DET;NEUT;SG NEG;PART IPFV;MASC;PL;V;V.PTCP NEUT;NOM;PRO;SG DET;NEUT;NOM;SG MASC;N;NOM;SG CONJ ACC;ADP ACC;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V CONJ ADV 1;FIN;IND;PL;POS;PRS;V ACC;DET;NEUT;SG ADV NEG;PART IPFV;MASC;PL;V;V.PTCP ADV MASC;N;NOM;SG 3;FIN;IND;PL;POS;PRS;V IPFV;MASC;PL;V;V.PTCP CONJ 1;DET;FEM;NOM;PSSP;SG PROPN ACC;ADP ACC;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG ADV CONJ 1;FIN;IND;POS;PRS;SG;V 3;ACC;MASC;PL;PRO IPFV;MASC;SG;V;V.PTCP
v zrak	v zrak	ACC;ADP ACC;INAN;MASC;N;SG
to to je	ta ta biti	DET;NEUT;NOM;SG DET;NEUT;NOM;SG 3;FIN;IND;POS;PRS;SG;V
hoteli ste kupiti perzijsko preprogo	hoteti biti kupiti perzijski preproga	IPFV;MASC;PL;V;V.PTCP 2;FIN;IND;PL;POS;PRS;V NFIN;PFV;V ACC;ADJ;FEM;SG ACC;FEM;N;SG
petdeset zdaj ne ... ja zdaj smo nekaj ne so nam nekaj dopusta pobrali pa to ne	petdeset zdaj ne … ja zdaj biti nekaj ne biti jaz nekaj dopust pobrati pa ta ne	ACC;NUM;PL ADV PART _ PART ADV 1;FIN;IND;PL;POS;PRS;V DET PART 3;FIN;IND;PL;POS;PRS;V 1;DAT;PL;PRO DET GEN;MASC;N;SG MASC;PFV;PL;V;V.PTCP CONJ DET;NEUT;NOM;SG PART
ja res veš kaj je še one maske je imel ki se dajo čez usta veš [speaker:laughter]	ja res vedeti kaj biti še oni maska biti imeti ki se dati čez usta vedeti [speaker:laughter]	PART ADV 2;FIN;IND;IPFV;PRS;SG;V NEUT;NOM;PRO;SG 3;FIN;IND;POS;PRS;SG;V PART ACC;DET;FEM;PL ACC;FEM;N;PL 3;FIN;IND;POS;PRS;SG;V IPFV;MASC;SG;V;V.PTCP CONJ PRO 3;FIN;IND;PFV;PL;PRS;V ACC;ADP ACC;N;NEUT;PL 2;FIN;IND;IPFV;PRS;SG;V _
aha a utwo alora	aha a u2 alora	INTJ ADV MASC;NOM;PROPN;SG PART
ja ker jaz imam pa tak tudi debelo ono uro jekleno ne [gap]	ja ker jaz imeti pa tak tudi debel oni ura jeklen ne [gap]	PART CONJ 1;NOM;PRO;SG 1;FIN;IND;IPFV;POS;PRS;SG;V CONJ ACC;DET;MASC;SG PART ACC;ADJ;FEM;SG ACC;DET;FEM;SG ACC;FEM;N;SG ACC;ADJ;FEM;SG PART _
jasno dodan ima še slalom	jasno dodan imeti še slalom	ADV ADJ;INDF;MASC;NOM;SG;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V PART INAN;MASC;N;NOM;SG
[pause]	[pause]	_
[name:personal] [name:surname] je bila ?	[name:personal] [name:surname] biti biti ?	PROPN PROPN 3;FIN;IND;POS;PRS;SG;V FEM;SG;V;V.PTCP _
ja še spočit	ja še spočit	PART PART ADJ;INDF;MASC;NOM;SG;V.PTCP
topnost v vodi ja	topnost v voda ja	FEM;N;NOM;SG ADP;ESS ESS;FEM;N;SG PART
med glasnim trobljenjem je z avtom rinil tako daleč da je zapeljal v noge našega snemalca [incident] ojoj	med glasen trobljenje biti z avto riniti tako daleč da biti zapeljati v noga naš snemalec [incident] ojoj	ADP;INS ADJ;INS;NEUT;SG INS;N;NEUT;SG 3;FIN;IND;POS;PRS;SG;V ADP;INS INS;MASC;N;SG IPFV;MASC;SG;V;V.PTCP ADV ADV CONJ 3;FIN;IND;POS;PRS;SG;V MASC;PFV;SG;V;V.PTCP ACC;ADP ACC;FEM;N;PL 1;DET;GEN;MASC;PSSP;SG GEN;MASC;N;SG _ INTJ
ja zdaj ste se dotaknili ene teme ki je pravzaprav z [gap] letos zame postala aktualna	ja zdaj biti se dotakniti en tema ki biti pravzaprav _ [gap] letos zame postati aktualen	PART ADV 2;FIN;IND;PL;POS;PRS;V PRO MASC;PFV;PL;V;V.PTCP FEM;GEN;NUM;SG FEM;GEN;N;SG CONJ 3;FIN;IND;POS;PRS;SG;V PART _ _ ADV 1;ACC;PRO;SG FEM;PFV;SG;V;V.PTCP ADJ;FEM;NOM;SG
pa je števanovce v krčmi mojemu očetu tja pravil ka v kakšno navoljo je pa ga je moj oče skril	pa biti števanovci v krčma moj oče tja pravilo ka v kakšen navolja biti pa on biti moj oče skriti	CONJ 3;FIN;IND;POS;PRS;SG;V ACC;MASC;PL;PROPN ADP;ESS ESS;FEM;N;SG 1;DAT;DET;MASC;PSSS;SG DAT;MASC;N;SG ADV GEN;N;NEUT;PL CONJ ACC;ADP ACC;DET;FEM;SG ACC;FEM;N;SG 3;FIN;IND;POS;PRS;SG;V CONJ 3;ACC;MASC;PRO;SG 3;FIN;IND;POS;PRS;SG;V 1;DET;MASC;NOM;PSSS;SG MASC;N;NOM;SG MASC;PFV;SG;V;V.PTCP
sta si to izmislila to ime	biti se ta izmisliti ta ime	3;DU;FIN;IND;POS;PRS;V DAT;PRO ACC;DET;NEUT;SG DU;MASC;PFV;V;V.PTCP ACC;DET;NEUT;SG ACC;N;NEUT;SG
aha	aha	INTJ
v redu to	v red ta	ADP;ESS ESS;MASC;N;SG DET;NEUT;NOM;SG
[gap] eee	[gap] eee	_ INTJ
enako ... ja hvala čao	enako … ja hvala čao	ADV _ PART FEM;N;NOM;SG INTJ
[:voice] no po gimnaziji si si zelo želela iti na potovanje po španiji	[:voice] no po gimnazija biti se zelo želeti iti na potovanje po španija	_ PART ADP;ESS ESS;FEM;N;SG 2;FIN;IND;POS;PRS;SG;V DAT;PRO ADV FEM;IPFV;SG;V;V.PTCP NFIN;V ACC;ADP ACC;N;NEUT;SG ADP;ESS ESS;FEM;PROPN;SG
vam bom takoj vam bom povedal ja v to so povezave ja ampak bova videla bova en pojem našla	ti biti takoj ti biti povedati ja v ta biti povezava ja ampak biti videti biti en pojem najti	2;DAT;PL;PRO 1;FIN;FUT;IND;POS;SG;V ADV 2;DAT;PL;PRO 1;FIN;FUT;IND;POS;SG;V MASC;PFV;SG;V;V.PTCP PART ACC;ADP DET;NEUT;NOM;SG 3;FIN;IND;PL;POS;PRS;V FEM;N;NOM;PL PART CONJ 1;DU;FIN;FUT;IND;POS;V DU;MASC;V;V.PTCP 1;DU;FIN;FUT;IND;POS;V ACC;MASC;NUM;SG ACC;INAN;MASC;N;SG DU;MASC;PFV;V;V.PTCP
in eee nič in pol en smo eee smo smo rekli zdaj se ne obrnemo več gremo hitro domov	in eee nič in pol en biti eee biti biti reči zdaj se ne obrniti več iti hitro domov	CONJ INTJ ADV CONJ ADV MASC;NOM;NUM;SG 1;FIN;IND;PL;POS;PRS;V INTJ 1;FIN;IND;PL;POS;PRS;V 1;FIN;IND;PL;POS;PRS;V MASC;PFV;PL;V;V.PTCP ADV PRO NEG;PART 1;FIN;IND;PFV;PL;PRS;V PART 1;FIN;IMP;PL;V ADV ADV
makroekonomske analize	makroekonomski analiza	ACC;ADJ;FEM;PL ACC;FEM;N;PL
jaz sem danes pozabil zvezke doma ker sem mislil da pišemo to o ronji	jaz biti danes pozabiti zvezek doma ker biti misliti da pisati ta o ronja	1;NOM;PRO;SG 1;FIN;IND;POS;PRS;SG;V ADV MASC;PFV;SG;V;V.PTCP ACC;MASC;N;PL ADV CONJ 1;FIN;IND;POS;PRS;SG;V IPFV;MASC;SG;V;V.PTCP CONJ 1;FIN;IND;IPFV;PL;PRS;V ACC;DET;NEUT;SG ADP;ESS ESS;FEM;PROPN;SG
zahrobska je na tretjem mestu	zahrobska biti na tretji mesto	FEM;NOM;PROPN;SG 3;FIN;IND;POS;PRS;SG;V ADP;ESS ADJ;ESS;NEUT;SG ESS;N;NEUT;SG
medaljo za hrabrost je dobil tudi občan [name:personal] [name:surname] ki je priskočil na pomoč v prometni nesreči in iz gorečega tovornjaka prav tako rešil nezavestnega voznika	medalja za hrabrost biti dobiti tudi občan [name:personal] [name:surname] ki biti priskočiti na pomoč v prometen nesreča in iz goreč tovornjak prav tako rešiti nezavesten voznik	ACC;FEM;N;SG ACC;ADP ACC;FEM;N;SG 3;FIN;IND;POS;PRS;SG;V MASC;PFV;SG;V;V.PTCP PART MASC;N;NOM;SG PROPN PROPN CONJ 3;FIN;IND;POS;PRS;SG;V MASC;PFV;SG;V;V.PTCP ACC;ADP ACC;FEM;N;SG ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;N;SG CONJ ADP;GEN ADJ;GEN;MASC;SG;V.PTCP GEN;MASC;N;SG PART ADV MASC;PFV;SG;V;V.PTCP ACC;ADJ;MASC;SG ACC;ANIM;MASC;N;SG
lahko pa da nikoli ne	lahko pa da nikoli ne	ADV CONJ CONJ ADV PART
ni prav da samo eden dobi nagrade in da je samo d [gap] eden bogatejši od soseda zato pa imate na voljo kikiriki vsak dan	biti prav da samo eden dobiti nagrada in da biti samo _ [gap] eden bogat od sosed zato pa imeti na volja kikiriki vsak dan	3;FIN;IND;NEG;PRS;SG;V ADV CONJ PART MASC;NOM;NUM;SG 3;FIN;IND;PFV;PRS;SG;V ACC;FEM;N;PL CONJ CONJ 3;FIN;IND;POS;PRS;SG;V PART _ _ MASC;NOM;NUM;SG ADJ;CMPR;MASC;NOM;PL ADP;GEN GEN;MASC;N;SG CONJ CONJ 2;FIN;IND;IPFV;PL;POS;PRS;V ACC;ADP ACC;FEM;N;SG ACC;INAN;MASC;N;SG ACC;DET;MASC;SG ACC;INAN;MASC;N;SG
ful dobro si se znašel	ful dobro biti se znajti	ADV ADV 2;FIN;IND;POS;PRS;SG;V PRO MASC;PFV;SG;V;V.PTCP
onadva	on	3;DU;MASC;NOM;PRO
devet dva	devet dva	NOM;NUM;PL DU;MASC;NOM;NUM
mm	mm	INTJ
ej ne moreš verjeti	ej ne moči verjeti	INTJ NEG;PART 2;FIN;IND;IPFV;PRS;SG;V NFIN;V
smo pred uradno predstavitvijo pač eee leta dva tisoč mmm devet v anton podbevšek teatru in ta uradna predstavitev je čez pravzaprav dva dni v sredo	biti pred uraden predstavitev pač eee leto dva tisoč mmm devet v anton podbevšek teater in ta uraden predstavitev biti čez pravzaprav dva dan v sreda	1;FIN;IND;PL;POS;PRS;V ADP;INS ADJ;FEM;INS;SG FEM;INS;N;SG PART INTJ GEN;N;NEUT;SG DU;MASC;NOM;NUM NOM;NUM;PL INTJ NOM;NUM;PL ACC;ADP MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG ESS;MASC;N;SG CONJ DET;FEM;NOM;SG ADJ;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;POS;PRS;SG;V ACC;ADP PART ACC;DU;MASC;NUM ACC;DU;MASC;N ACC;ADP ACC;FEM;N;SG
ja to pa bova z [gap]	ja ta pa biti _ [gap]	PART ACC;DET;NEUT;SG CONJ 1;DU;FIN;FUT;IND;POS;V _ _
prva druga in tretja skupina	prvi drug in tretji skupina	ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG CONJ ADJ;FEM;NOM;SG FEM;N;NOM;SG
ja saj	ja saj	PART CONJ
pa tudi ne ?	pa tudi ne ?	CONJ PART PART _
za njih čas teče drugače kot za nas	za on čas teči drugače kot za jaz	ACC;ADP 3;ACC;MASC;PL;PRO MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADV CONJ ACC;ADP 1;ACC;PL;PRO
te bi pa petek	te biti pa petek	ADV COND;FIN;V CONJ ACC;INAN;MASC;N;SG
[pause]	[pause]	_
[pause]	[pause]	_
daj no eee naše dva sta šla pred enim štirinajstimi dnevi ampak takrat še ni bilo tako	dati no eee naš dva biti iti pred en štirinajst dan ampak takrat še biti biti tako	2;FIN;IMP;PFV;SG;V PART INTJ 1;DET;NEUT;NOM;PSSP;SG DU;MASC;NOM;NUM 3;DU;FIN;IND;POS;PRS;V DU;MASC;V;V.PTCP ADP;INS INS;MASC;NUM;SG INS;NUM;PL INS;MASC;N;PL CONJ ADV PART 3;FIN;IND;NEG;PRS;SG;V NEUT;SG;V;V.PTCP ADV
je ene štir [gap] ene š [gap] štirideset	je ene _ [gap] ene _ [gap] štirideset	INTJ ADV _ _ ADV _ _ NOM;NUM;PL
kaj pa to ?	kaj pa ta ?	NEUT;NOM;PRO;SG CONJ DET;NEUT;NOM;SG _
eee hrvaški predsednik stipe mesič je rekel da so med drugo svetovno vojno istro vse do trsta osvojili hrvaški partizani in da bi morala biti slovenija hvaležna saj bi sicer gledala na morje z oddaljenosti dvajsetih kilometrov	eee hrvaški predsednik stipe mesič biti reči da biti med drug svetoven vojna istra vse do trst osvojiti hrvaški partizan in da biti morati biti slovenija hvaležen saj biti sicer gledati na morje z oddaljenost dvajset kilometer	INTJ ADJ;DEF;MASC;NOM;SG MASC;N;NOM;SG MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG 3;FIN;IND;POS;PRS;SG;V MASC;PFV;SG;V;V.PTCP CONJ 3;FIN;IND;PL;POS;PRS;V ADP;INS ADJ;FEM;INS;SG ADJ;FEM;INS;SG FEM;INS;N;SG ACC;FEM;PROPN;SG ADV ADP;GEN GEN;MASC;PROPN;SG MASC;PFV;PL;V;V.PTCP ADJ;MASC;NOM;PL MASC;N;NOM;PL CONJ CONJ COND;FIN;V FEM;IPFV;SG;V;V.PTCP NFIN;V FEM;NOM;PROPN;SG ADJ;FEM;NOM;SG CONJ COND;FIN;V PART FEM;IPFV;SG;V;V.PTCP ACC;ADP ACC;N;NEUT;SG ADP;GEN FEM;GEN;N;SG GEN;NUM;PL GEN;MASC;N;PL
ja saj lahko s potrdilom pelješ ne	ja saj lahko z potrdilo peljati ne	PART CONJ ADV ADP;INS INS;N;NEUT;SG 2;FIN;IND;IPFV;PRS;SG;V PART
ja samo če bo ta ne [gap]	ja samo če biti ta ne [gap]	PART PART CONJ 3;FIN;FUT;IND;POS;SG;V DET;MASC;NOM;SG PART _
[pause]	[pause]	_
ej če eem kaj kaj sem mislil reči mislim da se s tem seminarjem gre v benetke tudi	ej če eem kaj kaj biti misliti reči misliti da se z ta seminar iti v benetke tudi	INTJ CONJ INTJ ACC;NEUT;PRO;SG ACC;NEUT;PRO;SG 1;FIN;IND;POS;PRS;SG;V IPFV;MASC;SG;V;V.PTCP NFIN;PFV;V 1;FIN;IND;IPFV;PRS;SG;V CONJ PRO ADP;INS DET;INS;MASC;SG INS;MASC;N;SG 3;FIN;IND;PRS;SG;V ACC;ADP ACC;FEM;PL;PROPN PART
slovenske ne	slovenski ne	ADJ;FEM;GEN;SG PART
veš ko že misliš da ga imaš [speaker:laughter]	vedeti ko že misliti da on imeti [speaker:laughter]	2;FIN;IND;IPFV;PRS;SG;V CONJ PART 2;FIN;IND;IPFV;PRS;SG;V CONJ 3;ACC;MASC;PRO;SG 2;FIN;IND;IPFV;POS;PRS;SG;V _
mislim kaj znaš kako je [gap] takšen je bil ej tako je visel samo pa tako vse [:voice]	misliti kaj znati kako biti [gap] takšen biti biti ej tako biti viseti samo pa tako vse [:voice]	1;FIN;IND;IPFV;PRS;SG;V NEUT;NOM;PRO;SG 2;FIN;IND;IPFV;PRS;SG;V ADV 3;FIN;IND;POS;PRS;SG;V _ DET;MASC;NOM;SG 3;FIN;IND;POS;PRS;SG;V MASC;SG;V;V.PTCP INTJ ADV 3;FIN;IND;POS;PRS;SG;V IPFV;MASC;SG;V;V.PTCP PART CONJ ADV ADV _
poljaki bodo naslednjo tekmo igrali s san marinom	poljak biti naslednji tekma igrati z san marino	MASC;NOM;PL;PROPN 3;FIN;FUT;IND;PL;POS;V ACC;ADJ;FEM;SG ACC;FEM;N;SG IPFV;MASC;PL;V;V.PTCP ADP;INS MASC;NOM;PROPN;SG INS;MASC;PROPN;SG
[gap] ja to boš pa pol j [gap] kam greš zdaj glej hočeš da redarje pokličem daj daj daj	[gap] ja ta biti pa pol _ [gap] kam iti zdaj gledati hoteti da redar poklicati dati dati dati	_ PART ACC;DET;NEUT;SG 2;FIN;FUT;IND;POS;SG;V CONJ ADV _ _ ADV 2;FIN;IND;PRS;SG;V ADV 2;FIN;IMP;IPFV;SG;V 2;FIN;IND;IPFV;POS;PRS;SG;V CONJ ACC;MASC;N;PL 1;FIN;IND;PFV;PRS;SG;V 2;FIN;IMP;PFV;SG;V 2;FIN;IMP;PFV;SG;V 2;FIN;IMP;PFV;SG;V
[pause]	[pause]	_
vaš komentar kaj pravzaprav vi eee o tem mmm menite kako ste videli nebesedno k [gap] komunikacijo ste pozorni na eem govorce pet jih je bilo kdo kako	vaš komentar kaj pravzaprav ti eee o ta mmm meniti kako biti videti nebeseden _ [gap] komunikacija biti pozoren na eem govorec pet on biti biti kdo kako	2;DET;MASC;NOM;PSSP;SG MASC;N;NOM;SG ACC;NEUT;PRO;SG PART 2;MASC;NOM;PL;PRO INTJ ADP;ESS DET;ESS;NEUT;SG INTJ 2;FIN;IND;IPFV;PL;PRS;V ADV 2;FIN;IND;PL;POS;PRS;V MASC;PL;V;V.PTCP ACC;ADJ;FEM;SG _ _ ACC;FEM;N;SG 2;FIN;IND;PL;POS;PRS;V ADJ;MASC;NOM;PL ACC;ADP INTJ ACC;MASC;N;PL NOM;NUM;PL 3;GEN;MASC;PL;PRO 3;FIN;IND;POS;PRS;SG;V NEUT;SG;V;V.PTCP MASC;NOM;PRO;SG ADV
[pause]	[pause]	_
ja	ja	PART
ostalo pa je šlo v firme pa v	ostal pa biti iti v firma pa v	ADJ;NEUT;NOM;SG;V.PTCP CONJ 3;FIN;IND;POS;PRS;SG;V NEUT;SG;V;V.PTCP ACC;ADP ACC;FEM;N;PL CONJ ACC;ADP
mi smo ti fovš [all:laughter]	jaz biti ti fovš [all:laughter]	1;MASC;NOM;PL;PRO 1;FIN;IND;PL;POS;PRS;V 2;DAT;PRO;SG ADJ;MASC;NOM;PL _
kar je prikazano na tej simulaciji je da imate na levi strani se pravi tukajle imate pogled opsala malo smo odjadrali	kar biti prikazan na ta simulacija biti da imeti na lev stran se praviti tukajle imeti pogled opsala malo biti odjadrati	NEUT;NOM;PRO;SG 3;FIN;IND;POS;PRS;SG;V ADJ;NEUT;NOM;SG;V.PTCP ADP;ESS DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;POS;PRS;SG;V CONJ 2;FIN;IND;IPFV;PL;POS;PRS;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;N;SG PRO 3;FIN;IND;PRS;SG;V ADV 2;FIN;IND;IPFV;PL;POS;PRS;V ACC;INAN;MASC;N;SG INTJ DET 1;FIN;IND;PL;POS;PRS;V MASC;PFV;PL;V;V.PTCP
ja	ja	PART
zaostala je precej več kot sekundo razočarana bo zagotovo s svojim nastopom	zaostati biti precej več kot sekunda razočaran biti zagotovo z svoj nastop	FEM;PFV;SG;V;V.PTCP 3;FIN;IND;POS;PRS;SG;V ADV DET CONJ ACC;FEM;N;SG ADJ;FEM;NOM;SG;V.PTCP 3;FIN;FUT;IND;POS;SG;V ADV ADP;INS DET;INS;MASC;SG INS;MASC;N;SG
[speaker:laughter] herman ja [audience:laughter] je bil pri njih doma ne pol pa je rekel d [gap] vem da pač ona ženska gor ne eee v njegova žena ne štiri ure gor na facebooku ne pa da [audience:laughter] ima poslikano bajto okoli in okoli ne	[speaker:laughter] herman ja [audience:laughter] biti biti pri on doma ne pol pa biti reči _ [gap] vedeti da pač oni ženska gor ne eee v njegov žena ne štirje ura gor na facebook ne pa da [audience:laughter] imeti poslikan bajta okoli in okoli ne	_ MASC;NOM;PROPN;SG PART _ 3;FIN;IND;POS;PRS;SG;V MASC;SG;V;V.PTCP ADP;ESS 3;ESS;MASC;PL;PRO ADV PART ADV CONJ 3;FIN;IND;POS;PRS;SG;V MASC;PFV;SG;V;V.PTCP _ _ 1;FIN;IND;IPFV;PRS;SG;V CONJ PART DET;FEM;NOM;SG FEM;N;NOM;SG ADV PART INTJ ADP;ESS 3;DET;FEM;NOM;PSSS;SG FEM;N;NOM;SG PART ACC;FEM;NUM;PL ACC;FEM;N;PL ADV ADP;ESS ESS;MASC;N;SG PART CONJ CONJ _ 3;FIN;IND;IPFV;POS;PRS;SG;V ACC;ADJ;FEM;SG;V.PTCP ACC;FEM;N;SG ADV CONJ ADV PART
tako da upam da da bo vse to se dalo izpeljat tako kot mislimo da bi se moralo	tako da upati da da biti ves ta se dati izpeljati tako kot misliti da biti se morati	CONJ CONJ 1;FIN;IND;IPFV;PRS;SG;V CONJ CONJ 3;FIN;FUT;IND;POS;SG;V DET;NEUT;NOM;SG DET;NEUT;NOM;SG PRO NEUT;PFV;SG;V;V.PTCP PFV;V;V.CVB ADV CONJ 1;FIN;IND;IPFV;PL;PRS;V CONJ COND;FIN;V PRO IPFV;NEUT;SG;V;V.PTCP
mini lesi se mu reče tudi ... ja ja	mini lassie se on reči tudi … ja ja	ADJ;DEF;MASC;NOM;SG MASC;NOM;PROPN;SG PRO 3;DAT;MASC;PRO;SG 3;FIN;IND;PFV;PRS;SG;V PART _ PART PART
mhm ... ja	mhm … ja	INTJ _ PART
[gap]	[gap]	_
dva	dva	DU;MASC;NOM;NUM
