nagluto na ng pagkain ang nanay .	luto na ng pagkain ang nanay .	IND;PFV;V ADV ADP;ERG N ABS;DEF;DET N;SG _
artista ang nagluto ng pagkain .	artista ang luto ng pagkain .	N;SG ABS;ADP IND;PFV;V ERG;PART N _
nasa kusina ang mesa .	nasa kusina ang mesa .	ADP;ESS N;SG ABS;DEF;DET N;SG _
yumaman ang babae .	yaman ang babae .	IND;PFV;V ABS;DEF;DET N;SG _
si juan ang bunso .	ang juan ang bunso .	ABS;DET;SG PROPN;SG DEF;DET N _
artista ang yumaman .	artista ang yaman .	N;SG ABS;DEF;DET IND;PFV;V _
binabasa ng diyaryo ang titser .	basa ng diyaryo ang titser .	IND;IPFV;V ADP;ERG N;SG ABS;DEF;DET N;SG _
bagong - bago ang bahay .	bago - bago ang bahay .	ADJ _ ADJ;RL ABS;DEF;DET N;SG _
binili ng mangingisda ang bangka .	bili ng mangingisda ang bangka .	IND;PFV;V ADP;ERG N;SG ABS;DEF;DET N;SG _
bago ang bahay .	bago ang bahay .	ADJ ABS;DEF;DET N;SG _
nagluto ng pagkain ang nanay .	luto ng pagkain ang nanay .	IND;PFV;V ADP;ERG N ABS;DEF;DET N;SG _
humihinga pa ang pasyente .	hinga pa ang pasyente .	IND;IPFV;V ADV ABS;DEF;DET N;SG _
sinalpok ng alon ang bangka .	salpok ng alon ang bangka .	IND;PFV;V ADP;ERG N ABS;DEF;DET N;SG _
binigyan ng titser ng premyo ang istudyante .	bigay ng titser ng premyo ang istudyante .	IND;PFV;V ADP;ERG N;SG ADP;ERG N;SG ABS;DEF;DET N;SG _
bumabasa ng diyaryo ang titser .	basa ng diyaryo ang titser .	IND;IPFV;V ADP;ERG N;SG ABS;DEF;DET N;SG _
gumising ang bata .	gising ang bata .	IND;PFV;V ABS;DEF;DET N;SG _
sa istudyante ang libro .	sa istudyante ang libro .	ADP;DAT N;SG ABS;DEF;DET N;SG _
magluluto ng pagkain ang nanay bukas .	luto ng pagkain ang nanay bukas .	IND;PROSP;V ADP;ERG N ABS;DEF;DET N;SG ADV _
biyudo ang maestro .	biyudo ang maestro .	MASC;N ABS;DEF;DET MASC;N _
isda ang pagkain niya .	isda ang pagkain ng .	N;SG ABS;DET;INDF N;SG ERG;PRO _
iyan ang bahay .	ang ang bahay .	PRO;SG DEF;DET N;SG _
ibinigay ng titser sa istudyante ang premyo .	bigay ng titser sa istudyante ang premyo .	IND;PFV;V ADP;ERG N;SG ADP;DAT N;SG ABS;DEF;DET N;SG _
nakita kita .	kita ang .	IND;PFV;V ABS;DU;PRO _
may gulayan ang babae .	may gulayan ang babae .	V N ABS;DEF;DET N;SG _
biyuda ang maestra .	biyuda ang maestra .	FEM;N ABS;DEF;DET FEM;N _
tumatanda ang aso .	magtanda ang aso .	IND;IPFV;V ABS;DEF;DET N;SG _
maganda ang babae .	ganda ang babae .	ADJ ABS;DEF;DET N;SG _
pagod ang bata .	pagod ang bata .	ADJ DEF;DET N;SG _
artista ang babae .	artista ang babae .	N;SG ABS;DEF;DET N;SG _
siya ang amerikano .	ang ang amerikano .	3;ABS;PRO;SG ABS;DEF;DET N;SG _
matamis ang kendi .	tamis ang kendi .	ADJ DEF;DET N;SG _
bato ang bahay .	bato ang bahay .	N;SG ABS;DEF;DET N;SG _
binalikan niya ang maynila .	balik ng ang maynila .	IND;PFV;V ERG;PRO ABS;DEF;DET PROPN _
mansanas ito .	mansanas ang .	N PRO;SG _
nagluto na ng pagkain ang nanay noong dumating ako .	luto na ng pagkain ang nanay nang dating ang .	IND;PFV;V ADV ADP;ERG N ABS;DEF;DET N;SG CONJ IND;PFV;V 1;ABS;PRO;SG _
isda ang paborito niya .	isda ang paborito ng .	N;SG ABS;DEF;DET N;SG ERG;PRO _
isda ang bakalaw .	isda ang bakalaw .	N;SG ABS;DEF;DET N;SG _
tinakasan niya ang bilangguan .	takas ng ang bilangguan .	IND;PFV;V ERG;PRO ABS;DEF;DET N;SG _
nauuhaw ang sanggol .	uhaw ang sanggol .	IND;IPFV;V ABS;DEF;DET N;SG _
kailangan ko ang kuwalta .	kailangan ko ang kuwalta .	HAB;IND;NFIN;V 1;ERG;PRO;SG ABS;DEF;DET N;SG _
hindi pa nagluluto ng pagkain ang nanay .	hindi pa luto ng pagkain ang nanay .	NEG;PART ADV IND;IPFV;V ADP;ERG N ABS;DEF;DET N;SG _
sinulatan ko ang titser .	sulat ng ang titser .	IND;PFV;V 1;ERG;PRO;SG ABS;DEF;DET N;SG _
nagluluto ng pagkain ang nanay araw - araw .	luto ng pagkain ang nanay araw - araw .	IND;IPFV;V ADP;ERG N ABS;DEF;DET N;SG ADV _ N;PL _
sumalpok sa bangka ang alon .	salpok sa bangka ang alon .	IND;PFV;V ADP;DAT N;SG ABS;DEF;DET N _
