son günlerinde kravat takardı .	son gün kravat tak .	ADJ 3;ESS;N;PL;PSS3S 3;N;NOM;SG 3;HAB;IND;POS;PST;SG;V _
kadehler onun şerefine kalktı .	kadeh o şeref kalk .	3;N;NOM;PL 3;GEN;PRO;SG 3;DAT;N;PSS3S;SG 3;IND;PFV;POS;PST;SG;V _
epey iş yaptılar .	epey iş yap .	ADV 3;N;NOM;SG 3;IND;PFV;PL;POS;PST;V _
memura ikibinüç'te deppler geçmiş imf enflasyona göre zam sözü .	memur ikibinüç deppler geçmiş imf enflasyon göre zam söz .	3;DAT;N;SG 3;ESS;NUM;SG 3;NOM;PROPN;SG ADJ 3;N;NOM;SG 3;DAT;N;SG ADP 3;N;NOM;SG 3;N;NOM;PSS3S;SG _
şimdi adımlarını daha da hızlandırmıştı .	şimdi adım daha da hızlan .	ADV 3;ACC;N;PL;PSS3S ADV CONJ 3;CAUS;IND;PFV;POS;PST+PRF;SG;V _
korkunç düşlerle dolu bir uykuya sürüklenmek üzere ydim .	korkunç düş dolu bir uyku sürükle üzere i .	ADJ 3;INS;N;PL ADJ NUM 3;DAT;N;SG IND;NOM;PASS;PFV;POS;PRS;V;V.MSDR ADP 1;IND;PFV;PST;SG;V _
ben yavrumdan nasıl ayrılırım ? onu nerelere gönderirim ? diye adamın ayaklarına kapanmış zavallı kadın .	ben yavru nasıl ayrıl ? o nere gönder ? diye adam ayak kapa zavallı kadın .	1;NOM;PRO;SG 3;ADJ;AT+ABL;PSS1S;SG ADV 1;HAB;IND;POS;PRS;SG;V _ 3;ACC;PRO;SG 3;DAT;PL;PRO 1;HAB;IND;POS;PRS;SG;V _ ADP 3;GEN;N;SG 3;DAT;N;PL;PSS3P 3;IND;NFH;PASS;PFV;POS;PST;SG;V ADJ 3;ADJ;NOM;SG _
abim yiyecek bir şeyler getirmiştir , herhalde .	abi yiyecek bir şey getir , herhalde .	3;N;NOM;PSS1S;SG 3;ADJ;NOM;SG NUM 3;N;NOM;PL 3;NFH;PFV;POS;PST;SG;V _ ADV _
hacim siz ve sıkışık seanslar geçiren borsa umudunu seçim sonrasına bağlamış görünüyor .	hacim siz ve sıkışık seans geçir borsa umut seçim sonra bağla görün .	3;N;NOM;SG ADP CONJ ADJ 3;N;NOM;PL IND;PFV;POS;PRS;V;V.PTCP 3;N;NOM;SG 3;ACC;N;PSS3S;SG 3;N;NOM;SG 3;DAT;N;PSS3S;SG IND;NFH;PFV;POS;PST;V;V.PTCP 3;IND;INFM;POS;PROG;PRS;SG;V _
ne oluyorsun ? diye sordu .	ne ol ? diye sor .	3;NOM;PRO;SG 2;IND;INFM;POS;PROG;PRS;SG;V _ ADP 3;IND;PFV;POS;PST;SG;V _
çoğu , çok kere beni daha çok falan filan bulurlarmış .	çok , çok kere ben daha çok falan filan bul .	3;ADJ;NOM;PSS3S;SG _ ADJ 3;N;NOM;SG 1;ACC;PRO;SG ADV ADV 3;ADJ;NOM;SG ADJ 3;HAB;IND;NFH;PL;POS;PST;V _
ben de onu dövdüm .	ben de o döv .	1;NOM;PRO;SG CONJ 3;ACC;PRO;SG 1;IND;PFV;POS;PST;SG;V _
benim gibi yüksek tansiyonu olanlar tuzsuz da yer .	ben gibi yüksek tansiyon ol tuzsuz da yer .	1;GEN;PRO;SG ADP ADJ 3;ACC;N;SG 3;IND;NOM;PFV;PL;POS;PRS;V;V.PTCP ADJ CONJ 2;IMP;PFV;POS;PRS;SG;V _
uy , sevsinler seni !	uy , sev sen !	2;IMP;PFV;POS;PRS;SG;V _ 3;IMP;PFV;PL;POS;PRS;V 2;ACC;PRO;SG _
oğlunuza sarıldığınızda , aklınızdan , ya bu ona son sarılışım sa gibi aptalca bir düşünce geçiyor .	oğul sar , akıl , ya bu o son sarılış i gibi aptalca bir düşünce geç .	3;DAT;N;PSS2P;SG ESS;IND;PASS;PFV;POS;PSS2P;PST;V;V.PTCP _ 3;AT+ABL;N;PSS2P;SG _ CONJ 3;NOM;PRO;SG 3;DAT;PRO;SG ADJ 3;N;NOM;PSS1S;SG 3;COND;PFV;PRS;SG;V ADP ADV NUM 2;N;NOM;SG 3;IND;INFM;POS;PROG;PRS;SG;V _
nerede siniz oğlum ? dedi bağırarak .	nere i oğul ? de bağır .	3;ESS;PRO;SG 2;IND;PFV;PL;PRS;V 3;N;NOM;PSS1S;SG _ 3;IND;PFV;POS;PST;SG;V IND;PFV;POS;PRS;V;V.CVB _
tüzmen , işadamlarının " çinliler pazarlarımızı ele geçiriyor " sözleri üzerine de , " pazar herkese yeter " dedi .	tüzmen , işadamı " çinli pazar el geçir " söz üzer de , " pazar herkes yet " de .	3;NOM;PROPN;SG _ 3;GEN;N;PL;PSS3P _ 3;ADJ;NOM;PL 3;ACC;N;PL;PSS1P 3;DAT;N;SG 3;IND;INFM;POS;PROG;PRS;SG;V _ 3;N;NOM;PL;PSS3P 3;DAT;N;PSS3S;SG CONJ _ _ 3;NOM;PROPN;SG 3;DAT;N;SG 3;HAB;IND;POS;PRS;SG;V _ 3;IND;PFV;POS;PST;SG;V _
acı patlıcanı kırağı çalmaz .	acı patlıcan kırağı çal .	ADJ 3;ACC;N;SG 3;N;NOM;SG 3;HAB;IND;NEG;PRS;SG;V _
kara sevda ...	kara sevda ...	ADJ 3;N;NOM;SG _
masal da burada bitmiş .	masal da bura bit .	3;N;NOM;SG CONJ 3;ESS;PRO;SG 3;IND;NFH;PFV;POS;PST;SG;V _
faranjiti var , kötü öksürtüyor , içmesin o .	faranjit var , kötü öksür , iç o .	3;NOM;PROPN;PSS3S;SG 2;IMP;PFV;POS;PRS;SG;V _ ADJ 3;CAUS;IND;INFM;POS;PROG;PRS;SG;V _ 3;IMP;NEG;PFV;PRS;SG;V 3;NOM;PRO;SG _
ne dedi biliyor musun geçen gün telefonda .	ne de bil mu geçen gün telefon .	3;NOM;PRO;SG 3;IND;PFV;POS;PST;SG;V 3;IND;INFM;POS;PROG;PRS;SG;V 2;IND;PFV;PRS;SG;V ADJ 3;N;NOM;SG 3;ESS;N;SG _
bağışlayın , koşa koşa geldim buraya .	bağışla , koşa koşa gel bura .	2;IMP;PFV;PL;POS;PRS;V _ ADJ ADJ 1;IND;PFV;POS;PST;SG;V 3;DAT;PRO;SG _
kerem başını kaldırmış , ona bakıyordu .	kerem baş kal , o bak .	3;NOM;PROPN;SG 3;ACC;N;PSS3S;SG 3;CAUS;IND;NFH;PFV;POS;PST;SG;V _ 3;DAT;PRO;SG 3;IND;INFM;POS;PROG;PST;SG;V _
tazminat almak amacından öte asıl amaç belgelere ulaşmak tı .	tazminat al amaç öte asıl amaç belge ulaş i .	3;N;NOM;SG IND;NOM;PFV;POS;PRS;V;V.MSDR 3;AT+ABL;N;PSS3S;SG ADP ADJ 3;N;NOM;SG 3;DAT;N;PL IND;NOM;PFV;POS;PRS;V;V.MSDR 3;IND;PFV;PST;SG;V _
