w tutej dobje rozłama jednota duchowneje a swětneje mocy .	w tutón doba rozłamać jednota duchowny a swětny moc .	ADP DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PST;SG;V FEM;N;NOM;SG ADJ;FEM;GEN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;N;SG _
achejmenidźa dobywachu wot 550 př . n . l . bliski wuchod a mału aziju .	achejmenid dobywać wot 550 před . naš . lětoličba . bliski wuchod a mały azija .	ANIM;MASC;N;NOM;PL 3;FIN;IND;PL;PST;V ADP NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG CONJ ACC;ADJ;FEM;SG ACC;FEM;PROPN;SG _
hlej wotpowědne dataje we wikimedia commons : barack obama	hladać wotpowědny dataja w wikimedia commons : barack obama	2;FIN;IMP;SG;V ACC;ADJ;FEM;PL ACC;FEM;N;PL ADP FEM;PROPN;SG NEUT;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG
zapřijeće bu w lěće 1819 wot jacoba grimma do rěčewědy za poznamjenjenje prawidłowneje změny w zdónkowym wokalu při fleksiji germanskich sylnych werbow ( tu a tam hižo zašo podobnje wužity , ale hišće nic jako jasnje wobrysowane fachowe zapřijeće ) .	zapřijeće być w lěto 1819 wot jacob grimm do rěčewěda za poznamjenjenje prawidłowny změna w zdónkowy wokal při fleksija germanski sylny werb ( tu a tam hižo bórze podobnje wužity , ale hišće nic jako jasnje wobrysowany fachowy zapřijeće ) .	N;NEUT;NOM;SG 3;FIN;IND;PASS;PST;SG;V ADP ESS;N;NEUT;SG NUM ADP ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG ADP FEM;GEN;N;SG ADP ACC;N;NEUT;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADP ESS;FEM;N;SG ADJ;GEN;MASC;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ ADV CONJ ADV ADV ADV;CMPR ADV ADJ;INAN;MASC;NOM;PASS;PL;V.PTCP _ CONJ ADV NEG;PART CONJ ADV ADJ;NEUT;NOM;PASS;SG;V.PTCP ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ _
móžeš na přikład na " čerwjene wotkazy " deleka kliknyć a nastawki pisać .	móc na přikład na " čerwjeny wotkaz " deleka kliknyć a nastawk pisać .	2;FIN;IND;PRS;SG;V ADP ACC;INAN;MASC;N;SG ADP _ ACC;ADJ;INAN;MASC;PL ACC;INAN;MASC;N;PL _ ADV NFIN;V CONJ ACC;INAN;MASC;N;PL NFIN;V _
sporofyt so najprjedy jako wjacebańkowy embryo załoži , kotryž na maćerskej rostlinje zawostawa a so wot teje zežiwja .	sporofyt so bórze jako wjacebańkowy embryo załožić , kotryž na maćerski rostlina zawostawać a so wot tón zežiwić .	INAN;MASC;N;NOM;SG ACC;PRO;REFL ADV;RL CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V _ DET;MASC;NOM;SG ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PRS;SG;V CONJ ACC;PRO;REFL ADP DET;FEM;GEN;SG 3;FIN;IND;PST;SG;V _
k njej słušachu kónčiny při hornim běhu eufrata , tigrisa a habura .	k wón słušeć kónčina při horni běh eufrat , tigris a habur .	ADP 3;DAT;FEM;PRO;SG 3;FIN;IND;PL;PST;V FEM;N;NOM;PL ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG GEN;INAN;MASC;PROPN;SG _ GEN;INAN;MASC;PROPN;SG CONJ GEN;INAN;MASC;PROPN;SG _
ma přestrjeń 371 000 kwadratnych kilometrow a wobjim 78 200 kubikowych kilometrow .	měć přestrjeń 371 000 kwadratny kilometer a wobjim 78 200 kubikowy kilometer .	3;FIN;IND;PRS;SG;V ACC;FEM;N;SG NUM NUM ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL CONJ ACC;INAN;MASC;N;SG NUM NUM ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _
ratarjo wobsydlachu kraj mjez babylonom a persiskim golfom , wjedźechu prěnje ratarstwo .	ratar wobsydleć kraj mjez babylon a persiski golf , wjesć prěni ratarstwo .	ANIM;MASC;N;NOM;PL 3;FIN;IND;PL;PST;V ACC;INAN;MASC;N;SG ADP INAN;INS;MASC;PROPN;SG CONJ ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ 3;FIN;IND;PL;PST;V ACC;ADJ;NEUT;SG ACC;N;NEUT;SG _
antologija słowjenskich krótkopowědančkow auksas kišenėje ( złoto w zaku ) , wobsahujo klemenowu stawiznu , wuńdźe w litawskej .	antologija słowjenski krótkopowědančko auksas kišenėje ( złoto w zak ) , wobsahować klemenowy stawizna , wuńć w litawska .	FEM;N;NOM;SG ADJ;GEN;MASC;PL ANIM;GEN;MASC;N;PL _ _ _ N;NEUT;NOM;SG ADP ESS;INAN;MASC;N;SG _ _ PRS;V;V.CVB ACC;ADJ;FEM;SG ACC;FEM;N;SG _ FIN;IND;PRS;SG;V ADP ESS;FEM;PROPN;SG _
wot lěta 1994 bu federacija wutworjena , kotraž z dźewjeć narodnostnych zwjazkowych statow wobsteji :	wot lěto 1994 być federacija wutworjeny , kotryž z dźewjeć narodnostny zwjazkowy stat wobstać :	ADP GEN;N;NEUT;SG NUM 3;FIN;IND;PASS;PST;SG;V FEM;N;NOM;SG ADJ;FEM;NOM;PASS;SG;V.PTCP _ DET;FEM;NOM;SG ADP NUM ADJ;GEN;MASC;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL 3;FIN;IND;PRS;SG;V _
dwaj atomaj wodźika a dwaj poraj elektronow su přesunjenej do róžkow předstajeneho tetraedra .	dwaj atom wodźik a dwaj por elektron być přesunjeny do róžk předstajeny tetraedr .	DU;INAN;MASC;NOM;NUM DU;INAN;MASC;N;NOM GEN;INAN;MASC;N;SG CONJ DU;INAN;MASC;NOM;NUM DU;INAN;MASC;N;NOM GEN;INAN;MASC;N;PL 3;FIN;IND;PL;PRS;V ADJ;DU;INAN;MASC;NOM;PASS;V.PTCP ADP GEN;INAN;MASC;N;PL ADJ;GEN;MASC;PASS;SG;V.PTCP GEN;INAN;MASC;N;SG _
dnja 16 . oktobra 2009 budźe 100 lět , zo je zemrěł klasikar serbskeje literatury , jakub bart - ćišinski .	dźeń 16 . oktober 2009 być 100 lěto , zo być zemrěć klasikar serbski literatura , jakub bart - ćišinski .	GEN;INAN;MASC;N;SG NUM _ GEN;INAN;MASC;N;SG NUM 3;FIN;FUT;IND;SG;V NUM GEN;N;NEUT;PL _ CONJ 3;FIN;IND;PRS;SG;V ACT;MASC;PST;SG;V;V.PTCP ANIM;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG _
to su předewšěm wodrjewjane rostliny , kotrež eteriske wolije tworja ( fenylpropanoidy a terpeny ) .	to być předewšěm wodrjewjany rostlina , kotryž eteriski wolij tworić ( fenylpropanoid a terpen ) .	NEUT;NOM;PRO;SG 3;FIN;IND;PL;PRS;V ADV ADJ;FEM;NOM;PASS;PL;V.PTCP FEM;N;NOM;PL _ DET;FEM;NOM;PL ACC;ADJ;INAN;MASC;PL ACC;INAN;MASC;N;PL 3;FIN;IND;PL;PRS;V _ ACC;INAN;MASC;N;PL CONJ ACC;INAN;MASC;N;PL _ _
bjez kóždychžkuli formalnosćow móžeš nowe nastawki spisać a nastawki wobdźěłać .	bjez kóždyžkuli formalnosć móc nowy nastawk spisać a nastawk wobdźěłać .	ADP DET;FEM;GEN;PL FEM;GEN;N;PL 2;FIN;IND;PRS;SG;V ACC;INAN;MASC;N;PL ACC;INAN;MASC;N;PL NFIN;V CONJ ACC;INAN;MASC;N;PL NFIN;V _
