địch bỏ lại một xetăng .	địch bỏ lại một xe tăng .	N V _ NUM N _
tôi quyếtđịnh trởvề ngay để tiếptục thamgia chống cuộc chiếntranh phinghĩa mới .	tôi quyết định trở về ngay để tiếp tục tham gia chống cuộc chiến tranh phi nghĩa mới .	PROPN V V _ ADP V V V N N ADJ ADJ _
hôm đó tùng không đi chơi .	hôm đó tùng không đi chơi .	N PROPN N NEG V V _
họ âmthầm đem mộtsố tưtrang đi thuê nhànghỉ .	họ âm thầm đem một số tư trang đi thuê nhà nghỉ .	PROPN ADJ V DET N V V N _
theo kếhoạch , những ngày đầu cả hai luyện tiếng anh trước khi thi vào đạihọc .	theo kế hoạch , những ngày đầu cả hai luyện tiếng anh trước khi thi vào đại học .	ADP N _ DET N ADJ PROPN NUM V N N ADP N V ADP N _
" vậy ông đã nói gì với họ ? " .	" vậy ông đã nói gì với họ ? " .	_ CONJ N _ V PROPN ADP PROPN _ _ _
các đốitượng được khoanh vùng là cô kim , ông học lbkt phóvănphòng rbkt và những người hàngxóm .	các đối tượng được khoanh vùng là cô kim , ông học lbkt phó văn phòng rbkt và những người hàng xóm .	DET N V V N V N N _ N N _ N _ CONJ DET N N _
biết làm ở cửahàng nào đó và có một đồngnghiệp tên liên ...	biết làm ở cửa hàng nào đó và có một đồng nghiệp tên liên ...	V V ADP N PROPN PROPN CONJ V NUM N N N _
" vượn .	" vượn .	_ N _
nhiều đoạn bờ sông hiện đang chờ đổ ập xuống bởi hàng chục hàmếch ăn sâu vào đấtliền .	nhiều đoạn bờ sông hiện đang chờ đổ ập xuống bởi hàng chục hàm ếch ăn sâu vào đất liền .	ADJ N N N N _ V V V _ ADP _ NUM N V ADJ ADP N _
đã 83 tuổi nhưng bác sáuchí lbkt nguyễnvănchí rbkt hồhởi ramặt khi nghe nhắc chuyện cáchmạng thángtám .	đã 83 tuổi nhưng bác sáu chí lbkt nguyễn văn chí rbkt hồ hởi ra mặt khi nghe nhắc chuyện cách mạng tháng tám .	_ NUM N CONJ N N _ N _ ADJ V N V V N N N _
biệtthự , đôla , bấtđộngsản , côngty ... - những thứ làm thiênhạ phải khuấtphục chị , nay đã thành vônghĩa .	biệt thự , đôla , bất động sản , công ty ... - những thứ làm thiên hạ phải khuất phục chị , nay đã thành vô nghĩa .	N _ N _ N _ N _ _ DET N V N V V N _ PROPN _ V ADJ _
một hôm trót để bên ngoài , không ngờ nó kêu rốirít .	một hôm trót để bên ngoài , không ngờ nó kêu rối rít .	NUM N V V ADP N _ NEG V PROPN V ADJ _
đó là phòngthínghiệm của anh đỗquýhạo lbkt huyện hònđất , kiêngiang rbkt .	đó là phòng thí nghiệm của anh đỗ quý hạo lbkt huyện hòn đất , kiên giang rbkt .	PROPN V N ADP N N _ N N _ N _ _
chúng sẽ dẫn khách xuống phố quangtrung , vào trungtâm ngoạingữ để mua phiếu .	chúng sẽ dẫn khách xuống phố quang trung , vào trung tâm ngoại ngữ để mua phiếu .	PROPN _ V N ADP N N _ ADP N N ADP V N _
nam tắm thường mang điệnthoạidiđộng theo người .	nam tắm thường mang điện thoại di động theo người .	N V _ V N V N _
tôi chỉ là người pháttriển thêm tình hữunghị đó " .	tôi chỉ là người phát triển thêm tình hữu nghị đó " .	PROPN _ V N V V N ADJ PROPN _ _
ai muốn laođộng ở nướcngoài , xã làm cầunối ... 500 liệtsĩ ! 750 hộ giađình chínhsách ! 176 thươngbinh ! ...	ai muốn lao động ở nước ngoài , xã làm cầu nối ... 500 liệt sĩ ! 750 hộ gia đình chính sách ! 176 thương binh ! ...	PROPN V V ADP N _ N V N _ NUM N _ NUM N N N _ NUM N _ _
các tàixế vộivã chạy xuống dúi vào tay anh csgt mảnh giấy nhỏ .	các tài xế vội vã chạy xuống dúi vào tay anh csgt mảnh giấy nhỏ .	DET N ADJ V _ V ADP N N N N N ADJ _
phải sống .	phải sống .	V V _
tôi trìnhbày lýdo , rồi xuấttrình giấytờ để chứngminh là anhem tôi lên sứquán đổi hộchiếu .	tôi trình bày lý do , rồi xuất trình giấy tờ để chứng minh là anh em tôi lên sứ quán đổi hộ chiếu .	PROPN V N _ CONJ V N ADP V CONJ N PROPN V N V N _
không phải ngẫunhiên người con việtkiều mỹ của cụ chấpnhận mức giá cao bằng tiền thuê kháchsạn hạng sang để đưa mẹ vào trungtâm .	không phải ngẫu nhiên người con việt kiều mỹ của cụ chấp nhận mức giá cao bằng tiền thuê khách sạn hạng sang để đưa mẹ vào trung tâm .	NEG V ADJ N N N N ADP N V N N ADJ ADJ N V N N ADJ ADP V N ADP N _
báo phápluật : " tòa đã xử kháchquan , vôtư " .	báo pháp luật : " tòa đã xử khách quan , vô tư " .	N N _ _ N _ V ADJ _ ADJ _ _
ba lần thay số gọi nhưng máy diđộng kia vẫn imlặng .	ba lần thay số gọi nhưng máy di động kia vẫn im lặng .	NUM N V N V CONJ N V PROPN _ ADJ _
tay " phòmã " đáng ngờ .	tay " phò mã " đáng ngờ .	N _ N _ V V _
để có cơsở , toàn quay lại khu nhà liên ở .	để có cơ sở , toàn quay lại khu nhà liên ở .	ADP V N _ N V V N N N V _
trong khi đang dồn hếtmình cho việc pháán thì cha của đoàn phải vào bệnhviện cấpcứu vì cao huyếtáp .	trong khi đang dồn hết mình cho việc phá án thì cha của đoàn phải vào bệnh viện cấp cứu vì cao huyết áp .	ADP N _ V _ ADP N V CONJ N ADP N V V N V ADP ADJ N _
tiểuđội tôi bốn người đã đào được ba hầm vòm .	tiểu đội tôi bốn người đã đào được ba hầm vòm .	N PROPN NUM N _ V _ NUM N N _
chúngtôi đi làm cáchmạng mà cứ rủ nhau như là rủ ra ruộng làmđồng , hẹn giờ bằng đồnghồmặttrời .	chúng tôi đi làm cách mạng mà cứ rủ nhau như là rủ ra ruộng làm đồng , hẹn giờ bằng đồng hồ mặt trời .	PROPN V V N CONJ _ V N CONJ CONJ V V N V _ V N ADP N _
hơnnữa " tácgiả " này phải là người kiênnhẫn , ônhòa .	hơn nữa " tác giả " này phải là người kiên nhẫn , ôn hòa .	CONJ _ N _ PROPN V V N ADJ _ ADJ _
vụviệc mở ra một hướng hoàntoàn mới và không hề phứctạp , bếtắc như trướcđây .	vụ việc mở ra một hướng hoàn toàn mới và không hề phức tạp , bế tắc như trước đây .	N V _ NUM N ADJ ADJ CONJ NEG PART ADJ _ ADJ CONJ N _
ông không có tính trănghoa hay ănở hailòng mà do hoàncảnh xôđẩy nên phải đamang .	ông không có tính trăng hoa hay ăn ở hai lòng mà do hoàn cảnh xô đẩy nên phải đa mang .	N NEG V N ADJ CONJ V ADJ CONJ CONJ N V CONJ V V _
phạm kể chính anh từng phải dẫn một emgái nhỏ đến bệnhviện do bị lạmdụng tìnhdục .	phạm kể chính anh từng phải dẫn một em gái nhỏ đến bệnh viện do bị lạm dụng tình dục .	N V PART N _ V V NUM N ADJ V N ADP V V N _
kếtquả cuộc thi phóngsự - kýsự 2004 của báo tuổitrẻ .	kết quả cuộc thi phóng sự - ký sự 2004 của báo tuổi trẻ .	N N V N _ N NUM ADP N N _
đó là những chàng trai đầutiên cắm nhát cuốc vào lòng đất đào địađạo thời chống mỹ .	đó là những chàng trai đầu tiên cắm nhát cuốc vào lòng đất đào địa đạo thời chống mỹ .	PROPN V DET N N ADJ V N N ADP N N V N N V N _
nhưvậy là thủphạm đã biết chắc ông không ở nhà nên không gửi thư .	như vậy là thủ phạm đã biết chắc ông không ở nhà nên không gửi thư .	CONJ CONJ N _ V ADJ N NEG V N CONJ NEG V N _
và như thế đây sẽ là một câuchuyện đànghoàng về những conngười quên thân vì xãhội .	và như thế đây sẽ là một câu chuyện đàng hoàng về những con người quên thân vì xã hội .	CONJ CONJ PROPN PROPN _ V NUM N ADJ ADP DET N V N ADP N _
johor ngày thứ nhất .	johor ngày thứ nhất .	N N N NUM _
sau cuộc gặpgỡ này , một tháng tiếptheo ông chương không phải nhận lá thư hay sự đedọa khủngbố nào nữa .	sau cuộc gặp gỡ này , một tháng tiếp theo ông chương không phải nhận lá thư hay sự đe dọa khủng bố nào nữa .	ADP N V PROPN _ NUM N V N N NEG ADJ V N N CONJ N V V PROPN _ _
bà loan rànhrẽ : " mày chỉ huyênthuyên , anh hùng tốtnghiệp đi làm mấy năm rồi " .	bà loan rành rẽ : " mày chỉ huyên thuyên , anh hùng tốt nghiệp đi làm mấy năm rồi " .	N N ADJ _ _ PROPN _ ADJ _ N N V V V DET N _ _ _
chúngtôi cứ ngỡ không phải đang đi trên đất bạn .	chúng tôi cứ ngỡ không phải đang đi trên đất bạn .	PROPN _ V NEG ADJ _ V ADP N N _
kia là những ngôi nhà vách đất .	kia là những ngôi nhà vách đất .	PROPN V DET N N N N _
hắn không có một dữliệu nào nằm trong tay thámtử nên bằng mọi giá phải bám theo tên này !	hắn không có một dữ liệu nào nằm trong tay thám tử nên bằng mọi giá phải bám theo tên này !	PROPN NEG V NUM N PROPN V ADP N N CONJ ADP DET N V V ADP N PROPN _
tôi mongmỏi sự côngbằng được thựchiện và trả lại cho họ .	tôi mong mỏi sự công bằng được thực hiện và trả lại cho họ .	PROPN V N ADJ V V CONJ V _ ADP PROPN _
cùng muadâm người vịthànhniên , nhưng người bị tội , người vôcan .	cùng mua dâm người vị thành niên , nhưng người bị tội , người vô can .	ADJ V N ADJ _ CONJ N V N _ N ADJ _
tại kýtúcxá , hải vẫn tỏ ra rất bìnhthường sau cuộc gặp người bạn lần trước .	tại ký túc xá , hải vẫn tỏ ra rất bình thường sau cuộc gặp người bạn lần trước .	ADP N _ N _ V _ _ ADJ ADP N V N N N ADJ _
hải rủ tùng thamgia các nhóm học tinhọc , triếthọc và âmnhạc .	hải rủ tùng tham gia các nhóm học tin học , triết học và âm nhạc .	N V N V DET N V N _ N CONJ N _
nguyênnhân nào và nó từ đâu đến ? " .	nguyên nhân nào và nó từ đâu đến ? " .	N PROPN CONJ PROPN ADP PROPN V _ _ _
không hàohứng nhưng ngàymai họ vẫn phải bắtđầu ...	không hào hứng nhưng ngày mai họ vẫn phải bắt đầu ...	NEG ADJ CONJ N PROPN _ V V _
ông thường đi làm từ 7 g đến 18 g mới về nhà .	ông thường đi làm từ 7 g đến 18 g mới về nhà .	N _ V V ADP NUM N ADP NUM N _ V N _
đốitượng khaithác khôngthể là ông sinh , hai con trai và đứa cháu nội 7 tuổi .	đối tượng khai thác không thể là ông sinh , hai con trai và đứa cháu nội 7 tuổi .	N V NEG V N N _ NUM N N CONJ N N N NUM N _
không cần chứngnhận đâu .	không cần chứng nhận đâu .	NEG V N PART _
sau một hồi ngậpngừng , hải tìm cách bỏ đi .	sau một hồi ngập ngừng , hải tìm cách bỏ đi .	ADP NUM N V _ N V N V V _
thạcsĩ thúy với bầy muôngthú .	thạc sĩ thú y với bầy muông thú .	N N ADP N N _
ông đã trựctiếp " nghiệmthu " và côngtác tưtưởng cho hải .	ông đã trực tiếp " nghiệm thu " và công tác tư tưởng cho hải .	N _ V _ V _ CONJ V N ADP N _
chúngtôi muốn làmviệc kiếm tiền , kiếm sống và trả những khoản nợ cho chuyến làmăn xa này .	chúng tôi muốn làm việc kiếm tiền , kiếm sống và trả những khoản nợ cho chuyến làm ăn xa này .	PROPN V V V N _ V V CONJ V DET N N ADP N V ADJ PROPN _
kếtquả của hai nữ thámtử nghiệpdư chỉ dừng ở đó và họ bótay .	kết quả của hai nữ thám tử nghiệp dư chỉ dừng ở đó và họ bó tay .	N ADP NUM N N ADJ _ V ADP PROPN CONJ PROPN V _
thiênduyên .	thiên duyên .	N _
về xâydựng đảng : tiếptục chỉđạo mạnhmẽ , có hiệuquả cuộc vậnđộng xâydựng chỉnhđốn đảng theo tinhthần nghịquyết trungương 6 lbkt lần 2 rbkt .	về xây dựng đảng : tiếp tục chỉ đạo mạnh mẽ , có hiệu quả cuộc vận động xây dựng chỉnh đốn đảng theo tinh thần nghị quyết trung ương 6 lbkt lần 2 rbkt .	ADP V N _ V V ADJ _ V N N V V V N ADP N N N NUM _ N NUM _ _
đó cũng là một phần nguyênnhân khiến nhu sangã .	đó cũng là một phần nguyên nhân khiến nhu sa ngã .	PROPN _ V NUM N N V N V _
vì theo quiluật tâmlý , kẻ khủngbố đã tăng " đô " .	vì theo qui luật tâm lý , kẻ khủng bố đã tăng " đô " .	ADP ADP N N _ N V _ V _ N _ _
tối , hải vào thưviện đọc sách chiếntranh và hòabình đến khuya thì về phòng .	tối , hải vào thư viện đọc sách chiến tranh và hòa bình đến khuya thì về phòng .	N _ N V N V N N CONJ N ADP N CONJ V N _
rồi tự ra sânbay về nước .	rồi tự ra sân bay về nước .	CONJ PROPN V N V N _
ông tặng kim căn nhà quá nhiều kỷniệm đó và họ chiatay nhau ...	ông tặng kim căn nhà quá nhiều kỷ niệm đó và họ chia tay nhau ...	N V N N N _ ADJ N PROPN CONJ PROPN V N _
và cũng chính vì nỗi đau này , anh đã quyếtđịnh đi kiện báo phápluật tp.hcm để đòi lại danhdự cho mình .	và cũng chính vì nỗi đau này , anh đã quyết định đi kiện báo pháp luật tp .hcm để đòi lại danh dự cho mình .	CONJ _ PART ADP N ADJ PROPN _ N _ V V V N N N ADP V _ N ADP PROPN _
điều không trungthực đó là gì , hùng lại phải chờ .	điều không trung thực đó là gì , hùng lại phải chờ .	N NEG ADJ PROPN V PROPN _ N _ V V _
