ní ìbẹ̀rẹ̀ ohun gbogbo ọlọ́run dá àwọn ọ̀run àti ayé .	ní ìbẹ̀rẹ̀ ohun gbogbo ọlọ́run dá àwọn ọ̀run àti ayé .	ADP N PRO DET N V DET N CONJ N _
nítorí náà nígbà tí jésù dé , ó rí i pé a ti tẹ́ ẹ sínú ibojì ní ijọ́ mẹ́rin ná ,	nítorí náà nígbà tí jésù dé , ó rí i pé a ti tẹ́ ẹ sínú ibojì ní ijọ́ mẹ́rin ná ,	CONJ ADV ADV PRO PROPN V _ 3;NOM;PRO;SG V 3;ACC;PRO;SG CONJ 1;NOM;PL;PRO V V 2;ACC;PL;PRO ADP N ADP N NUM ADV _
ṣùgbọ́n alágbàṣe , tí kìí ṣe olùṣọ́ àgùntàn , ẹni tí àwọn àgùntàn kìí ṣe tirẹ̀ , ó rí ìkokò ń bọ̀ , ó sì fi àgùntàn sílẹ̀ , ó sì fọ́n wọn ká kiri .	ṣùgbọ́n alágbàṣe , tí kìí ṣe olùṣọ́ àgùntàn , ẹni tí àwọn àgùntàn kìí ṣe tirẹ̀ , ó rí ìkokò ń bọ̀ , ó sì fi àgùntàn sílẹ̀ , ó sì fọ́n wọn ká kiri .	CONJ N _ PRO PART V N N _ PRO PRO DET N PART V 3;GEN;PRO;SG _ 3;NOM;PRO;SG V N V V _ 3;NOM;PRO;SG CONJ V N V _ 3;NOM;PRO;SG CONJ V 3;ACC;PL;PRO ADV ADV _
nítorí náà jésù tún wí fún wọn pé , “ lóòótọ́ , lóòótọ́ ni mo wí fún yín , èmi ni ìlẹ̀kùn àwọn àgùntàn .	nítorí náà jésù tún wí fún wọn pé , “ lóòótọ́ , lóòótọ́ ni mo wí fún yín , èmi ni ìlẹ̀kùn àwọn àgùntàn .	CONJ ADV PROPN ADV V ADP 3;ACC;PL;PRO CONJ _ _ ADV _ ADV V 1;NOM;PRO;SG V ADP 2;GEN;PL;PRO _ 1;NOM;PRO;SG V N DET N _
nígbà tí àwọn júù tí ó wà lọ́dọ̀ rẹ̀ nínú ilé , tí wọ́n ń tù ú nínú rí màríà tí ó dìde kánkán , tí ó sì jáde , wọ́n tẹ̀lé , wọ́n ṣebí ó ń lọ sí ibojì láti sọkún níbẹ̀ .	nígbà tí àwọn júù tí ó wà lọ́dọ̀ rẹ̀ nínú ilé , tí wọ́n ń tù ú nínú rí màríà tí ó dìde kánkán , tí ó sì jáde , wọ́n tẹ̀lé , wọ́n ṣebí ó ń lọ sí ibojì láti sọkún níbẹ̀ .	ADV PRO DET PROPN PRO 3;NOM;PRO;SG V ADP 3;GEN;PRO;SG ADP N _ PRO 3;NOM;PL;PRO V V 3;GEN;PRO;SG ADP V PROPN PRO 3;NOM;PRO;SG V ADV _ PRO 3;NOM;PRO;SG CONJ V _ 3;NOM;PL;PRO V _ 3;NOM;PL;PRO V 3;NOM;PRO;SG V V ADP N ADP V ADV _
( màríà náà ni ẹni tí ó fi òróró ìkunra kun olúwa , tí ó sì fi irun orí rẹ̀ nù ún , arákùnrin rẹ̀ ni lásárù í ṣe , ara ẹni tí kò dá . )	( màríà náà ni ẹni tí ó fi òróró ìkunra kun olúwa , tí ó sì fi irun orí rẹ̀ nù ún , arákùnrin rẹ̀ ni lásárù í ṣe , ara ẹni tí kò dá . )	_ PROPN DET V PRO PRO 3;NOM;PRO;SG V N N V PROPN _ PRO 3;NOM;PRO;SG CONJ V N N 3;GEN;PRO;SG V PRO _ N 3;GEN;PRO;SG V PROPN V V _ PRO PRO PRO PART V _ _
ẹnìkan kò gbà á lọ́wọ́ mi , ṣùgbọ́n mo fi í lélẹ̀ , mo sì lágbára láti tún gbà á . àṣẹ yìí ni mo ti gbà wá láti ọ̀dọ̀ baba mi . ”	ẹnìkan kò gbà á lọ́wọ́ mi , ṣùgbọ́n mo fi í lélẹ̀ , mo sì lágbára láti tún gbà á . àṣẹ yìí ni mo ti gbà wá láti ọ̀dọ̀ baba mi . ”	ADJ PART V 3;GEN;PRO;SG ADP 1;ACC;PRO;SG _ CONJ V V V ADV _ 1;NOM;PRO;SG CONJ V ADP ADV V 3;GEN;PRO;SG _ N DET V V V V V ADP ADP N 1;ACC;PRO;SG _ _
ayé sì wà ní rúdurùdu , ó sì ṣófo , òkùnkùn sì wà lójú ibú omi , ẹ̀mí ọlọ́run sì ń rábàbà lójú omi gbogbo .	ayé sì wà ní rúdurùdu , ó sì ṣófo , òkùnkùn sì wà lójú ibú omi , ẹ̀mí ọlọ́run sì ń rábàbà lójú omi gbogbo .	N CONJ V ADP N _ 3;NOM;PRO;SG CONJ ADJ _ N CONJ V ADP ADJ N _ N N CONJ V N ADP N DET _
ẹnikẹ́ni tí ó ń bẹ láàyè , tí ó sì gbà mí gbọ́ , kì yóò kú láéláé ìwọ gbà èyí gbọ́ ? ”	ẹnikẹ́ni tí ó ń bẹ láàyè , tí ó sì gbà mí gbọ́ , kì yóò kú láéláé ìwọ gbà èyí gbọ́ ? ”	ADJ PRO 3;NOM;PRO;SG V V V _ PRO 3;NOM;PRO;SG CONJ V 1;ACC;PRO;SG V _ PART V V ADV 2;NOM;PRO;SG V PRO V _ _
nítorí náà ni baba mi ṣe fẹ́ràn mi , nítorí tí mo fi ẹ̀mí mi lélẹ̀ , kí èmi lè tún gbà á .	nítorí náà ni baba mi ṣe fẹ́ràn mi , nítorí tí mo fi ẹ̀mí mi lélẹ̀ , kí èmi lè tún gbà á .	CONJ ADV V N 1;ACC;PRO;SG V V 1;ACC;PRO;SG _ CONJ PRO 1;NOM;PRO;SG V N 1;ACC;PRO;SG ADV _ CONJ 1;ACC;PRO;SG V ADV V 3;GEN;PRO;SG _
olè àti ọlọ́sà ni gbogbo àwọn tí ó ti wà ṣáájú mi : ṣùgbọ́n àwọn àgùntàn kò gbọ́ ti wọn .	olè àti ọlọ́sà ni gbogbo àwọn tí ó ti wà ṣáájú mi : ṣùgbọ́n àwọn àgùntàn kò gbọ́ ti wọn .	N CONJ N V DET PRO PRO 3;NOM;PRO;SG V V ADP 1;ACC;PRO;SG _ CONJ DET N PART V ADP 3;ACC;PL;PRO _
ọlọ́run dá ìmọ́lẹ̀ ńlá - ńlá méjì , ìmọ́lẹ̀ tí ó tóbi láti ṣe àkóso ọ̀sán àti ìmọ́lẹ̀ tí ó kéré láti ṣe àkóso òru . ó sì dá à wọn ìràwọ̀ pẹ̀lú .	ọlọ́run dá ìmọ́lẹ̀ ńlá - ńlá méjì , ìmọ́lẹ̀ tí ó tóbi láti ṣe àkóso ọ̀sán àti ìmọ́lẹ̀ tí ó kéré láti ṣe àkóso òru . ó sì dá à wọn ìràwọ̀ pẹ̀lú .	N V N ADJ _ ADJ NUM _ N PRO 3;NOM;PRO;SG ADJ ADP V N N CONJ N PRO 3;NOM;PRO;SG ADJ ADP V N N _ 3;NOM;PRO;SG CONJ V CONJ 3;ACC;PL;PRO N ADP _
àwọn ènìyàn púpọ̀ sì wá sọ́dọ̀ rẹ̀ , wọ́n sì wí pé , “ jòhánù kò ṣe iṣẹ́ àmì kan : ṣùgbọ́n òtítọ́ ni ohun gbogbo tí jòhánù sọ nípa ti ọkùnrin yìí . ”	àwọn ènìyàn púpọ̀ sì wá sọ́dọ̀ rẹ̀ , wọ́n sì wí pé , “ jòhánù kò ṣe iṣẹ́ àmì kan : ṣùgbọ́n òtítọ́ ni ohun gbogbo tí jòhánù sọ nípa ti ọkùnrin yìí . ”	DET N ADJ CONJ V ADP 3;GEN;PRO;SG _ V CONJ V CONJ _ _ PROPN PART V N N NUM _ CONJ N V PRO DET PRO PROPN V ADP ADP N DET _ _
ọ̀pọ̀ nínú àwọn júù sì wá sọ́dọ̀ mátà àti màríà láti tù wọ́n nínú nítorí ti arákùnrin wọn .	ọ̀pọ̀ nínú àwọn júù sì wá sọ́dọ̀ mátà àti màríà láti tù wọ́n nínú nítorí ti arákùnrin wọn .	ADJ ADP DET PROPN CONJ V ADP PROPN CONJ PROPN ADP V 3;ACC;PL;PRO ADP CONJ ADP N 3;ACC;PL;PRO _
nítorí náà , nígbà tí mátà gbọ́ pé jésù ń bọ̀ wá , ó jáde lọ pàdé rẹ̀ : ṣùgbọ́n màríà jòkó nínú ilé .	nítorí náà , nígbà tí mátà gbọ́ pé jésù ń bọ̀ wá , ó jáde lọ pàdé rẹ̀ : ṣùgbọ́n màríà jòkó nínú ilé .	CONJ ADV _ ADV PRO PROPN V CONJ PROPN V V V _ 3;NOM;PRO;SG V V V 3;GEN;PRO;SG _ CONJ PROPN V ADP N _
ọlọ́run sì dá òfuurufú láti ya omi tí ó wà ní òkè òfuurufú kúrò lára omi tí ó wà ní orí ilẹ̀ . ó sì rí bẹ́ẹ̀ .	ọlọ́run sì dá òfuurufú láti ya omi tí ó wà ní òkè òfuurufú kúrò lára omi tí ó wà ní orí ilẹ̀ . ó sì rí bẹ́ẹ̀ .	N CONJ V N ADP V N PRO 3;NOM;PRO;SG V ADP N N ADP ADP N PRO 3;NOM;PRO;SG V ADP ADP N _ 3;NOM;PRO;SG CONJ V ADV _
èmi ni ìlẹ̀kùn : bí ẹnìkan bá bá ọ̀dọ̀ mi wọlé , òun ni a ó gbà là , yóò wọlé , yóò sì jáde , yóò sì rí koríko .	èmi ni ìlẹ̀kùn : bí ẹnìkan bá bá ọ̀dọ̀ mi wọlé , òun ni a ó gbà là , yóò wọlé , yóò sì jáde , yóò sì rí koríko .	1;NOM;PRO;SG V N _ CONJ PRO CONJ CONJ N 1;ACC;PRO;SG V _ 3;GEN;PRO;SG V 1;NOM;PL;PRO 3;NOM;PRO;SG V V _ V V _ V CONJ V _ V CONJ V N _
